id,goods_code,goods_name,adjdate,adjinterval,stock
1,A.DCE,豆一,2013-02-07,0.0,A1407.DCE
2,A.DCE,豆一,2013-03-15,23.0,A1409.DCE
3,A.DCE,豆一,2014-03-25,-149.0,A1501.DCE
4,A.DCE,豆一,2014-04-18,48.0,A1409.DCE
5,A.DCE,豆一,2014-05-19,-38.0,A1501.DCE
6,A.DCE,豆一,2014-11-24,-191.0,A1505.DCE
7,A.DCE,豆一,2015-04-08,69.0,A1509.DCE
8,A.DCE,豆一,2015-06-15,84.0,A1601.DCE
9,A.DCE,豆一,2015-11-04,-14.0,A1605.DCE
10,A.DCE,豆一,2016-03-08,-103.0,A1609.DCE
11,A.DCE,豆一,2016-07-13,39.0,A1701.DCE
12,A.DCE,豆一,2016-11-28,125.0,A1705.DCE
13,A.DCE,豆一,2017-03-22,34.0,A1709.DCE
14,A.DCE,豆一,2017-08-03,34.0,A1801.DCE
15,A.DCE,豆一,2017-12-08,197.0,A1805.DCE
16,A.DCE,豆一,2018-04-04,103.0,A1809.DCE
17,A.DCE,豆一,2018-07-27,112.0,A1901.DCE
18,a.DCE,豆一,2018-12-21,256.0,A1905.DCE
19,a.DCE,豆一,2019-04-19,102.0,A1909.DCE
20,a.DCE,豆一,2019-08-09,74.0,A2001.DCE
21,A.DCE,豆一,2019-10-17,0.0,A2001.DCE
