id,goods_code,goods_name,adjdate,adjinterval,stock
1,AG.SHF,沪银,2013-07-18,0.0,AG1407.SHF
2,AG.SHF,沪银,2013-08-19,-19.0,AG1408.SHF
3,AG.SHF,沪银,2013-09-25,-6.0,AG1407.SHF
4,AG.SHF,沪银,2013-10-23,6.0,AG1408.SHF
5,AG.SHF,沪银,2013-11-13,13.0,AG1409.SHF
6,AG.SHF,沪银,2013-12-10,5.0,AG1407.SHF
7,AG.SHF,沪银,2013-12-31,32.0,AG1412.SHF
8,AG.SHF,沪银,2014-11-05,-66.0,AG1506.SHF
9,AG.SHF,沪银,2015-05-06,54.0,AG1512.SHF
10,AG.SHF,沪银,2015-11-16,62.0,AG1606.SHF
11,AG.SHF,沪银,2016-05-06,104.0,AG1612.SHF
12,AG.SHF,沪银,2016-11-10,130.0,AG1706.SHF
13,AG.SHF,沪银,2017-05-09,109.0,AG1712.SHF
14,AG.SHF,沪银,2017-11-20,117.0,AG1806.SHF
15,AG.SHF,沪银,2018-05-02,103.0,AG1812.SHF
16,ag.SHF,沪银,2018-11-01,32.0,AG1906.SHF
17,ag.SHF,沪银,2019-05-07,56.0,AG1912.SHF
18,AG.SHF,沪银,2019-11-01,0.0,AG1912.SHF
