id,goods_code,goods_name,adjdate,adjinterval,stock
1,AL.SHF,╩╕ба,2013-08-02,0.0,AL1407.SHF
2,AL.SHF,╩╕ба,2013-09-02,30.0,AL1408.SHF
3,AL.SHF,╩╕ба,2013-10-10,-5.0,AL1407.SHF
4,AL.SHF,╩╕ба,2013-10-31,40.0,AL1408.SHF
5,AL.SHF,╩╕ба,2013-11-21,-35.0,AL1407.SHF
6,AL.SHF,╩╕ба,2014-05-23,65.0,AL1408.SHF
7,AL.SHF,╩╕ба,2014-06-25,70.0,AL1409.SHF
8,AL.SHF,╩╕ба,2014-07-22,-5.0,AL1410.SHF
9,AL.SHF,╩╕ба,2014-08-25,25.0,AL1411.SHF
10,AL.SHF,╩╕ба,2014-09-17,0.0,AL1412.SHF
11,AL.SHF,╩╕ба,2014-10-22,60.0,AL1501.SHF
12,AL.SHF,╩╕ба,2014-11-27,60.0,AL1502.SHF
13,AL.SHF,╩╕ба,2014-12-18,45.0,AL1503.SHF
14,AL.SHF,╩╕ба,2015-01-26,50.0,AL1504.SHF
15,AL.SHF,╩╕ба,2015-02-26,45.0,AL1505.SHF
16,AL.SHF,╩╕ба,2015-03-20,0.0,AL1506.SHF
17,AL.SHF,╩╕ба,2015-04-22,5.0,AL1507.SHF
18,AL.SHF,╩╕ба,2015-05-26,50.0,AL1508.SHF
19,AL.SHF,╩╕ба,2015-06-24,30.0,AL1509.SHF
20,AL.SHF,╩╕ба,2015-07-20,35.0,AL1510.SHF
21,AL.SHF,╩╕ба,2015-08-27,-10.0,AL1511.SHF
22,AL.SHF,╩╕ба,2015-09-21,30.0,AL1512.SHF
23,AL.SHF,╩╕ба,2015-10-21,0.0,AL1601.SHF
24,AL.SHF,╩╕ба,2015-11-20,-50.0,AL1602.SHF
25,AL.SHF,╩╕ба,2015-12-16,-10.0,AL1603.SHF
26,AL.SHF,╩╕ба,2016-01-27,15.0,AL1604.SHF
27,AL.SHF,╩╕ба,2016-02-26,25.0,AL1605.SHF
28,AL.SHF,╩╕ба,2016-03-30,-35.0,AL1606.SHF
29,AL.SHF,╩╕ба,2016-04-27,-30.0,AL1607.SHF
30,AL.SHF,╩╕ба,2016-06-01,-175.0,AL1608.SHF
31,AL.SHF,╩╕ба,2016-07-01,-170.0,AL1609.SHF
32,AL.SHF,╩╕ба,2016-08-01,-90.0,AL1610.SHF
33,AL.SHF,╩╕ба,2016-09-01,-120.0,AL1611.SHF
34,AL.SHF,╩╕ба,2016-09-28,-185.0,AL1612.SHF
35,AL.SHF,╩╕ба,2016-11-02,-355.0,AL1701.SHF
36,AL.SHF,╩╕ба,2016-11-23,-240.0,AL1702.SHF
37,AL.SHF,╩╕ба,2016-12-30,45.0,AL1703.SHF
38,AL.SHF,╩╕ба,2017-02-07,75.0,AL1704.SHF
39,AL.SHF,╩╕ба,2017-03-03,70.0,AL1705.SHF
40,AL.SHF,╩╕ба,2017-04-11,110.0,AL1706.SHF
41,AL.SHF,╩╕ба,2017-05-08,75.0,AL1707.SHF
42,AL.SHF,╩╕ба,2017-06-07,60.0,AL1708.SHF
43,AL.SHF,╩╕ба,2017-07-05,95.0,AL1709.SHF
44,AL.SHF,╩╕ба,2017-08-02,85.0,AL1710.SHF
45,AL.SHF,╩╕ба,2017-08-24,90.0,AL1711.SHF
46,AL.SHF,╩╕ба,2017-09-26,115.0,AL1712.SHF
47,AL.SHF,╩╕ба,2017-10-27,95.0,AL1801.SHF
48,AL.SHF,╩╕ба,2017-11-30,250.0,AL1802.SHF
49,AL.SHF,╩╕ба,2017-12-29,115.0,AL1803.SHF
50,AL.SHF,╩╕ба,2018-02-05,85.0,AL1804.SHF
51,AL.SHF,╩╕ба,2018-02-28,90.0,AL1805.SHF
52,AL.SHF,╩╕ба,2018-04-04,50.0,AL1806.SHF
53,AL.SHF,╩╕ба,2018-04-27,80.0,AL1807.SHF
54,AL.SHF,╩╕ба,2018-06-06,60.0,AL1808.SHF
55,AL.SHF,╩╕ба,2018-07-02,75.0,AL1809.SHF
56,AL.SHF,╩╕ба,2018-08-07,60.0,AL1810.SHF
57,AL.SHF,╩╕ба,2018-09-03,60.0,AL1811.SHF
58,AL.SHF,╩╕ба,2018-10-10,25.0,AL1812.SHF
59,al.SHF,╩╕ба,2018-11-01,-10.0,AL1901.SHF
60,al.SHF,╩╕ба,2018-12-06,65.0,AL1902.SHF
61,al.SHF,╩╕ба,2019-01-03,55.0,AL1903.SHF
62,al.SHF,╩╕ба,2019-02-18,30.0,AL1905.SHF
63,al.SHF,╩╕ба,2019-04-16,40.0,AL1906.SHF
64,al.SHF,╩╕ба,2019-05-15,5.0,AL1907.SHF
65,al.SHF,╩╕ба,2019-06-11,-50.0,AL1908.SHF
66,al.SHF,╩╕ба,2019-07-15,0.0,AL1909.SHF
67,al.SHF,╩╕ба,2019-08-07,-10.0,AL1910.SHF
68,al.SHF,╩╕ба,2019-09-09,-35.0,AL1911.SHF
69,al.SHF,╩╕ба,2019-09-30,-30.0,AL1912.SHF
70,AL.SHF,╩╕ба,2019-10-17,0.0,AL1912.SHF
