id,goods_code,goods_name,adjdate,adjinterval,stock
1,BU.SHF,沥青,2013-10-08,0.0,BU1412.SHF
2,BU.SHF,沥青,2014-02-24,114.0,BU1409.SHF
3,BU.SHF,沥青,2014-09-16,4180.0,BU1412.SHF
4,BU.SHF,沥青,2014-12-10,120.0,BU1506.SHF
5,BU.SHF,沥青,2015-06-01,192.0,BU1509.SHF
6,BU.SHF,沥青,2015-08-24,-26.0,BU1512.SHF
7,BU.SHF,沥青,2015-11-25,-24.0,BU1601.SHF
8,BU.SHF,沥青,2015-12-21,146.0,BU1606.SHF
9,BU.SHF,沥青,2016-04-08,92.0,BU1609.SHF
10,BU.SHF,沥青,2016-08-01,56.0,BU1612.SHF
11,BU.SHF,沥青,2016-11-10,302.0,BU1706.SHF
12,BU.SHF,沥青,2017-04-24,82.0,BU1709.SHF
13,BU.SHF,沥青,2017-08-01,82.0,BU1712.SHF
14,BU.SHF,沥青,2017-11-20,134.0,BU1806.SHF
15,BU.SHF,沥青,2018-05-02,132.0,BU1812.SHF
16,bu.SHF,沥青,2018-11-21,-110.0,BU1906.SHF
17,bu.SHF,沥青,2019-04-30,26.0,BU1912.SHF
18,BU.SHF,沥青,2019-11-01,0.0,BU1912.SHF
