id,goods_code,goods_name,adjdate,adjinterval,stock
1,C.DCE,玉米,2013-07-12,0.0,C1407.DCE
2,C.DCE,玉米,2013-09-16,-5.0,C1409.DCE
3,C.DCE,玉米,2014-07-14,-134.0,C1501.DCE
4,C.DCE,玉米,2014-10-13,19.0,C1505.DCE
5,C.DCE,玉米,2015-01-26,34.0,C1509.DCE
6,C.DCE,玉米,2015-06-23,-246.0,C1601.DCE
7,C.DCE,玉米,2015-07-16,241.0,C1509.DCE
8,C.DCE,玉米,2015-08-06,-370.0,C1601.DCE
9,C.DCE,玉米,2015-09-07,-27.0,C1605.DCE
10,C.DCE,玉米,2016-02-19,-274.0,C1609.DCE
11,C.DCE,玉米,2016-03-18,-86.0,C1701.DCE
12,C.DCE,玉米,2016-11-11,-55.0,C1705.DCE
13,C.DCE,玉米,2017-03-08,72.0,C1709.DCE
14,C.DCE,玉米,2017-08-01,30.0,C1801.DCE
15,C.DCE,玉米,2017-12-04,55.0,C1805.DCE
16,C.DCE,玉米,2018-03-14,-52.0,C1809.DCE
17,C.DCE,玉米,2018-07-09,70.0,C1901.DCE
18,c.DCE,玉米,2018-11-13,84.0,C1905.DCE
19,c.DCE,玉米,2019-03-25,23.0,C1909.DCE
20,c.DCE,玉米,2019-07-31,50.0,C2001.DCE
21,C.DCE,玉米,2019-11-08,0.0,C2001.DCE
