id,goods_code,goods_name,adjdate,adjinterval,stock
1,CS.DCE,ÓñÃ×µí·Û,2014-12-18,0.0,CS1505.DCE
2,CS.DCE,ÓñÃ×µí·Û,2015-04-02,14.0,CS1509.DCE
3,CS.DCE,ÓñÃ×µí·Û,2015-07-27,-335.0,CS1601.DCE
4,CS.DCE,ÓñÃ×µí·Û,2015-10-28,14.0,CS1605.DCE
5,CS.DCE,ÓñÃ×µí·Û,2016-03-18,-107.0,CS1609.DCE
6,CS.DCE,ÓñÃ×µí·Û,2016-06-27,-216.0,CS1701.DCE
7,CS.DCE,ÓñÃ×µí·Û,2016-11-21,-44.0,CS1705.DCE
8,CS.DCE,ÓñÃ×µí·Û,2017-03-21,184.0,CS1709.DCE
9,CS.DCE,ÓñÃ×µí·Û,2017-08-07,-15.0,CS1801.DCE
10,CS.DCE,ÓñÃ×µí·Û,2017-12-01,8.0,CS1805.DCE
11,CS.DCE,ÓñÃ×µí·Û,2018-03-30,-6.0,CS1809.DCE
12,CS.DCE,ÓñÃ×µí·Û,2018-08-06,21.0,CS1901.DCE
13,cs.DCE,ÓñÃ×µí·Û,2018-12-06,-1.0,CS1905.DCE
14,cs.DCE,ÓñÃ×µí·Û,2019-04-15,60.0,CS1909.DCE
15,cs.DCE,ÓñÃ×µí·Û,2019-08-22,15.0,CS2001.DCE
16,CS.DCE,ÓñÃ×µí·Û,2019-10-17,0.0,CS2001.DCE
