id,goods_code,goods_name,adjdate,adjinterval,stock
1,CU.SHF,»¦Í­,2013-07-15,0.0,CU1407.SHF
2,CU.SHF,»¦Í­,2013-09-06,30.0,CU1408.SHF
3,CU.SHF,»¦Í­,2013-12-11,50.0,CU1407.SHF
4,CU.SHF,»¦Í­,2014-05-09,-470.0,CU1408.SHF
5,CU.SHF,»¦Í­,2014-06-25,-310.0,CU1409.SHF
6,CU.SHF,»¦Í­,2014-07-30,-130.0,CU1410.SHF
7,CU.SHF,»¦Í­,2014-08-29,-210.0,CU1411.SHF
8,CU.SHF,»¦Í­,2014-09-23,-420.0,CU1412.SHF
9,CU.SHF,»¦Í­,2014-10-21,-420.0,CU1501.SHF
10,CU.SHF,»¦Í­,2014-11-25,-360.0,CU1502.SHF
11,CU.SHF,»¦Í­,2014-12-17,-380.0,CU1503.SHF
12,CU.SHF,»¦Í­,2015-01-22,-170.0,CU1504.SHF
13,CU.SHF,»¦Í­,2015-02-17,-200.0,CU1505.SHF
14,CU.SHF,»¦Í­,2015-03-23,0.0,CU1506.SHF
15,CU.SHF,»¦Í­,2015-04-24,-120.0,CU1507.SHF
16,CU.SHF,»¦Í­,2015-05-26,-120.0,CU1508.SHF
17,CU.SHF,»¦Í­,2015-06-26,-60.0,CU1509.SHF
18,CU.SHF,»¦Í­,2015-07-24,-290.0,CU1510.SHF
19,CU.SHF,»¦Í­,2015-08-26,-130.0,CU1511.SHF
20,CU.SHF,»¦Í­,2015-09-25,-110.0,CU1512.SHF
21,CU.SHF,»¦Í­,2015-10-29,-100.0,CU1601.SHF
22,CU.SHF,»¦Í­,2015-11-25,-40.0,CU1602.SHF
23,CU.SHF,»¦Í­,2015-12-28,-110.0,CU1603.SHF
24,CU.SHF,»¦Í­,2016-01-29,50.0,CU1604.SHF
25,CU.SHF,»¦Í­,2016-02-26,50.0,CU1605.SHF
26,CU.SHF,»¦Í­,2016-03-28,60.0,CU1606.SHF
27,CU.SHF,»¦Í­,2016-04-25,50.0,CU1607.SHF
28,CU.SHF,»¦Í­,2016-05-26,-10.0,CU1608.SHF
29,CU.SHF,»¦Í­,2016-06-27,0.0,CU1609.SHF
30,CU.SHF,»¦Í­,2016-07-29,50.0,CU1610.SHF
31,CU.SHF,»¦Í­,2016-09-01,30.0,CU1611.SHF
32,CU.SHF,»¦Í­,2016-09-27,20.0,CU1612.SHF
33,CU.SHF,»¦Í­,2016-10-31,20.0,CU1701.SHF
34,CU.SHF,»¦Í­,2016-11-25,80.0,CU1702.SHF
35,CU.SHF,»¦Í­,2016-12-27,120.0,CU1703.SHF
36,CU.SHF,»¦Í­,2017-02-08,150.0,CU1704.SHF
37,CU.SHF,»¦Í­,2017-03-07,210.0,CU1705.SHF
38,CU.SHF,»¦Í­,2017-04-11,90.0,CU1706.SHF
39,CU.SHF,»¦Í­,2017-05-08,30.0,CU1707.SHF
40,CU.SHF,»¦Í­,2017-05-31,10.0,CU1708.SHF
41,CU.SHF,»¦Í­,2017-06-30,100.0,CU1709.SHF
42,CU.SHF,»¦Í­,2017-07-31,110.0,CU1710.SHF
43,CU.SHF,»¦Í­,2017-09-05,130.0,CU1711.SHF
44,CU.SHF,»¦Í­,2017-09-28,40.0,CU1712.SHF
45,CU.SHF,»¦Í­,2017-11-06,90.0,CU1801.SHF
46,CU.SHF,»¦Í­,2017-11-30,20.0,CU1802.SHF
47,CU.SHF,»¦Í­,2017-12-27,120.0,CU1803.SHF
48,CU.SHF,»¦Í­,2018-02-01,160.0,CU1804.SHF
49,CU.SHF,»¦Í­,2018-02-28,170.0,CU1805.SHF
50,CU.SHF,»¦Í­,2018-04-12,110.0,CU1806.SHF
51,CU.SHF,»¦Í­,2018-05-03,170.0,CU1807.SHF
52,CU.SHF,»¦Í­,2018-06-06,230.0,CU1808.SHF
53,CU.SHF,»¦Í­,2018-07-06,80.0,CU1809.SHF
54,CU.SHF,»¦Í­,2018-08-08,60.0,CU1810.SHF
55,CU.SHF,»¦Í­,2018-09-03,-20.0,CU1811.SHF
56,cu.SHF,»¦Í­,2018-10-19,-110.0,CU1812.SHF
57,cu.SHF,»¦Í­,2018-11-01,-60.0,CU1901.SHF
58,cu.SHF,»¦Í­,2018-11-29,-60.0,CU1902.SHF
59,cu.SHF,»¦Í­,2019-01-02,-60.0,CU1903.SHF
60,cu.SHF,»¦Í­,2019-02-14,150.0,CU1904.SHF
61,cu.SHF,»¦Í­,2019-03-05,-380.0,CU1905.SHF
62,cu.SHF,»¦Í­,2019-04-17,40.0,CU1906.SHF
63,cu.SHF,»¦Í­,2019-05-09,-10.0,CU1907.SHF
64,cu.SHF,»¦Í­,2019-06-11,60.0,CU1908.SHF
65,cu.SHF,»¦Í­,2019-07-05,40.0,CU1909.SHF
66,cu.SHF,»¦Í­,2019-08-07,30.0,CU1910.SHF
67,cu.SHF,»¦Í­,2019-09-05,20.0,CU1911.SHF
68,cu.SHF,»¦Í­,2019-10-08,50.0,CU1912.SHF
69,CU.SHF,»¦Í­,2019-11-08,0.0,CU1912.SHF
