id,goods_code,goods_name,adjdate,adjinterval,stock
1,FG.CZC,產薛,2014-01-15,0.0,FG501.CZC
2,FG.CZC,產薛,2014-11-13,-153.0,FG506.CZC
3,FG.CZC,產薛,2015-04-07,-34.0,FG509.CZC
4,FG.CZC,產薛,2015-08-07,-24.0,FG601.CZC
5,FG.CZC,產薛,2015-12-01,-74.0,FG605.CZC
6,FG.CZC,產薛,2016-04-06,26.0,FG609.CZC
7,FG.CZC,產薛,2016-08-11,-13.0,FG701.CZC
8,FG.CZC,產薛,2016-12-02,-34.0,FG705.CZC
9,FG.CZC,產薛,2017-04-10,-11.0,FG709.CZC
10,FG.CZC,產薛,2017-08-09,9.0,FG801.CZC
11,FG.CZC,產薛,2017-11-28,-16.0,FG805.CZC
12,FG.CZC,產薛,2018-04-09,-48.0,FG809.CZC
13,FG.CZC,產薛,2018-08-08,-49.0,FG901.CZC
14,FG.CZC,產薛,2018-12-12,-21.0,FG905.CZC
15,FG.CZC,產薛,2019-04-11,20.0,FG909.CZC
16,FG.CZC,產薛,2019-08-08,-106.0,FG001.CZC
17,FG.CZC,產薛,2019-10-29,0.0,FG001.CZC
