id,goods_code,goods_name,adjdate,adjinterval,stock
1,HC.SHF,热卷,2014-03-20,0.0,HC1410.SHF
2,HC.SHF,热卷,2014-08-29,-22.0,HC1501.SHF
3,HC.SHF,热卷,2014-12-12,-56.0,HC1505.SHF
4,HC.SHF,热卷,2015-04-07,34.0,HC1510.SHF
5,HC.SHF,热卷,2015-07-27,37.0,HC1601.SHF
6,HC.SHF,热卷,2015-11-30,-12.0,HC1605.SHF
7,HC.SHF,热卷,2016-04-12,-163.0,HC1610.SHF
8,HC.SHF,热卷,2016-08-31,-116.0,HC1701.SHF
9,HC.SHF,热卷,2016-11-29,-55.0,HC1705.SHF
10,HC.SHF,热卷,2017-03-27,-134.0,HC1710.SHF
11,HC.SHF,热卷,2017-08-09,-30.0,HC1801.SHF
12,HC.SHF,热卷,2017-11-24,-123.0,HC1805.SHF
13,HC.SHF,热卷,2018-04-04,-291.0,HC1810.SHF
14,HC.SHF,热卷,2018-08-17,-99.0,HC1901.SHF
15,hc.SHF,热卷,2018-11-27,-229.0,HC1905.SHF
16,hc.SHF,热卷,2019-04-08,-276.0,HC1910.SHF
17,hc.SHF,热卷,2019-08-26,-218.0,HC2001.SHF
18,HC.SHF,热卷,2019-11-01,0.0,HC2001.SHF
