id,goods_code,goods_name,adjdate,adjinterval,stock
1,I.DCE,Ìú¿ó,2013-10-17,0.0,I1409.DCE
2,I.DCE,Ìú¿ó,2014-07-22,-14.0,I1501.DCE
3,I.DCE,Ìú¿ó,2014-10-22,-39.0,I1505.DCE
4,I.DCE,Ìú¿ó,2015-03-06,-9.0,I1509.DCE
5,I.DCE,Ìú¿ó,2015-07-20,-17.0,I1601.DCE
6,I.DCE,Ìú¿ó,2015-11-20,-28.0,I1605.DCE
7,I.DCE,Ìú¿ó,2016-03-18,-36.0,I1609.DCE
8,I.DCE,Ìú¿ó,2016-08-10,-52.0,I1701.DCE
9,I.DCE,Ìú¿ó,2016-11-24,-45.5,I1705.DCE
10,I.DCE,Ìú¿ó,2017-03-21,-82.0,I1709.DCE
11,I.DCE,Ìú¿ó,2017-07-31,-23.0,I1801.DCE
12,I.DCE,Ìú¿ó,2017-11-22,23.5,I1805.DCE
13,I.DCE,Ìú¿ó,2018-04-03,15.0,I1809.DCE
14,I.DCE,Ìú¿ó,2018-08-06,4.0,I1901.DCE
15,i.DCE,Ìú¿ó,2018-11-29,-20.5,I1905.DCE
16,i.DCE,Ìú¿ó,2019-04-04,-60.5,I1909.DCE
17,i.DCE,Ìú¿ó,2019-07-30,-134.5,I2001.DCE
18,I.DCE,Ìú¿ó,2019-10-17,0.0,I2001.DCE
