id,goods_code,goods_name,adjdate,adjinterval,stock
1,J.DCE,½¹Ì¿,2013-08-09,0.0,J1407.DCE
2,J.DCE,½¹Ì¿,2013-09-16,32.0,J1409.DCE
3,J.DCE,½¹Ì¿,2014-07-21,67.0,J1501.DCE
4,J.DCE,½¹Ì¿,2014-11-24,-28.0,J1505.DCE
5,J.DCE,½¹Ì¿,2014-12-17,32.0,J1501.DCE
6,J.DCE,½¹Ì¿,2015-01-09,-134.0,J1505.DCE
7,J.DCE,½¹Ì¿,2015-03-27,14.0,J1509.DCE
8,J.DCE,½¹Ì¿,2015-08-10,-20.0,J1601.DCE
9,J.DCE,½¹Ì¿,2015-11-24,-73.5,J1605.DCE
10,J.DCE,½¹Ì¿,2016-03-24,-7.0,J1609.DCE
11,J.DCE,½¹Ì¿,2016-08-15,-47.5,J1701.DCE
12,J.DCE,½¹Ì¿,2016-12-01,-310.0,J1705.DCE
13,J.DCE,½¹Ì¿,2017-03-30,-161.0,J1709.DCE
14,J.DCE,½¹Ì¿,2017-08-02,-45.0,J1801.DCE
15,J.DCE,½¹Ì¿,2017-11-28,91.0,J1805.DCE
16,J.DCE,½¹Ì¿,2018-04-10,-88.5,J1809.DCE
17,J.DCE,½¹Ì¿,2018-08-07,15.0,J1901.DCE
18,j.DCE,½¹Ì¿,2018-12-05,-351.0,J1905.DCE
19,j.DCE,½¹Ì¿,2019-04-04,9.5,J1909.DCE
20,j.DCE,½¹Ì¿,2019-08-06,-33.5,J2001.DCE
21,J.DCE,½¹Ì¿,2019-10-17,0.0,J2001.DCE
22,J.DCE,½¹Ì¿,2019-10-29,-12.0,J2008.DCE
23,J.DCE,½¹Ì¿,2019-10-29,-12.0,J2008.DCE
