id,goods_code,goods_name,adjdate,adjinterval,stock
1,JD.DCE,¼¦µ°,2013-11-07,0.0,JD1409.DCE
2,JD.DCE,¼¦µ°,2014-07-25,-432.0,JD1501.DCE
3,JD.DCE,¼¦µ°,2014-11-28,-339.0,JD1505.DCE
4,JD.DCE,¼¦µ°,2015-03-23,547.0,JD1509.DCE
5,JD.DCE,¼¦µ°,2015-08-03,-65.0,JD1601.DCE
6,JD.DCE,¼¦µ°,2015-11-25,-502.0,JD1605.DCE
7,JD.DCE,¼¦µ°,2016-03-23,510.0,JD1609.DCE
8,JD.DCE,¼¦µ°,2016-07-29,-354.0,JD1701.DCE
9,JD.DCE,¼¦µ°,2016-11-28,-80.0,JD1705.DCE
10,JD.DCE,¼¦µ°,2017-04-11,1033.0,JD1709.DCE
11,JD.DCE,¼¦µ°,2017-08-01,99.0,JD1801.DCE
12,JD.DCE,¼¦µ°,2017-11-30,-468.0,JD1805.DCE
13,JD.DCE,¼¦µ°,2018-04-04,594.0,JD1809.DCE
14,JD.DCE,¼¦µ°,2018-08-03,-461.0,JD1901.DCE
15,jd.DCE,¼¦µ°,2018-12-06,-692.0,JD1905.DCE
16,jd.DCE,¼¦µ°,2019-04-03,679.0,JD1909.DCE
17,jd.DCE,¼¦µ°,2019-08-02,-187.0,JD2001.DCE
18,JD.DCE,¼¦µ°,2019-10-17,0.0,JD2001.DCE
