id,goods_code,goods_name,adjdate,adjinterval,stock
1,L.DCE,塑料,2013-08-22,0.0,L1408.DCE
2,L.DCE,塑料,2013-10-23,-100.0,L1409.DCE
3,L.DCE,塑料,2014-07-22,-365.0,L1501.DCE
4,L.DCE,塑料,2014-11-28,-935.0,L1505.DCE
5,L.DCE,塑料,2015-03-17,-330.0,L1509.DCE
6,L.DCE,塑料,2015-08-03,-540.0,L1601.DCE
7,L.DCE,塑料,2015-11-25,-735.0,L1605.DCE
8,L.DCE,塑料,2016-03-24,-680.0,L1609.DCE
9,L.DCE,塑料,2016-07-22,-300.0,L1701.DCE
10,L.DCE,塑料,2016-11-25,45.0,L1705.DCE
11,L.DCE,塑料,2017-04-06,-50.0,L1709.DCE
12,L.DCE,塑料,2017-07-27,75.0,L1801.DCE
13,L.DCE,塑料,2017-11-27,-95.0,L1805.DCE
14,L.DCE,塑料,2018-04-03,-80.0,L1809.DCE
15,L.DCE,塑料,2018-07-27,-65.0,L1901.DCE
16,l.DCE,塑料,2018-11-15,-425.0,L1905.DCE
17,l.DCE,塑料,2019-03-29,-165.0,L1909.DCE
18,l.DCE,塑料,2019-07-31,-75.0,L2001.DCE
19,L.DCE,塑料,2019-11-08,0.0,L2001.DCE
