id,goods_code,goods_name,adjdate,adjinterval,stock
1,M.DCE,¶¹ÆÉ,2013-07-12,0.0,M1407.DCE
2,M.DCE,¶¹ÆÉ,2013-09-16,-64.0,M1409.DCE
3,M.DCE,¶¹ÆÉ,2014-06-09,-267.0,M1501.DCE
4,M.DCE,¶¹ÆÉ,2014-07-24,-124.0,M1505.DCE
5,M.DCE,¶¹ÆÉ,2014-08-18,160.0,M1501.DCE
6,M.DCE,¶¹ÆÉ,2014-09-09,-202.0,M1505.DCE
7,M.DCE,¶¹ÆÉ,2015-02-26,-43.0,M1509.DCE
8,M.DCE,¶¹ÆÉ,2015-07-22,47.0,M1601.DCE
9,M.DCE,¶¹ÆÉ,2015-11-20,-47.0,M1605.DCE
10,M.DCE,¶¹ÆÉ,2016-03-02,-22.0,M1609.DCE
11,M.DCE,¶¹ÆÉ,2016-07-14,-35.0,M1701.DCE
12,M.DCE,¶¹ÆÉ,2016-11-11,-124.0,M1705.DCE
13,M.DCE,¶¹ÆÉ,2017-03-15,13.0,M1709.DCE
14,M.DCE,¶¹ÆÉ,2017-07-25,23.0,M1801.DCE
15,M.DCE,¶¹ÆÉ,2017-11-21,-89.0,M1805.DCE
16,M.DCE,¶¹ÆÉ,2018-03-14,-47.0,M1809.DCE
17,M.DCE,¶¹ÆÉ,2018-07-02,74.0,M1901.DCE
18,m.DCE,¶¹ÆÉ,2018-11-26,-370.0,M1905.DCE
19,m.DCE,¶¹ÆÉ,2019-03-28,66.0,M1909.DCE
20,m.DCE,¶¹ÆÉ,2019-08-02,2.0,M2001.DCE
21,M.DCE,¶¹ÆÉ,2019-10-31,-97.0,M2005.DCE
22,M.DCE,¶¹ÆÉ,2019-11-08,0.0,M2005.DCE
