id,goods_code,goods_name,adjdate,adjinterval,stock
1,MA.CZC,¼×´¼,2014-06-16,0.0,MA506.CZC
2,MA.CZC,¼×´¼,2015-04-16,-1.0,MA509.CZC
3,MA.CZC,¼×´¼,2015-07-24,-24.0,MA601.CZC
4,MA.CZC,¼×´¼,2015-11-27,-184.0,MA605.CZC
5,MA.CZC,¼×´¼,2016-04-07,60.0,MA609.CZC
6,MA.CZC,¼×´¼,2016-08-08,121.0,MA701.CZC
7,MA.CZC,¼×´¼,2016-12-01,-5.0,MA705.CZC
8,MA.CZC,¼×´¼,2017-04-06,-22.0,MA709.CZC
9,MA.CZC,¼×´¼,2017-08-04,118.0,MA801.CZC
10,MA.CZC,¼×´¼,2017-12-08,-270.0,MA805.CZC
11,MA.CZC,¼×´¼,2018-04-11,-144.0,MA809.CZC
12,MA.CZC,¼×´¼,2018-08-08,127.0,MA901.CZC
13,MA.CZC,¼×´¼,2018-12-11,31.0,MA905.CZC
14,MA.CZC,¼×´¼,2019-04-11,89.0,MA909.CZC
15,MA.CZC,¼×´¼,2019-08-15,118.0,MA001.CZC
16,MA.CZC,¼×´¼,2019-10-29,0.0,MA001.CZC
