id,goods_code,goods_name,adjdate,adjinterval,stock
1,NI.SHF,»¦Äø,2015-03-26,0.0,NI1507.SHF
2,NI.SHF,»¦Äø,2015-05-27,-2560.0,NI1509.SHF
3,NI.SHF,»¦Äø,2015-08-13,800.0,NI1601.SHF
4,NI.SHF,»¦Äø,2015-12-14,1310.0,NI1605.SHF
5,NI.SHF,»¦Äø,2016-04-07,950.0,NI1609.SHF
6,NI.SHF,»¦Äø,2016-07-29,1460.0,NI1701.SHF
7,NI.SHF,»¦Äø,2016-11-24,1570.0,NI1705.SHF
8,NI.SHF,»¦Äø,2017-03-31,1790.0,NI1709.SHF
9,NI.SHF,»¦Äø,2017-08-02,1450.0,NI1801.SHF
10,NI.SHF,»¦Äø,2017-11-10,770.0,NI1805.SHF
11,NI.SHF,»¦Äø,2018-03-28,390.0,NI1807.SHF
12,NI.SHF,»¦Äø,2018-06-04,-670.0,NI1809.SHF
13,NI.SHF,»¦Äø,2018-08-03,180.0,NI1811.SHF
14,NI.SHF,»¦Äø,2018-10-10,-120.0,NI1901.SHF
15,ni.SHF,»¦Äø,2018-12-05,-10.0,NI1905.SHF
16,ni.SHF,»¦Äø,2019-04-09,-180.0,NI1906.SHF
17,ni.SHF,»¦Äø,2019-05-06,-210.0,NI1907.SHF
18,ni.SHF,»¦Äø,2019-06-04,-220.0,NI1908.SHF
19,ni.SHF,»¦Äø,2019-07-05,200.0,NI1909.SHF
20,ni.SHF,»¦Äø,2019-07-12,180.0,NI1910.SHF
21,ni.SHF,»¦Äø,2019-08-29,140.0,NI1911.SHF
22,ni.SHF,»¦Äø,2019-09-30,-90.0,NI1912.SHF
23,NI.SHF,»¦Äø,2019-11-01,-2430.0,NI2001.SHF
24,NI.SHF,»¦Äø,2019-11-01,0.0,NI2001.SHF
