id,goods_code,goods_name,adjdate,adjinterval,stock
1,OI.CZC,╡ксм,2014-01-15,0.0,OI501.CZC
2,OI.CZC,╡ксм,2014-11-13,46.0,OI505.CZC
3,OI.CZC,╡ксм,2015-03-09,30.0,OI509.CZC
4,OI.CZC,╡ксм,2015-06-11,100.0,OI601.CZC
5,OI.CZC,╡ксм,2015-11-09,-154.0,OI605.CZC
6,OI.CZC,╡ксм,2016-03-07,122.0,OI609.CZC
7,OI.CZC,╡ксм,2016-07-01,150.0,OI701.CZC
8,OI.CZC,╡ксм,2016-11-21,174.0,OI705.CZC
9,OI.CZC,╡ксм,2017-03-14,294.0,OI709.CZC
10,OI.CZC,╡ксм,2017-07-04,158.0,OI801.CZC
11,OI.CZC,╡ксм,2017-11-17,190.0,OI805.CZC
12,OI.CZC,╡ксм,2018-03-20,184.0,OI809.CZC
13,OI.CZC,╡ксм,2018-06-29,176.0,OI901.CZC
14,OI.CZC,╡ксм,2018-12-03,178.0,OI905.CZC
15,OI.CZC,╡ксм,2019-04-01,19.0,OI909.CZC
16,OI.CZC,╡ксм,2019-07-30,39.0,OI001.CZC
17,OI.CZC,╡ксм,2019-10-29,0.0,OI001.CZC
