id,goods_code,goods_name,adjdate,adjinterval,stock
1,P.DCE,вьИ╣см,2013-08-07,0.0,P1407.DCE
2,P.DCE,вьИ╣см,2013-09-16,-96.0,P1409.DCE
3,P.DCE,вьИ╣см,2014-06-13,82.0,P1501.DCE
4,P.DCE,вьИ╣см,2014-11-05,64.0,P1505.DCE
5,P.DCE,вьИ╣см,2015-03-04,-144.0,P1509.DCE
6,P.DCE,вьИ╣см,2015-06-03,188.0,P1601.DCE
7,P.DCE,вьИ╣см,2015-11-26,282.0,P1605.DCE
8,P.DCE,вьИ╣см,2016-03-14,64.0,P1609.DCE
9,P.DCE,вьИ╣см,2016-07-05,-54.0,P1701.DCE
10,P.DCE,вьИ╣см,2016-11-22,-148.0,P1705.DCE
11,P.DCE,вьИ╣см,2017-03-08,-180.0,P1709.DCE
12,P.DCE,вьИ╣см,2017-07-04,-182.0,P1801.DCE
13,P.DCE,вьИ╣см,2017-11-17,96.0,P1805.DCE
14,P.DCE,вьИ╣см,2018-03-20,-4.0,P1809.DCE
15,P.DCE,вьИ╣см,2018-07-19,100.0,P1901.DCE
16,p.DCE,вьИ╣см,2018-11-30,292.0,P1905.DCE
17,p.DCE,вьИ╣см,2019-04-09,234.0,P1909.DCE
18,p.DCE,вьИ╣см,2019-08-02,150.0,P2001.DCE
19,P.DCE,вьИ╣см,2019-11-01,0.0,P2001.DCE
