id,goods_code,goods_name,adjdate,adjinterval,stock
1,PB.SHF,»¦Ç¦,2013-09-04,0.0,PB1408.SHF
2,PB.SHF,»¦Ç¦,2013-12-17,-25.0,PB1407.SHF
3,PB.SHF,»¦Ç¦,2014-01-15,30.0,PB1412.SHF
4,PB.SHF,»¦Ç¦,2014-02-24,-380.0,PB1407.SHF
5,PB.SHF,»¦Ç¦,2014-06-04,65.0,PB1408.SHF
6,PB.SHF,»¦Ç¦,2014-07-24,120.0,PB1410.SHF
7,PB.SHF,»¦Ç¦,2014-09-16,70.0,PB1411.SHF
8,PB.SHF,»¦Ç¦,2014-10-17,55.0,PB1412.SHF
9,PB.SHF,»¦Ç¦,2014-11-07,80.0,PB1501.SHF
10,PB.SHF,»¦Ç¦,2014-12-11,100.0,PB1502.SHF
11,PB.SHF,»¦Ç¦,2015-01-05,10.0,PB1503.SHF
12,PB.SHF,»¦Ç¦,2015-01-30,-65.0,PB1504.SHF
13,PB.SHF,»¦Ç¦,2015-03-04,-35.0,PB1505.SHF
14,PB.SHF,»¦Ç¦,2015-03-30,-10.0,PB1506.SHF
15,PB.SHF,»¦Ç¦,2015-05-06,15.0,PB1507.SHF
16,PB.SHF,»¦Ç¦,2015-06-01,-50.0,PB1508.SHF
17,PB.SHF,»¦Ç¦,2015-07-08,-120.0,PB1509.SHF
18,PB.SHF,»¦Ç¦,2015-07-29,-115.0,PB1510.SHF
19,PB.SHF,»¦Ç¦,2015-09-02,-105.0,PB1511.SHF
20,PB.SHF,»¦Ç¦,2015-10-08,-40.0,PB1512.SHF
21,PB.SHF,»¦Ç¦,2015-11-09,-55.0,PB1601.SHF
22,PB.SHF,»¦Ç¦,2015-12-02,-170.0,PB1602.SHF
23,PB.SHF,»¦Ç¦,2016-01-11,-25.0,PB1603.SHF
24,PB.SHF,»¦Ç¦,2016-02-16,-105.0,PB1604.SHF
25,PB.SHF,»¦Ç¦,2016-03-08,25.0,PB1605.SHF
26,PB.SHF,»¦Ç¦,2016-04-13,-100.0,PB1606.SHF
27,PB.SHF,»¦Ç¦,2016-05-06,50.0,PB1607.SHF
28,PB.SHF,»¦Ç¦,2016-06-13,10.0,PB1608.SHF
29,PB.SHF,»¦Ç¦,2016-07-06,95.0,PB1609.SHF
30,PB.SHF,»¦Ç¦,2016-08-19,-5.0,PB1610.SHF
31,PB.SHF,»¦Ç¦,2016-09-19,30.0,PB1611.SHF
32,PB.SHF,»¦Ç¦,2016-10-19,-85.0,PB1612.SHF
33,PB.SHF,»¦Ç¦,2016-11-09,20.0,PB1701.SHF
34,PB.SHF,»¦Ç¦,2016-12-07,-195.0,PB1702.SHF
35,PB.SHF,»¦Ç¦,2017-01-13,45.0,PB1703.SHF
36,PB.SHF,»¦Ç¦,2017-02-20,85.0,PB1704.SHF
37,PB.SHF,»¦Ç¦,2017-03-15,105.0,PB1705.SHF
38,PB.SHF,»¦Ç¦,2017-04-14,90.0,PB1706.SHF
39,PB.SHF,»¦Ç¦,2017-05-22,100.0,PB1707.SHF
40,PB.SHF,»¦Ç¦,2017-06-21,-215.0,PB1708.SHF
41,PB.SHF,»¦Ç¦,2017-07-20,-40.0,PB1709.SHF
42,PB.SHF,»¦Ç¦,2017-08-15,5.0,PB1710.SHF
43,PB.SHF,»¦Ç¦,2017-09-15,-710.0,PB1711.SHF
44,PB.SHF,»¦Ç¦,2017-10-19,-150.0,PB1712.SHF
45,PB.SHF,»¦Ç¦,2017-11-15,-5.0,PB1801.SHF
46,PB.SHF,»¦Ç¦,2017-12-19,-15.0,PB1802.SHF
47,PB.SHF,»¦Ç¦,2018-01-16,50.0,PB1803.SHF
48,PB.SHF,»¦Ç¦,2018-02-13,-10.0,PB1804.SHF
49,PB.SHF,»¦Ç¦,2018-03-13,-70.0,PB1805.SHF
50,PB.SHF,»¦Ç¦,2018-04-16,-250.0,PB1806.SHF
51,PB.SHF,»¦Ç¦,2018-05-21,-515.0,PB1807.SHF
52,PB.SHF,»¦Ç¦,2018-06-25,-430.0,PB1808.SHF
53,PB.SHF,»¦Ç¦,2018-07-20,-420.0,PB1809.SHF
54,PB.SHF,»¦Ç¦,2018-08-17,-250.0,PB1810.SHF
55,PB.SHF,»¦Ç¦,2018-09-18,-425.0,PB1811.SHF
56,pb.SHF,»¦Ç¦,2018-10-19,-170.0,PB1812.SHF
57,pb.SHF,»¦Ç¦,2018-11-14,-425.0,PB1901.SHF
58,pb.SHF,»¦Ç¦,2018-12-18,-290.0,PB1902.SHF
59,pb.SHF,»¦Ç¦,2019-01-21,-135.0,PB1903.SHF
60,pb.SHF,»¦Ç¦,2019-02-20,-5.0,PB1904.SHF
61,pb.SHF,»¦Ç¦,2019-03-18,-25.0,PB1905.SHF
62,pb.SHF,»¦Ç¦,2019-04-15,-20.0,PB1906.SHF
63,pb.SHF,»¦Ç¦,2019-05-21,-15.0,PB1907.SHF
64,pb.SHF,»¦Ç¦,2019-06-20,5.0,PB1908.SHF
65,pb.SHF,»¦Ç¦,2019-07-15,-20.0,PB1909.SHF
66,pb.SHF,»¦Ç¦,2019-08-20,25.0,PB1910.SHF
67,pb.SHF,»¦Ç¦,2019-09-17,-30.0,PB1911.SHF
68,pb.SHF,»¦Ç¦,2019-10-22,-105.0,PB1912.SHF
69,PB.SHF,»¦Ç¦,2019-10-29,0.0,PB1912.SHF
