id,goods_code,goods_name,adjdate,adjinterval,stock
1,PP.DCE,¾Û±ûÏ©,2014-02-27,0.0,PP1409.DCE
2,PP.DCE,¾Û±ûÏ©,2014-07-29,-643.0,PP1501.DCE
3,PP.DCE,¾Û±ûÏ©,2014-11-24,-879.0,PP1505.DCE
4,PP.DCE,¾Û±ûÏ©,2015-03-13,-335.0,PP1509.DCE
5,PP.DCE,¾Û±ûÏ©,2015-08-03,-336.0,PP1601.DCE
6,PP.DCE,¾Û±ûÏ©,2015-11-24,-390.0,PP1605.DCE
7,PP.DCE,¾Û±ûÏ©,2016-03-25,-498.0,PP1609.DCE
8,PP.DCE,¾Û±ûÏ©,2016-08-10,-893.0,PP1701.DCE
9,PP.DCE,¾Û±ûÏ©,2016-11-30,-64.0,PP1705.DCE
10,PP.DCE,¾Û±ûÏ©,2017-04-10,-20.0,PP1709.DCE
11,PP.DCE,¾Û±ûÏ©,2017-08-08,244.0,PP1801.DCE
12,PP.DCE,¾Û±ûÏ©,2017-11-30,-79.0,PP1805.DCE
13,PP.DCE,¾Û±ûÏ©,2018-04-04,69.0,PP1809.DCE
14,PP.DCE,¾Û±ûÏ©,2018-08-06,12.0,PP1901.DCE
15,pp.DCE,¾Û±ûÏ©,2018-12-05,-565.0,PP1905.DCE
16,pp.DCE,¾Û±ûÏ©,2019-04-04,-265.0,PP1909.DCE
17,pp.DCE,¾Û±ûÏ©,2019-07-31,-393.0,PP2001.DCE
18,PP.DCE,¾Û±ûÏ©,2019-11-01,0.0,PP2001.DCE
