id,goods_code,goods_name,adjdate,adjinterval,stock
1,RB.SHF,ÂÝÎÆ,2013-07-18,0.0,RB1407.SHF
2,RB.SHF,ÂÝÎÆ,2013-10-14,37.0,RB1409.SHF
3,RB.SHF,ÂÝÎÆ,2013-11-04,41.0,RB1410.SHF
4,RB.SHF,ÂÝÎÆ,2014-07-03,16.0,RB1501.SHF
5,RB.SHF,ÂÝÎÆ,2014-10-17,-36.0,RB1505.SHF
6,RB.SHF,ÂÝÎÆ,2015-03-06,67.0,RB1510.SHF
7,RB.SHF,ÂÝÎÆ,2015-07-17,47.0,RB1601.SHF
8,RB.SHF,ÂÝÎÆ,2015-11-03,-3.0,RB1605.SHF
9,RB.SHF,ÂÝÎÆ,2016-03-11,-60.0,RB1610.SHF
10,RB.SHF,ÂÝÎÆ,2016-08-17,-59.0,RB1701.SHF
11,RB.SHF,ÂÝÎÆ,2016-11-25,84.0,RB1705.SHF
12,RB.SHF,ÂÝÎÆ,2017-03-22,-288.0,RB1710.SHF
13,RB.SHF,ÂÝÎÆ,2017-08-07,-151.0,RB1801.SHF
14,RB.SHF,ÂÝÎÆ,2017-11-08,20.0,RB1805.SHF
15,RB.SHF,ÂÝÎÆ,2018-03-27,-205.0,RB1810.SHF
16,RB.SHF,ÂÝÎÆ,2018-08-16,-166.0,RB1901.SHF
17,rb.SHF,ÂÝÎÆ,2018-11-27,-333.0,RB1905.SHF
18,rb.SHF,ÂÝÎÆ,2019-03-29,-290.0,RB1910.SHF
19,rb.SHF,ÂÝÎÆ,2019-08-21,-260.0,RB2001.SHF
20,RB.SHF,ÂÝÎÆ,2019-10-17,0.0,RB2001.SHF
