id,goods_code,goods_name,adjdate,adjinterval,stock
1,RM.CZC,≤À∆…,2014-01-15,0.0,RM501.CZC
2,RM.CZC,≤À∆…,2014-11-11,19.0,RM505.CZC
3,RM.CZC,≤À∆…,2015-03-02,-110.0,RM509.CZC
4,RM.CZC,≤À∆…,2015-07-23,-72.0,RM601.CZC
5,RM.CZC,≤À∆…,2015-11-30,68.0,RM605.CZC
6,RM.CZC,≤À∆…,2016-03-11,2.0,RM609.CZC
7,RM.CZC,≤À∆…,2016-08-04,-142.0,RM701.CZC
8,RM.CZC,≤À∆…,2016-11-25,47.0,RM705.CZC
9,RM.CZC,≤À∆…,2017-03-17,23.0,RM709.CZC
10,RM.CZC,≤À∆…,2017-08-01,-74.0,RM801.CZC
11,RM.CZC,≤À∆…,2017-12-05,23.0,RM805.CZC
12,RM.CZC,≤À∆…,2018-03-26,12.0,RM809.CZC
13,RM.CZC,≤À∆…,2018-07-25,-29.0,RM901.CZC
14,RM.CZC,≤À∆…,2018-11-26,-39.0,RM905.CZC
15,RM.CZC,≤À∆…,2019-03-29,16.0,RM909.CZC
16,RM.CZC,≤À∆…,2019-08-07,-172.0,RM001.CZC
17,RM.CZC,≤À∆…,2019-10-29,0.0,RM001.CZC
