id,goods_code,goods_name,adjdate,adjinterval,stock
1,RU.SHF,ПрЅє,2013-07-16,0.0,RU1407.SHF
2,RU.SHF,ПрЅє,2013-08-22,-35.0,RU1408.SHF
3,RU.SHF,ПрЅє,2013-09-18,5.0,RU1409.SHF
4,RU.SHF,ПрЅє,2014-07-22,1260.0,RU1501.SHF
5,RU.SHF,ПрЅє,2014-11-20,195.0,RU1505.SHF
6,RU.SHF,ПрЅє,2015-02-17,-720.0,RU1509.SHF
7,RU.SHF,ПрЅє,2015-07-15,1020.0,RU1601.SHF
8,RU.SHF,ПрЅє,2015-11-23,-880.0,RU1605.SHF
9,RU.SHF,ПрЅє,2016-03-16,280.0,RU1609.SHF
10,RU.SHF,ПрЅє,2016-08-02,1745.0,RU1701.SHF
11,RU.SHF,ПрЅє,2016-11-18,510.0,RU1705.SHF
12,RU.SHF,ПрЅє,2017-03-23,460.0,RU1709.SHF
13,RU.SHF,ПрЅє,2017-08-01,2845.0,RU1801.SHF
14,RU.SHF,ПрЅє,2017-11-27,415.0,RU1805.SHF
15,RU.SHF,ПрЅє,2018-03-28,375.0,RU1809.SHF
16,RU.SHF,ПрЅє,2018-08-07,2030.0,RU1901.SHF
17,ru.SHF,ПрЅє,2018-11-29,250.0,RU1905.SHF
18,ru.SHF,ПрЅє,2019-03-21,275.0,RU1909.SHF
19,ru.SHF,ПрЅє,2019-08-07,970.0,RU2001.SHF
20,RU.SHF,ПрЅє,2019-11-01,0.0,RU2001.SHF
