id,goods_code,goods_name,adjdate,adjinterval,stock
1,SC.INE,原油,2018-03-26,0.0,SC1809.INE
2,SC.INE,原油,2018-08-08,-3.4000000000000914,SC1812.INE
3,SC.INE,原油,2018-11-16,8.900000000000034,SC1901.INE
4,SC.INE,原油,2018-12-17,9.099999999999966,SC1903.INE
5,SC.INE,原油,2019-02-15,6.699999999999987,SC1904.INE
6,SC.INE,原油,2019-03-15,-0.8000000000000114,SC1905.INE
7,SC.INE,原油,2019-04-16,3.7999999999999545,SC1906.INE
8,SC.INE,原油,2019-05-20,-2.200000000000045,SC1907.INE
9,SC.INE,原油,2019-06-17,-0.10000000000002274,SC1908.INE
10,sc.INE,原油,2019-07-15,1.3000000000000114,SC1909.INE
11,sc.INE,原油,2019-08-14,-2.5,SC1910.INE
12,sc.INE,原油,2019-09-06,-4.600000000000024,SC1911.INE
13,sc.INE,原油,2019-10-10,-6.899999999999977,SC1912.INE
14,SC.INE,原油,2019-10-16,0.0,SC1912.INE
