id,goods_code,goods_name,adjdate,adjinterval,stock
1,SM.CZC,รฬน่,2014-08-07,0.0,SM501.CZC
2,SM.CZC,รฬน่,2015-01-16,-240.0,SM505.CZC
3,SM.CZC,รฬน่,2015-05-04,586.0,SM601.CZC
4,SM.CZC,รฬน่,2015-05-25,-320.0,SM507.CZC
5,SM.CZC,รฬน่,2015-06-15,-168.0,SM509.CZC
6,SM.CZC,รฬน่,2015-07-07,248.0,SM601.CZC
7,SM.CZC,รฬน่,2015-07-29,-540.0,SM607.CZC
8,SM.CZC,รฬน่,2015-08-19,290.0,SM601.CZC
9,SM.CZC,รฬน่,2015-12-29,-170.0,SM605.CZC
10,SM.CZC,รฬน่,2016-04-29,-448.0,SM609.CZC
11,SM.CZC,รฬน่,2016-08-30,-560.0,SM701.CZC
12,SM.CZC,รฬน่,2016-12-13,-768.0,SM705.CZC
13,SM.CZC,รฬน่,2017-04-14,12.0,SM709.CZC
14,SM.CZC,รฬน่,2017-08-10,-58.0,SM801.CZC
15,SM.CZC,รฬน่,2017-12-21,-984.0,SM805.CZC
16,SM.CZC,รฬน่,2018-04-24,-276.0,SM809.CZC
17,SM.CZC,รฬน่,2018-08-14,-122.0,SM901.CZC
18,SM.CZC,รฬน่,2018-12-21,-702.0,SM905.CZC
19,SM.CZC,รฬน่,2019-04-18,-140.0,SM909.CZC
20,SM.CZC,รฬน่,2019-08-19,-356.0,SM001.CZC
21,SM.CZC,รฬน่,2019-11-08,0.0,SM001.CZC
