id,goods_code,goods_name,adjdate,adjinterval,stock
1,SN.SHF,»¦Îý,2015-03-26,0.0,SN1507.SHF
2,SN.SHF,»¦Îý,2015-07-01,1560.0,SN1509.SHF
3,SN.SHF,»¦Îý,2015-09-11,1430.0,SN1601.SHF
4,SN.SHF,»¦Îý,2015-12-21,340.0,SN1605.SHF
5,SN.SHF,»¦Îý,2016-05-03,1540.0,SN1609.SHF
6,SN.SHF,»¦Îý,2016-08-30,2060.0,SN1701.SHF
7,SN.SHF,»¦Îý,2016-12-29,870.0,SN1705.SHF
8,SN.SHF,»¦Îý,2017-04-25,990.0,SN1709.SHF
9,SN.SHF,»¦Îý,2017-08-29,2980.0,SN1801.SHF
10,SN.SHF,»¦Îý,2017-12-22,2820.0,SN1805.SHF
11,SN.SHF,»¦Îý,2018-04-17,2540.0,SN1809.SHF
12,SN.SHF,»¦Îý,2018-08-14,2500.0,SN1901.SHF
13,sn.SHF,»¦Îý,2018-12-05,1600.0,SN1905.SHF
14,sn.SHF,»¦Îý,2019-04-09,2040.0,SN1909.SHF
15,sn.SHF,»¦Îý,2019-08-08,240.0,SN2001.SHF
16,SN.SHF,»¦Îý,2019-11-01,0.0,SN2001.SHF
