id,goods_code,goods_name,adjdate,adjinterval,stock
1,SR.CZC,╟влг,2013-07-12,0.0,SR501.CZC
2,SR.CZC,╟влг,2014-11-07,79.0,SR505.CZC
3,SR.CZC,╟влг,2015-02-13,52.0,SR509.CZC
4,SR.CZC,╟влг,2015-06-19,267.0,SR601.CZC
5,SR.CZC,╟влг,2015-11-16,-15.0,SR605.CZC
6,SR.CZC,╟влг,2016-02-29,113.0,SR609.CZC
7,SR.CZC,╟влг,2016-07-19,378.0,SR701.CZC
8,SR.CZC,╟влг,2016-12-06,65.0,SR705.CZC
9,SR.CZC,╟влг,2017-03-30,66.0,SR709.CZC
10,SR.CZC,╟влг,2017-07-14,23.0,SR801.CZC
11,SR.CZC,╟влг,2017-12-13,-312.0,SR805.CZC
12,SR.CZC,╟влг,2018-03-29,-9.0,SR809.CZC
13,SR.CZC,╟влг,2018-07-27,195.0,SR901.CZC
14,SR.CZC,╟влг,2018-11-09,-42.0,SR905.CZC
15,SR.CZC,╟влг,2019-03-15,-30.0,SR909.CZC
16,SR.CZC,╟влг,2019-07-25,-31.0,SR001.CZC
17,SR.CZC,╟влг,2019-11-08,0.0,SR001.CZC
