id,goods_code,goods_name,adjdate,adjinterval,stock
1,TA.CZC,PTA,2014-01-15,0.0,TA501.CZC
2,TA.CZC,PTA,2014-11-24,-164.0,TA505.CZC
3,TA.CZC,PTA,2015-03-30,156.0,TA509.CZC
4,TA.CZC,PTA,2015-08-05,132.0,TA601.CZC
5,TA.CZC,PTA,2015-11-23,-208.0,TA605.CZC
6,TA.CZC,PTA,2016-03-29,146.0,TA609.CZC
7,TA.CZC,PTA,2016-08-04,174.0,TA701.CZC
8,TA.CZC,PTA,2016-11-14,172.0,TA705.CZC
9,TA.CZC,PTA,2017-04-06,158.0,TA709.CZC
10,TA.CZC,PTA,2017-08-04,94.0,TA801.CZC
11,TA.CZC,PTA,2017-11-22,26.0,TA805.CZC
12,TA.CZC,PTA,2018-03-26,6.0,TA809.CZC
13,TA.CZC,PTA,2018-08-06,-510.0,TA901.CZC
14,TA.CZC,PTA,2018-11-29,-186.0,TA905.CZC
15,TA.CZC,PTA,2019-04-08,-360.0,TA909.CZC
16,TA.CZC,PTA,2019-08-14,-118.0,TA001.CZC
17,TA.CZC,PTA,2019-10-17,0.0,TA001.CZC
