id,goods_code,goods_name,adjdate,adjinterval,stock
1,V.DCE,PVC,2013-10-08,0.0,V1409.DCE
2,V.DCE,PVC,2014-08-04,-85.0,V1501.DCE
3,V.DCE,PVC,2014-10-31,-150.0,V1505.DCE
4,V.DCE,PVC,2015-03-26,35.0,V1509.DCE
5,V.DCE,PVC,2015-08-11,-250.0,V1601.DCE
6,V.DCE,PVC,2015-10-16,-55.0,V1605.DCE
7,V.DCE,PVC,2016-03-24,-100.0,V1609.DCE
8,V.DCE,PVC,2016-08-17,-215.0,V1701.DCE
9,V.DCE,PVC,2016-12-01,-325.0,V1705.DCE
10,V.DCE,PVC,2017-04-06,5.0,V1709.DCE
11,V.DCE,PVC,2017-08-08,-110.0,V1801.DCE
12,V.DCE,PVC,2017-11-28,60.0,V1805.DCE
13,V.DCE,PVC,2018-04-04,50.0,V1809.DCE
14,V.DCE,PVC,2018-08-07,-80.0,V1901.DCE
15,v.DCE,PVC,2018-11-30,-250.0,V1905.DCE
16,v.DCE,PVC,2019-03-22,-5.0,V1909.DCE
17,v.DCE,PVC,2019-08-12,-180.0,V2001.DCE
18,V.DCE,PVC,2019-11-08,0.0,V2001.DCE
