id,goods_code,goods_name,adjdate,adjinterval,stock
1,WH.CZC,强麦,2014-09-15,0.0,WH509.CZC
2,WH.CZC,强麦,2015-01-19,29.0,WH601.CZC
3,WH.CZC,强麦,2015-10-19,0.0,WH605.CZC
4,WH.CZC,强麦,2016-04-15,-139.0,WH609.CZC
5,WH.CZC,强麦,2016-07-18,26.0,WH701.CZC
6,WH.CZC,强麦,2016-12-21,-26.0,WH705.CZC
7,WH.CZC,强麦,2017-04-25,-440.0,WH709.CZC
8,WH.CZC,强麦,2017-07-07,58.0,WH801.CZC
9,WH.CZC,强麦,2017-12-27,75.0,WH805.CZC
10,WH.CZC,强麦,2018-04-13,-34.0,WH809.CZC
11,WH.CZC,强麦,2018-07-12,85.0,WH901.CZC
12,WH.CZC,强麦,2018-12-25,30.0,WH905.CZC
13,WH.CZC,强麦,2019-04-24,-263.0,WH909.CZC
14,WH.CZC,强麦,2019-09-09,307.0,WH001.CZC
15,WH.CZC,强麦,2019-10-29,0.0,WH001.CZC
