id,goods_code,goods_name,adjdate,adjinterval,stock
1,Y.DCE,∂π”Õ,2013-08-09,0.0,Y1407.DCE
2,Y.DCE,∂π”Õ,2013-08-26,130.0,Y1408.DCE
3,Y.DCE,∂π”Õ,2013-09-16,-66.0,Y1409.DCE
4,Y.DCE,∂π”Õ,2014-06-03,126.0,Y1501.DCE
5,Y.DCE,∂π”Õ,2014-10-31,88.0,Y1505.DCE
6,Y.DCE,∂π”Õ,2015-03-03,30.0,Y1509.DCE
7,Y.DCE,∂π”Õ,2015-06-15,156.0,Y1601.DCE
8,Y.DCE,∂π”Õ,2015-11-16,-154.0,Y1605.DCE
9,Y.DCE,∂π”Õ,2016-03-07,54.0,Y1609.DCE
10,Y.DCE,∂π”Õ,2016-07-05,170.0,Y1701.DCE
11,Y.DCE,∂π”Õ,2016-11-22,80.0,Y1705.DCE
12,Y.DCE,∂π”Õ,2017-03-20,140.0,Y1709.DCE
13,Y.DCE,∂π”Õ,2017-07-26,150.0,Y1801.DCE
14,Y.DCE,∂π”Õ,2017-11-30,180.0,Y1805.DCE
15,Y.DCE,∂π”Õ,2018-03-23,174.0,Y1809.DCE
16,Y.DCE,∂π”Õ,2018-07-25,184.0,Y1901.DCE
17,y.DCE,∂π”Õ,2018-11-30,114.0,Y1905.DCE
18,y.DCE,∂π”Õ,2019-04-01,164.0,Y1909.DCE
19,y.DCE,∂π”Õ,2019-07-31,154.0,Y2001.DCE
20,Y.DCE,∂π”Õ,2019-11-01,0.0,Y2001.DCE
