id,goods_code,goods_name,adjdate,adjinterval,stock
1,ZC.CZC,动煤,2015-05-15,0.0,ZC605.CZC
2,ZC.CZC,动煤,2016-04-06,-8.4,ZC609.CZC
3,ZC.CZC,动煤,2016-08-15,57.4,ZC701.CZC
4,ZC.CZC,动煤,2016-12-05,-77.2,ZC705.CZC
5,ZC.CZC,动煤,2017-04-18,-80.8,ZC709.CZC
6,ZC.CZC,动煤,2017-08-09,1.0,ZC801.CZC
7,ZC.CZC,动煤,2017-12-19,-52.600000000000016,ZC805.CZC
8,ZC.CZC,动煤,2018-04-12,-2.0,ZC809.CZC
9,ZC.CZC,动煤,2018-08-08,0.20000000000004547,ZC901.CZC
10,ZC.CZC,动煤,2018-12-05,-36.200000000000045,ZC905.CZC
11,ZC.CZC,动煤,2019-04-18,-24.80000000000007,ZC909.CZC
12,ZC.CZC,动煤,2019-08-19,-3.0,ZC911.CZC
13,ZC.CZC,动煤,2019-09-12,-6.600000000000023,ZC001.CZC
14,ZC.CZC,动煤,2019-11-08,0.0,ZC001.CZC
