trade_time,stock,position
2013/2/8,A1407.DCE,6
2013/2/18,A1407.DCE,6
2013/2/19,A1407.DCE,6
2013/2/20,A1407.DCE,6
2013/2/21,A1407.DCE,6
2013/2/22,A1407.DCE,6
2013/2/25,A1407.DCE,6
2013/2/26,A1407.DCE,6
2013/2/27,A1407.DCE,6
2013/2/28,A1407.DCE,6
2013/3/1,A1407.DCE,6
2013/3/4,A1407.DCE,6
2013/3/5,A1407.DCE,6
2013/3/6,A1407.DCE,6
2013/3/7,A1407.DCE,10
2013/3/8,A1407.DCE,6
2013/3/11,A1407.DCE,6
2013/3/12,A1407.DCE,6
2013/3/13,A1407.DCE,6
2013/3/14,A1407.DCE,6
2013/3/15,A1409.DCE,68
2013/3/18,A1409.DCE,58
2013/3/19,A1409.DCE,100
2013/3/20,A1409.DCE,100
2013/3/21,A1409.DCE,116
2013/3/22,A1409.DCE,162
2013/3/25,A1409.DCE,164
2013/3/26,A1409.DCE,178
2013/3/27,A1409.DCE,192
2013/3/28,A1409.DCE,182
2013/3/29,A1409.DCE,184
2013/4/1,A1409.DCE,198
2013/4/2,A1409.DCE,200
2013/4/3,A1409.DCE,206
2013/4/8,A1409.DCE,218
2013/4/9,A1409.DCE,238
2013/4/10,A1409.DCE,240
2013/4/11,A1409.DCE,252
2013/4/12,A1409.DCE,254
2013/4/15,A1409.DCE,242
2013/4/16,A1409.DCE,352
2013/4/17,A1409.DCE,328
2013/4/18,A1409.DCE,332
2013/4/19,A1409.DCE,350
2013/4/22,A1409.DCE,356
2013/4/23,A1409.DCE,362
2013/4/24,A1409.DCE,380
2013/4/25,A1409.DCE,384
2013/4/26,A1409.DCE,406
2013/5/2,A1409.DCE,440
2013/5/3,A1409.DCE,422
2013/5/6,A1409.DCE,438
2013/5/7,A1409.DCE,440
2013/5/8,A1409.DCE,438
2013/5/9,A1409.DCE,428
2013/5/10,A1409.DCE,712
2013/5/13,A1409.DCE,878
2013/5/14,A1409.DCE,1138
2013/5/15,A1409.DCE,1202
2013/5/16,A1409.DCE,1178
2013/5/17,A1409.DCE,1118
2013/5/20,A1409.DCE,1168
2013/5/21,A1409.DCE,1184
2013/5/22,A1409.DCE,1170
2013/5/23,A1409.DCE,1182
2013/5/24,A1409.DCE,1276
2013/5/27,A1409.DCE,1302
2013/5/28,A1409.DCE,1370
2013/5/29,A1409.DCE,1448
2013/5/30,A1409.DCE,1456
2013/5/31,A1409.DCE,1464
2013/6/3,A1409.DCE,1366
2013/6/4,A1409.DCE,1372
2013/6/5,A1409.DCE,1354
2013/6/6,A1409.DCE,1304
2013/6/7,A1409.DCE,1318
2013/6/13,A1409.DCE,1320
2013/6/14,A1409.DCE,1338
2013/6/17,A1409.DCE,1324
2013/6/18,A1409.DCE,1326
2013/6/19,A1409.DCE,1310
2013/6/20,A1409.DCE,1308
2013/6/21,A1409.DCE,1326
2013/6/24,A1409.DCE,1358
2013/6/25,A1409.DCE,1356
2013/6/26,A1409.DCE,1452
2013/6/27,A1409.DCE,1458
2013/6/28,A1409.DCE,1454
2013/7/1,A1409.DCE,1494
2013/7/2,A1409.DCE,1546
2013/7/3,A1409.DCE,1544
2013/7/4,A1409.DCE,1546
2013/7/5,A1409.DCE,1548
2013/7/8,A1409.DCE,1548
2013/7/9,A1409.DCE,1518
2013/7/10,A1409.DCE,1532
2013/7/11,A1409.DCE,1530
2013/7/12,A1409.DCE,1488
2013/7/15,A1409.DCE,1500
2013/7/16,A1409.DCE,1498
2013/7/17,A1409.DCE,1514
2013/7/18,A1409.DCE,1700
2013/7/19,A1409.DCE,2004
2013/7/22,A1409.DCE,2010
2013/7/23,A1409.DCE,2002
2013/7/24,A1409.DCE,1962
2013/7/25,A1409.DCE,2452
2013/7/26,A1409.DCE,2660
2013/7/29,A1409.DCE,3116
2013/7/30,A1409.DCE,4106
2013/7/31,A1409.DCE,3460
2013/8/1,A1409.DCE,3468
2013/8/2,A1409.DCE,3530
2013/8/5,A1409.DCE,3834
2013/8/6,A1409.DCE,4090
2013/8/7,A1409.DCE,4966
2013/8/8,A1409.DCE,5330
2013/8/9,A1409.DCE,6526
2013/8/12,A1409.DCE,6906
2013/8/13,A1409.DCE,6822
2013/8/14,A1409.DCE,7708
2013/8/15,A1409.DCE,8760
2013/8/16,A1409.DCE,8974
2013/8/19,A1409.DCE,8962
2013/8/20,A1409.DCE,9634
2013/8/21,A1409.DCE,9778
2013/8/22,A1409.DCE,9594
2013/8/23,A1409.DCE,9826
2013/8/26,A1409.DCE,9366
2013/8/27,A1409.DCE,9564
2013/8/28,A1409.DCE,9634
2013/8/29,A1409.DCE,9876
2013/8/30,A1409.DCE,9450
2013/9/2,A1409.DCE,9400
2013/9/3,A1409.DCE,9516
2013/9/4,A1409.DCE,9680
2013/9/5,A1409.DCE,9736
2013/9/6,A1409.DCE,10042
2013/9/9,A1409.DCE,10198
2013/9/10,A1409.DCE,9958
2013/9/11,A1409.DCE,9966
2013/9/12,A1409.DCE,10004
2013/9/13,A1409.DCE,10174
2013/9/16,A1409.DCE,10592
2013/9/17,A1409.DCE,11754
2013/9/18,A1409.DCE,11604
2013/9/23,A1409.DCE,11706
2013/9/24,A1409.DCE,12520
2013/9/25,A1409.DCE,12630
2013/9/26,A1409.DCE,12838
2013/9/27,A1409.DCE,12898
2013/9/30,A1409.DCE,13218
2013/10/8,A1409.DCE,13238
2013/10/9,A1409.DCE,14058
2013/10/10,A1409.DCE,17026
2013/10/11,A1409.DCE,17632
2013/10/14,A1409.DCE,17988
2013/10/15,A1409.DCE,18294
2013/10/16,A1409.DCE,21872
2013/10/17,A1409.DCE,22288
2013/10/18,A1409.DCE,22444
2013/10/21,A1409.DCE,22394
2013/10/22,A1409.DCE,22070
2013/10/23,A1409.DCE,20868
2013/10/24,A1409.DCE,23082
2013/10/25,A1409.DCE,21116
2013/10/28,A1409.DCE,22058
2013/10/29,A1409.DCE,22034
2013/10/30,A1409.DCE,22202
2013/10/31,A1409.DCE,22360
2013/11/1,A1409.DCE,22816
2013/11/4,A1409.DCE,22202
2013/11/5,A1409.DCE,21956
2013/11/6,A1409.DCE,22078
2013/11/7,A1409.DCE,22068
2013/11/8,A1409.DCE,21920
2013/11/11,A1409.DCE,21870
2013/11/12,A1409.DCE,21730
2013/11/13,A1409.DCE,21844
2013/11/14,A1409.DCE,22000
2013/11/15,A1409.DCE,21828
2013/11/18,A1409.DCE,21540
2013/11/19,A1409.DCE,21278
2013/11/20,A1409.DCE,22810
2013/11/21,A1409.DCE,24764
2013/11/22,A1409.DCE,25224
2013/11/25,A1409.DCE,26908
2013/11/26,A1409.DCE,28278
2013/11/27,A1409.DCE,30762
2013/11/28,A1409.DCE,34968
2013/11/29,A1409.DCE,37242
2013/12/2,A1409.DCE,39670
2013/12/3,A1409.DCE,38868
2013/12/4,A1409.DCE,39942
2013/12/5,A1409.DCE,39982
2013/12/6,A1409.DCE,39794
2013/12/9,A1409.DCE,40232
2013/12/10,A1409.DCE,41678
2013/12/11,A1409.DCE,41758
2013/12/12,A1409.DCE,42238
2013/12/13,A1409.DCE,42422
2013/12/16,A1409.DCE,49954
2013/12/17,A1409.DCE,51246
2013/12/18,A1409.DCE,52834
2013/12/19,A1409.DCE,53502
2013/12/20,A1409.DCE,55484
2013/12/23,A1409.DCE,55406
2013/12/24,A1409.DCE,57160
2013/12/25,A1409.DCE,57708
2013/12/26,A1409.DCE,57920
2013/12/27,A1409.DCE,58316
2013/12/30,A1409.DCE,84960
2013/12/31,A1409.DCE,79940
2014/1/2,A1409.DCE,79750
2014/1/3,A1409.DCE,77098
2014/1/6,A1409.DCE,75212
2014/1/7,A1409.DCE,68690
2014/1/8,A1409.DCE,67564
2014/1/9,A1409.DCE,69346
2014/1/10,A1409.DCE,84478
2014/1/13,A1409.DCE,70772
2014/1/14,A1409.DCE,67394
2014/1/15,A1409.DCE,67066
2014/1/16,A1409.DCE,70948
2014/1/17,A1409.DCE,77404
2014/1/20,A1409.DCE,86694
2014/1/21,A1409.DCE,90834
2014/1/22,A1409.DCE,90682
2014/1/23,A1409.DCE,90564
2014/1/24,A1409.DCE,87602
2014/1/27,A1409.DCE,85750
2014/1/28,A1409.DCE,81424
2014/1/29,A1409.DCE,80110
2014/1/30,A1409.DCE,76986
2014/2/7,A1409.DCE,77612
2014/2/10,A1409.DCE,103744
