trade_time,stock,position
2013-07-19,AG1407.SHF,6.0
2013-07-22,AG1407.SHF,10.0
2013-07-23,AG1407.SHF,10.0
2013-07-24,AG1407.SHF,8.0
2013-07-25,AG1407.SHF,10.0
2013-07-26,AG1407.SHF,22.0
2013-07-29,AG1407.SHF,18.0
2013-07-30,AG1407.SHF,18.0
2013-07-31,AG1407.SHF,8.0
2013-08-01,AG1407.SHF,8.0
2013-08-02,AG1407.SHF,10.0
2013-08-05,AG1407.SHF,8.0
2013-08-06,AG1407.SHF,8.0
2013-08-07,AG1407.SHF,10.0
2013-08-08,AG1407.SHF,10.0
2013-08-09,AG1407.SHF,22.0
2013-08-12,AG1407.SHF,28.0
2013-08-13,AG1407.SHF,32.0
2013-08-14,AG1407.SHF,34.0
2013-08-15,AG1407.SHF,28.0
2013-08-16,AG1407.SHF,36.0
2013-08-19,AG1408.SHF,46.0
2013-08-20,AG1408.SHF,56.0
2013-08-21,AG1408.SHF,40.0
2013-08-22,AG1408.SHF,42.0
2013-08-23,AG1408.SHF,72.0
2013-08-26,AG1408.SHF,96.0
2013-08-27,AG1408.SHF,98.0
2013-08-28,AG1408.SHF,108.0
2013-08-29,AG1408.SHF,110.0
2013-08-30,AG1408.SHF,98.0
2013-09-02,AG1408.SHF,102.0
2013-09-03,AG1408.SHF,100.0
2013-09-04,AG1408.SHF,96.0
2013-09-05,AG1408.SHF,96.0
2013-09-06,AG1408.SHF,100.0
2013-09-09,AG1408.SHF,120.0
2013-09-10,AG1408.SHF,118.0
2013-09-11,AG1408.SHF,116.0
2013-09-12,AG1408.SHF,116.0
2013-09-13,AG1408.SHF,140.0
2013-09-16,AG1408.SHF,130.0
2013-09-17,AG1408.SHF,128.0
2013-09-18,AG1408.SHF,130.0
2013-09-23,AG1408.SHF,130.0
2013-09-24,AG1408.SHF,132.0
2013-09-25,AG1407.SHF,242.0
2013-09-26,AG1407.SHF,286.0
2013-09-27,AG1407.SHF,270.0
2013-09-30,AG1407.SHF,200.0
2013-10-08,AG1407.SHF,208.0
2013-10-09,AG1407.SHF,200.0
2013-10-10,AG1407.SHF,186.0
2013-10-11,AG1407.SHF,186.0
2013-10-14,AG1408.SHF,162.0
2013-10-15,AG1408.SHF,160.0
2013-10-16,AG1408.SHF,162.0
2013-10-17,AG1408.SHF,176.0
2013-10-18,AG1408.SHF,170.0
2013-10-21,AG1408.SHF,174.0
2013-10-22,AG1408.SHF,180.0
2013-10-23,AG1408.SHF,198.0
2013-10-24,AG1408.SHF,198.0
2013-10-25,AG1407.SHF,196.0
2013-10-28,AG1407.SHF,238.0
2013-10-29,AG1407.SHF,228.0
2013-10-30,AG1407.SHF,184.0
2013-10-31,AG1408.SHF,198.0
2013-11-01,AG1408.SHF,198.0
2013-11-04,AG1408.SHF,194.0
2013-11-05,AG1408.SHF,186.0
2013-11-06,AG1408.SHF,188.0
2013-11-07,AG1408.SHF,188.0
2013-11-08,AG1408.SHF,194.0
2013-11-11,AG1408.SHF,198.0
2013-11-12,AG1409.SHF,202.0
2013-11-13,AG1409.SHF,220.0
2013-11-14,AG1409.SHF,220.0
2013-11-15,AG1409.SHF,224.0
2013-11-18,AG1409.SHF,238.0
2013-11-19,AG1408.SHF,266.0
2013-11-20,AG1408.SHF,266.0
2013-11-21,AG1409.SHF,278.0
2013-11-22,AG1409.SHF,286.0
2013-11-25,AG1409.SHF,292.0
2013-11-26,AG1409.SHF,284.0
2013-11-27,AG1409.SHF,280.0
2013-11-28,AG1409.SHF,300.0
2013-11-29,AG1409.SHF,308.0
2013-12-02,AG1409.SHF,308.0
2013-12-03,AG1409.SHF,338.0
2013-12-04,AG1409.SHF,334.0
2013-12-05,AG1409.SHF,322.0
2013-12-06,AG1409.SHF,326.0
2013-12-09,AG1409.SHF,312.0
2013-12-10,AG1407.SHF,292.0
2013-12-11,AG1409.SHF,266.0
2013-12-12,AG1409.SHF,264.0
2013-12-13,AG1409.SHF,282.0
2013-12-16,AG1409.SHF,290.0
2013-12-17,AG1412.SHF,454.0
2013-12-18,AG1412.SHF,642.0
2013-12-19,AG1412.SHF,1078.0
2013-12-20,AG1412.SHF,1732.0
2013-12-23,AG1412.SHF,2926.0
2013-12-24,AG1412.SHF,3654.0
2013-12-25,AG1412.SHF,3682.0
2013-12-26,AG1412.SHF,4380.0
2013-12-27,AG1412.SHF,4418.0
2013-12-30,AG1412.SHF,4466.0
2013-12-31,AG1412.SHF,4658.0
2014-01-02,AG1412.SHF,5134.0
2014-01-03,AG1412.SHF,4980.0
2014-01-06,AG1412.SHF,5060.0
2014-01-07,AG1412.SHF,5180.0
2014-01-08,AG1412.SHF,5332.0
2014-01-09,AG1412.SHF,5222.0
2014-01-10,AG1412.SHF,5122.0
2014-01-13,AG1412.SHF,5516.0
2014-01-14,AG1412.SHF,5978.0
2014-01-15,AG1412.SHF,6418.0
2014-01-16,AG1412.SHF,6704.0
2014-01-17,AG1412.SHF,6858.0
2014-01-20,AG1412.SHF,7346.0
2014-01-21,AG1412.SHF,7340.0
2014-01-22,AG1412.SHF,7590.0
2014-01-23,AG1412.SHF,7722.0
2014-01-24,AG1412.SHF,7208.0
2014-01-27,AG1412.SHF,7298.0
2014-01-28,AG1412.SHF,7840.0
2014-01-29,AG1412.SHF,7780.0
2014-01-30,AG1412.SHF,7358.0
2014-02-07,AG1412.SHF,7358.0
2014-02-10,AG1412.SHF,8324.0
2014-02-11,AG1412.SHF,8944.0
2014-02-12,AG1412.SHF,9666.0
2014-02-13,AG1412.SHF,9904.0
2014-02-14,AG1412.SHF,11204.0
2014-02-17,AG1412.SHF,14566.0
2014-02-18,AG1412.SHF,14950.0
2014-02-19,AG1412.SHF,20346.0
2014-02-20,AG1412.SHF,23524.0
2014-02-21,AG1412.SHF,23686.0
2014-02-24,AG1412.SHF,23540.0
2014-02-25,AG1412.SHF,23372.0
2014-02-26,AG1412.SHF,25288.0
2014-02-27,AG1412.SHF,27010.0
2014-02-28,AG1412.SHF,27308.0
2014-03-03,AG1412.SHF,28046.0
2014-03-04,AG1412.SHF,28198.0
2014-03-05,AG1412.SHF,28358.0
2014-03-06,AG1412.SHF,28680.0
2014-03-07,AG1412.SHF,28680.0
2014-03-10,AG1412.SHF,28780.0
2014-03-11,AG1412.SHF,32400.0
2014-03-12,AG1412.SHF,33390.0
2014-03-13,AG1412.SHF,35102.0
2014-03-14,AG1412.SHF,35968.0
2014-03-17,AG1412.SHF,36110.0
2014-03-18,AG1412.SHF,38526.0
2014-03-19,AG1412.SHF,40944.0
2014-03-20,AG1412.SHF,42552.0
2014-03-21,AG1412.SHF,43522.0
2014-03-24,AG1412.SHF,44774.0
2014-03-25,AG1412.SHF,45808.0
2014-03-26,AG1412.SHF,46452.0
