trade_time,stock,position
2013-08-05,AL1407.SHF,2.0
2013-08-06,AL1407.SHF,2.0
2013-08-07,AL1407.SHF,2.0
2013-08-08,AL1407.SHF,2.0
2013-08-09,AL1407.SHF,2.0
2013-08-12,AL1407.SHF,2.0
2013-08-13,AL1407.SHF,2.0
2013-08-14,AL1407.SHF,2.0
2013-08-15,AL1407.SHF,2.0
2013-08-16,AL1407.SHF,2.0
2013-08-19,AL1407.SHF,2.0
2013-08-20,AL1407.SHF,2.0
2013-08-21,AL1407.SHF,2.0
2013-08-22,AL1407.SHF,2.0
2013-08-23,AL1407.SHF,2.0
2013-08-26,AL1407.SHF,2.0
2013-08-27,AL1407.SHF,2.0
2013-08-28,AL1407.SHF,2.0
2013-08-29,AL1407.SHF,2.0
2013-08-30,AL1407.SHF,2.0
2013-09-02,AL1408.SHF,30.0
2013-09-03,AL1408.SHF,30.0
2013-09-04,AL1408.SHF,30.0
2013-09-05,AL1408.SHF,30.0
2013-09-06,AL1408.SHF,36.0
2013-09-09,AL1408.SHF,30.0
2013-09-10,AL1408.SHF,30.0
2013-09-11,AL1408.SHF,30.0
2013-09-12,AL1408.SHF,30.0
2013-09-13,AL1408.SHF,30.0
2013-09-16,AL1408.SHF,30.0
2013-09-17,AL1408.SHF,30.0
2013-09-18,AL1408.SHF,30.0
2013-09-23,AL1408.SHF,30.0
2013-09-24,AL1408.SHF,30.0
2013-09-25,AL1408.SHF,30.0
2013-09-26,AL1408.SHF,30.0
2013-09-27,AL1408.SHF,30.0
2013-09-30,AL1408.SHF,30.0
2013-10-08,AL1408.SHF,30.0
2013-10-09,AL1408.SHF,30.0
2013-10-10,AL1407.SHF,32.0
2013-10-11,AL1407.SHF,32.0
2013-10-14,AL1407.SHF,50.0
2013-10-15,AL1407.SHF,134.0
2013-10-16,AL1407.SHF,136.0
2013-10-17,AL1407.SHF,136.0
2013-10-18,AL1407.SHF,136.0
2013-10-21,AL1407.SHF,134.0
2013-10-22,AL1407.SHF,134.0
2013-10-23,AL1407.SHF,134.0
2013-10-24,AL1407.SHF,134.0
2013-10-25,AL1407.SHF,134.0
2013-10-28,AL1407.SHF,134.0
2013-10-29,AL1408.SHF,62.0
2013-10-30,AL1408.SHF,60.0
2013-10-31,AL1408.SHF,60.0
2013-11-01,AL1408.SHF,60.0
2013-11-04,AL1408.SHF,60.0
2013-11-05,AL1408.SHF,60.0
2013-11-06,AL1407.SHF,152.0
2013-11-07,AL1407.SHF,154.0
2013-11-08,AL1407.SHF,154.0
2013-11-11,AL1407.SHF,154.0
2013-11-12,AL1407.SHF,154.0
2013-11-13,AL1407.SHF,158.0
2013-11-14,AL1407.SHF,242.0
2013-11-15,AL1407.SHF,282.0
2013-11-18,AL1407.SHF,264.0
2013-11-19,AL1407.SHF,264.0
2013-11-20,AL1407.SHF,264.0
2013-11-21,AL1407.SHF,270.0
2013-11-22,AL1407.SHF,272.0
2013-11-25,AL1407.SHF,322.0
2013-11-26,AL1407.SHF,322.0
2013-11-27,AL1407.SHF,322.0
2013-11-28,AL1407.SHF,324.0
2013-11-29,AL1407.SHF,568.0
2013-12-02,AL1407.SHF,696.0
2013-12-03,AL1407.SHF,696.0
2013-12-04,AL1407.SHF,738.0
2013-12-05,AL1407.SHF,1008.0
2013-12-06,AL1407.SHF,1162.0
2013-12-09,AL1407.SHF,1166.0
2013-12-10,AL1407.SHF,1222.0
2013-12-11,AL1407.SHF,1480.0
2013-12-12,AL1407.SHF,1564.0
2013-12-13,AL1407.SHF,1656.0
2013-12-16,AL1407.SHF,1782.0
2013-12-17,AL1407.SHF,1836.0
2013-12-18,AL1407.SHF,2288.0
2013-12-19,AL1407.SHF,2328.0
2013-12-20,AL1407.SHF,2374.0
2013-12-23,AL1407.SHF,2442.0
2013-12-24,AL1407.SHF,2504.0
2013-12-25,AL1407.SHF,2654.0
2013-12-26,AL1407.SHF,2696.0
2013-12-27,AL1407.SHF,3010.0
2013-12-30,AL1407.SHF,3284.0
2013-12-31,AL1407.SHF,3290.0
2014-01-02,AL1407.SHF,3360.0
2014-01-03,AL1407.SHF,3376.0
2014-01-06,AL1407.SHF,3308.0
2014-01-07,AL1407.SHF,3372.0
2014-01-08,AL1407.SHF,3418.0
2014-01-09,AL1407.SHF,3470.0
2014-01-10,AL1407.SHF,4918.0
2014-01-13,AL1407.SHF,5152.0
2014-01-14,AL1407.SHF,5698.0
2014-01-15,AL1407.SHF,6506.0
2014-01-16,AL1407.SHF,7038.0
2014-01-17,AL1407.SHF,7432.0
2014-01-20,AL1407.SHF,7740.0
2014-01-21,AL1407.SHF,7820.0
2014-01-22,AL1407.SHF,8526.0
2014-01-23,AL1407.SHF,8718.0
2014-01-24,AL1407.SHF,9124.0
2014-01-27,AL1407.SHF,9578.0
2014-01-28,AL1407.SHF,9510.0
2014-01-29,AL1407.SHF,9540.0
2014-01-30,AL1407.SHF,10796.0
2014-02-07,AL1407.SHF,11676.0
2014-02-10,AL1407.SHF,12464.0
2014-02-11,AL1407.SHF,12612.0
2014-02-12,AL1407.SHF,12668.0
2014-02-13,AL1407.SHF,12728.0
2014-02-14,AL1407.SHF,12792.0
2014-02-17,AL1407.SHF,13042.0
2014-02-18,AL1407.SHF,13560.0
2014-02-19,AL1407.SHF,13842.0
2014-02-20,AL1407.SHF,13886.0
2014-02-21,AL1407.SHF,14140.0
2014-02-24,AL1407.SHF,14886.0
2014-02-25,AL1407.SHF,15570.0
2014-02-26,AL1407.SHF,15910.0
2014-02-27,AL1407.SHF,16252.0
2014-02-28,AL1407.SHF,17182.0
2014-03-03,AL1407.SHF,18348.0
2014-03-04,AL1407.SHF,19162.0
2014-03-05,AL1407.SHF,19700.0
2014-03-06,AL1407.SHF,20652.0
2014-03-07,AL1407.SHF,21130.0
2014-03-10,AL1407.SHF,21988.0
2014-03-11,AL1407.SHF,23586.0
2014-03-12,AL1407.SHF,25258.0
2014-03-13,AL1407.SHF,27620.0
2014-03-14,AL1407.SHF,27926.0
2014-03-17,AL1407.SHF,29742.0
2014-03-18,AL1407.SHF,32638.0
2014-03-19,AL1407.SHF,34562.0
2014-03-20,AL1407.SHF,38290.0
2014-03-21,AL1407.SHF,42892.0
2014-03-24,AL1407.SHF,46194.0
2014-03-25,AL1407.SHF,48216.0
2014-03-26,AL1407.SHF,51954.0
2014-03-27,AL1407.SHF,53466.0
2014-03-28,AL1407.SHF,57476.0
2014-03-31,AL1407.SHF,59042.0
2014-04-01,AL1407.SHF,62616.0
2014-04-02,AL1407.SHF,72200.0
2014-04-03,AL1407.SHF,74172.0
2014-04-04,AL1407.SHF,76904.0
2014-04-08,AL1407.SHF,79302.0
2014-04-09,AL1407.SHF,79548.0
2014-04-10,AL1407.SHF,86902.0
2014-04-11,AL1407.SHF,92182.0
2014-04-14,AL1407.SHF,92206.0
2014-04-15,AL1407.SHF,95204.0
2014-04-16,AL1407.SHF,96584.0
2014-04-17,AL1407.SHF,105768.0
2014-04-18,AL1407.SHF,106000.0
2014-04-21,AL1407.SHF,107358.0
2014-04-22,AL1407.SHF,108834.0
2014-04-23,AL1407.SHF,116796.0
2014-04-24,AL1407.SHF,121522.0
2014-04-25,AL1407.SHF,116814.0
2014-04-28,AL1407.SHF,115748.0
2014-04-29,AL1407.SHF,116530.0
2014-04-30,AL1407.SHF,114802.0
2014-05-05,AL1407.SHF,113884.0
2014-05-06,AL1407.SHF,114754.0
2014-05-07,AL1407.SHF,117068.0
2014-05-08,AL1407.SHF,116846.0
2014-05-09,AL1407.SHF,116964.0
2014-05-12,AL1407.SHF,117818.0
2014-05-13,AL1407.SHF,119286.0
2014-05-14,AL1407.SHF,117746.0
2014-05-15,AL1407.SHF,116818.0
2014-05-16,AL1407.SHF,114376.0
2014-05-19,AL1407.SHF,110926.0
2014-05-20,AL1407.SHF,104810.0
2014-05-21,AL1407.SHF,103102.0
2014-05-22,AL1407.SHF,101870.0
2014-05-23,AL1408.SHF,105802.0
2014-05-26,AL1408.SHF,121910.0
2014-05-27,AL1408.SHF,121582.0
2014-05-28,AL1408.SHF,129274.0
2014-05-29,AL1408.SHF,125750.0
2014-05-30,AL1408.SHF,135682.0
2014-06-03,AL1408.SHF,135078.0
2014-06-04,AL1408.SHF,135804.0
2014-06-05,AL1408.SHF,134234.0
2014-06-06,AL1408.SHF,133518.0
2014-06-09,AL1408.SHF,181352.0
2014-06-10,AL1408.SHF,174338.0
2014-06-11,AL1408.SHF,182444.0
2014-06-12,AL1408.SHF,167724.0
