trade_time,stock,position
2017-12-22,AP805.CZC,21646.0
2017-12-25,AP805.CZC,25296.0
2017-12-26,AP805.CZC,21018.0
2017-12-27,AP805.CZC,17524.0
2017-12-28,AP805.CZC,15558.0
2017-12-29,AP805.CZC,13754.0
2018-01-02,AP805.CZC,12360.0
2018-01-03,AP805.CZC,11852.0
2018-01-04,AP805.CZC,11252.0
2018-01-05,AP805.CZC,10090.0
2018-01-08,AP805.CZC,9794.0
2018-01-09,AP805.CZC,15934.0
2018-01-10,AP805.CZC,16004.0
2018-01-11,AP805.CZC,20238.0
2018-01-12,AP805.CZC,24070.0
2018-01-15,AP805.CZC,25024.0
2018-01-16,AP805.CZC,28730.0
2018-01-17,AP805.CZC,31314.0
2018-01-18,AP805.CZC,32514.0
2018-01-19,AP805.CZC,31622.0
2018-01-22,AP805.CZC,30488.0
2018-01-23,AP805.CZC,28442.0
2018-01-24,AP805.CZC,28900.0
2018-01-25,AP805.CZC,29692.0
2018-01-26,AP805.CZC,27502.0
2018-01-29,AP805.CZC,32460.0
2018-01-30,AP805.CZC,36340.0
2018-01-31,AP805.CZC,36572.0
2018-02-01,AP805.CZC,38134.0
2018-02-02,AP805.CZC,42932.0
2018-02-05,AP805.CZC,48282.0
2018-02-06,AP805.CZC,51858.0
2018-02-07,AP805.CZC,70608.0
2018-02-08,AP805.CZC,52822.0
2018-02-09,AP805.CZC,55844.0
2018-02-12,AP805.CZC,53656.0
2018-02-13,AP805.CZC,53304.0
2018-02-14,AP805.CZC,52600.0
2018-02-22,AP805.CZC,71708.0
2018-02-23,AP805.CZC,71108.0
2018-02-26,AP805.CZC,54924.0
2018-02-27,AP805.CZC,64128.0
2018-02-28,AP805.CZC,66560.0
2018-03-01,AP805.CZC,68836.0
2018-03-02,AP805.CZC,62484.0
2018-03-05,AP805.CZC,61168.0
2018-03-06,AP805.CZC,76480.0
2018-03-07,AP805.CZC,68264.0
2018-03-08,AP805.CZC,62722.0
2018-03-09,AP805.CZC,63194.0
2018-03-12,AP805.CZC,65806.0
2018-03-13,AP805.CZC,59850.0
2018-03-14,AP805.CZC,59196.0
2018-03-15,AP805.CZC,73462.0
2018-03-16,AP805.CZC,72430.0
2018-03-19,AP805.CZC,64384.0
2018-03-20,AP805.CZC,58194.0
2018-03-21,AP805.CZC,60412.0
2018-03-22,AP805.CZC,56210.0
2018-03-23,AP805.CZC,61242.0
2018-03-26,AP805.CZC,65986.0
2018-03-27,AP805.CZC,57648.0
2018-03-28,AP805.CZC,59120.0
2018-03-29,AP805.CZC,53998.0
2018-03-30,AP805.CZC,51520.0
2018-04-02,AP805.CZC,73706.0
2018-04-03,AP805.CZC,61594.0
2018-04-04,AP805.CZC,54878.0
2018-04-09,AP805.CZC,48220.0
2018-04-10,AP805.CZC,49180.0
2018-04-11,AP810.CZC,70680.0
2018-04-12,AP810.CZC,88142.0
2018-04-13,AP810.CZC,102042.0
2018-04-16,AP810.CZC,102602.0
2018-04-17,AP810.CZC,91362.0
2018-04-18,AP810.CZC,101286.0
2018-04-19,AP810.CZC,101554.0
2018-04-20,AP810.CZC,111636.0
2018-04-23,AP810.CZC,167276.0
2018-04-24,AP810.CZC,163418.0
2018-04-25,AP810.CZC,149010.0
2018-04-26,AP810.CZC,191088.0
2018-04-27,AP810.CZC,177128.0
2018-05-02,AP810.CZC,208624.0
2018-05-03,AP810.CZC,229762.0
2018-05-04,AP810.CZC,209160.0
2018-05-07,AP810.CZC,216544.0
2018-05-08,AP810.CZC,270036.0
2018-05-09,AP810.CZC,276058.0
2018-05-10,AP810.CZC,275626.0
2018-05-11,AP810.CZC,267250.0
2018-05-14,AP810.CZC,337098.0
2018-05-15,AP810.CZC,300456.0
2018-05-16,AP810.CZC,275460.0
2018-05-17,AP810.CZC,315066.0
2018-05-18,AP810.CZC,319588.0
2018-05-21,AP810.CZC,337574.0
2018-05-22,AP810.CZC,425936.0
2018-05-23,AP810.CZC,436928.0
2018-05-24,AP810.CZC,433764.0
2018-05-25,AP810.CZC,454728.0
2018-05-28,AP810.CZC,452350.0
2018-05-29,AP810.CZC,473108.0
2018-05-30,AP810.CZC,443816.0
2018-05-31,AP810.CZC,490090.0
2018-06-01,AP810.CZC,441204.0
2018-06-04,AP810.CZC,449122.0
2018-06-05,AP810.CZC,464650.0
2018-06-06,AP810.CZC,420024.0
2018-06-07,AP810.CZC,429436.0
2018-06-08,AP810.CZC,440174.0
2018-06-11,AP810.CZC,374216.0
2018-06-12,AP810.CZC,465484.0
2018-06-13,AP810.CZC,416304.0
2018-06-14,AP810.CZC,359872.0
2018-06-15,AP810.CZC,373180.0
2018-06-19,AP810.CZC,370792.0
2018-06-20,AP810.CZC,340384.0
2018-06-21,AP810.CZC,254218.0
2018-06-22,AP810.CZC,237530.0
2018-06-25,AP810.CZC,227210.0
2018-06-26,AP810.CZC,216756.0
2018-06-27,AP810.CZC,221446.0
2018-06-28,AP810.CZC,213122.0
2018-06-29,AP810.CZC,203136.0
2018-07-02,AP810.CZC,187532.0
2018-07-03,AP810.CZC,192960.0
2018-07-04,AP810.CZC,187284.0
2018-07-05,AP810.CZC,176744.0
2018-07-06,AP810.CZC,169232.0
2018-07-09,AP810.CZC,179238.0
2018-07-10,AP810.CZC,179148.0
2018-07-11,AP901.CZC,176924.0
2018-07-12,AP901.CZC,168358.0
2018-07-13,AP901.CZC,163320.0
2018-07-16,AP901.CZC,167006.0
2018-07-17,AP901.CZC,177432.0
2018-07-18,AP901.CZC,197040.0
2018-07-19,AP901.CZC,239696.0
2018-07-20,AP901.CZC,249346.0
