trade_time,stock,position
2013-07-17,AU1407.SHF,2.0
2013-07-18,AU1407.SHF,2.0
2013-07-19,AU1407.SHF,2.0
2013-07-22,AU1407.SHF,2.0
2013-07-23,AU1407.SHF,2.0
2013-07-24,AU1407.SHF,4.0
2013-07-25,AU1407.SHF,6.0
2013-07-26,AU1407.SHF,6.0
2013-07-29,AU1407.SHF,6.0
2013-07-30,AU1407.SHF,6.0
2013-07-31,AU1407.SHF,2.0
2013-08-01,AU1407.SHF,2.0
2013-08-02,AU1407.SHF,2.0
2013-08-05,AU1407.SHF,2.0
2013-08-06,AU1407.SHF,2.0
2013-08-07,AU1407.SHF,2.0
2013-08-08,AU1407.SHF,2.0
2013-08-09,AU1407.SHF,6.0
2013-08-12,AU1407.SHF,6.0
2013-08-13,AU1407.SHF,6.0
2013-08-14,AU1407.SHF,6.0
2013-08-15,AU1407.SHF,2.0
2013-08-16,AU1407.SHF,2.0
2013-08-19,AU1407.SHF,2.0
2013-08-20,AU1407.SHF,2.0
2013-08-21,AU1407.SHF,2.0
2013-08-22,AU1407.SHF,4.0
2013-08-23,AU1407.SHF,4.0
2013-08-26,AU1407.SHF,4.0
2013-08-27,AU1407.SHF,4.0
2013-08-28,AU1407.SHF,6.0
2013-08-29,AU1407.SHF,2.0
2013-08-30,AU1407.SHF,2.0
2013-09-02,AU1408.SHF,8.0
2013-09-03,AU1408.SHF,8.0
2013-09-04,AU1408.SHF,8.0
2013-09-05,AU1408.SHF,4.0
2013-09-06,AU1408.SHF,4.0
2013-09-09,AU1408.SHF,4.0
2013-09-10,AU1408.SHF,4.0
2013-09-11,AU1408.SHF,2.0
2013-09-12,AU1407.SHF,10.0
2013-09-13,AU1407.SHF,10.0
2013-09-16,AU1407.SHF,16.0
2013-09-17,AU1407.SHF,12.0
2013-09-18,AU1407.SHF,16.0
2013-09-23,AU1407.SHF,16.0
2013-09-24,AU1407.SHF,14.0
2013-09-25,AU1407.SHF,14.0
2013-09-26,AU1407.SHF,14.0
2013-09-27,AU1408.SHF,6.0
2013-09-30,AU1408.SHF,8.0
2013-10-08,AU1408.SHF,8.0
2013-10-09,AU1408.SHF,8.0
2013-10-10,AU1407.SHF,12.0
2013-10-11,AU1407.SHF,12.0
2013-10-14,AU1407.SHF,48.0
2013-10-15,AU1407.SHF,52.0
2013-10-16,AU1407.SHF,50.0
2013-10-17,AU1407.SHF,44.0
2013-10-18,AU1407.SHF,42.0
2013-10-21,AU1407.SHF,38.0
2013-10-22,AU1407.SHF,38.0
2013-10-23,AU1407.SHF,36.0
2013-10-24,AU1408.SHF,24.0
2013-10-25,AU1408.SHF,20.0
2013-10-28,AU1407.SHF,22.0
2013-10-29,AU1408.SHF,24.0
2013-10-30,AU1408.SHF,22.0
2013-10-31,AU1408.SHF,30.0
2013-11-01,AU1408.SHF,30.0
2013-11-04,AU1408.SHF,30.0
2013-11-05,AU1407.SHF,30.0
2013-11-06,AU1407.SHF,30.0
2013-11-07,AU1408.SHF,30.0
2013-11-08,AU1407.SHF,28.0
2013-11-11,AU1407.SHF,24.0
2013-11-12,AU1407.SHF,26.0
2013-11-13,AU1407.SHF,26.0
2013-11-14,AU1407.SHF,26.0
2013-11-15,AU1407.SHF,24.0
2013-11-18,AU1407.SHF,24.0
2013-11-19,AU1407.SHF,22.0
2013-11-20,AU1407.SHF,22.0
2013-11-21,AU1408.SHF,46.0
2013-11-22,AU1408.SHF,86.0
2013-11-25,AU1408.SHF,108.0
2013-11-26,AU1408.SHF,114.0
2013-11-27,AU1408.SHF,114.0
