trade_time,stock,position
2018-01-02,B1805.DCE,9074.0
2018-01-03,B1805.DCE,16640.0
2018-01-04,B1805.DCE,20446.0
2018-01-05,B1805.DCE,19654.0
2018-01-08,B1805.DCE,19204.0
2018-01-09,B1805.DCE,16842.0
2018-01-10,B1805.DCE,15016.0
2018-01-11,B1805.DCE,17976.0
2018-01-12,B1805.DCE,17076.0
2018-01-15,B1805.DCE,16548.0
2018-01-16,B1805.DCE,18630.0
2018-01-17,B1805.DCE,20836.0
2018-01-18,B1805.DCE,21996.0
2018-01-19,B1805.DCE,18942.0
2018-01-22,B1805.DCE,20224.0
2018-01-23,B1805.DCE,19062.0
2018-01-24,B1805.DCE,17688.0
2018-01-25,B1805.DCE,21204.0
2018-01-26,B1805.DCE,20294.0
2018-01-29,B1805.DCE,20796.0
2018-01-30,B1805.DCE,19108.0
2018-01-31,B1805.DCE,20060.0
2018-02-01,B1805.DCE,23180.0
2018-02-02,B1805.DCE,22142.0
2018-02-05,B1805.DCE,19592.0
2018-02-06,B1805.DCE,17810.0
2018-02-07,B1809.DCE,23848.0
2018-02-08,B1809.DCE,23216.0
2018-02-09,B1809.DCE,22002.0
2018-02-12,B1809.DCE,23722.0
2018-02-13,B1809.DCE,18710.0
2018-02-14,B1809.DCE,16028.0
2018-02-22,B1809.DCE,17098.0
2018-02-23,B1809.DCE,22148.0
2018-02-26,B1809.DCE,23398.0
2018-02-27,B1809.DCE,23390.0
2018-02-28,B1809.DCE,23546.0
2018-03-01,B1809.DCE,21662.0
2018-03-02,B1809.DCE,27620.0
2018-03-05,B1809.DCE,27376.0
2018-03-06,B1809.DCE,28288.0
2018-03-07,B1809.DCE,30598.0
2018-03-08,B1809.DCE,36398.0
2018-03-09,B1809.DCE,39076.0
2018-03-12,B1809.DCE,42610.0
2018-03-13,B1809.DCE,48434.0
2018-03-14,B1809.DCE,39424.0
2018-03-15,B1809.DCE,41936.0
2018-03-16,B1809.DCE,39498.0
2018-03-19,B1809.DCE,42746.0
2018-03-20,B1809.DCE,44000.0
2018-03-21,B1809.DCE,44388.0
2018-03-22,B1809.DCE,43780.0
2018-03-23,B1809.DCE,40914.0
2018-03-26,B1809.DCE,40752.0
2018-03-27,B1809.DCE,37624.0
2018-03-28,B1809.DCE,37102.0
2018-03-29,B1809.DCE,35378.0
2018-03-30,B1809.DCE,36390.0
