trade_time,stock,position
2013-10-09,BU1412.SHF,222.0
2013-10-10,BU1412.SHF,236.0
2013-10-11,BU1412.SHF,236.0
2013-10-14,BU1412.SHF,238.0
2013-10-15,BU1412.SHF,242.0
2013-10-16,BU1412.SHF,240.0
2013-10-17,BU1412.SHF,242.0
2013-10-18,BU1412.SHF,238.0
2013-10-21,BU1412.SHF,236.0
2013-10-22,BU1412.SHF,232.0
2013-10-23,BU1412.SHF,232.0
2013-10-24,BU1412.SHF,236.0
2013-10-25,BU1412.SHF,336.0
2013-10-28,BU1412.SHF,246.0
2013-10-29,BU1412.SHF,250.0
2013-10-30,BU1412.SHF,246.0
2013-10-31,BU1412.SHF,248.0
2013-11-01,BU1412.SHF,246.0
2013-11-04,BU1412.SHF,244.0
2013-11-05,BU1412.SHF,240.0
2013-11-06,BU1412.SHF,236.0
2013-11-07,BU1412.SHF,242.0
2013-11-08,BU1412.SHF,248.0
2013-11-11,BU1412.SHF,248.0
2013-11-12,BU1412.SHF,244.0
2013-11-13,BU1412.SHF,248.0
2013-11-14,BU1412.SHF,250.0
2013-11-15,BU1412.SHF,252.0
2013-11-18,BU1412.SHF,252.0
2013-11-19,BU1412.SHF,254.0
2013-11-20,BU1412.SHF,248.0
2013-11-21,BU1412.SHF,250.0
2013-11-22,BU1412.SHF,246.0
2013-11-25,BU1412.SHF,250.0
2013-11-26,BU1412.SHF,222.0
2013-11-27,BU1412.SHF,224.0
2013-11-28,BU1412.SHF,224.0
2013-11-29,BU1412.SHF,226.0
2013-12-02,BU1412.SHF,222.0
2013-12-03,BU1412.SHF,222.0
2013-12-04,BU1412.SHF,216.0
2013-12-05,BU1412.SHF,214.0
2013-12-06,BU1412.SHF,214.0
2013-12-09,BU1412.SHF,212.0
2013-12-10,BU1412.SHF,240.0
2013-12-11,BU1412.SHF,230.0
2013-12-12,BU1412.SHF,220.0
2013-12-13,BU1412.SHF,222.0
2013-12-16,BU1412.SHF,206.0
2013-12-17,BU1412.SHF,206.0
2013-12-18,BU1412.SHF,136.0
2013-12-19,BU1412.SHF,128.0
2013-12-20,BU1412.SHF,128.0
2013-12-23,BU1412.SHF,130.0
2013-12-24,BU1412.SHF,100.0
2013-12-25,BU1412.SHF,100.0
2013-12-26,BU1412.SHF,102.0
2013-12-27,BU1412.SHF,102.0
2013-12-30,BU1412.SHF,96.0
2013-12-31,BU1412.SHF,96.0
2014-01-02,BU1412.SHF,100.0
2014-01-03,BU1412.SHF,100.0
2014-01-06,BU1412.SHF,100.0
2014-01-07,BU1412.SHF,100.0
2014-01-08,BU1412.SHF,98.0
2014-01-09,BU1412.SHF,96.0
2014-01-10,BU1412.SHF,96.0
2014-01-13,BU1412.SHF,94.0
2014-01-14,BU1412.SHF,94.0
2014-01-15,BU1412.SHF,100.0
2014-01-16,BU1412.SHF,96.0
2014-01-17,BU1412.SHF,96.0
2014-01-20,BU1412.SHF,96.0
2014-01-21,BU1412.SHF,92.0
2014-01-22,BU1412.SHF,92.0
2014-01-23,BU1412.SHF,92.0
2014-01-24,BU1412.SHF,92.0
2014-01-27,BU1412.SHF,88.0
2014-01-28,BU1412.SHF,88.0
2014-01-29,BU1412.SHF,92.0
2014-01-30,BU1412.SHF,94.0
2014-02-07,BU1412.SHF,96.0
2014-02-10,BU1412.SHF,96.0
2014-02-11,BU1412.SHF,96.0
2014-02-12,BU1412.SHF,96.0
2014-02-13,BU1412.SHF,96.0
2014-02-14,BU1412.SHF,96.0
2014-02-17,BU1412.SHF,98.0
2014-02-18,BU1412.SHF,100.0
2014-02-19,BU1412.SHF,84.0
2014-02-20,BU1412.SHF,78.0
2014-02-21,BU1412.SHF,68.0
2014-02-24,BU1409.SHF,72.0
2014-02-25,BU1409.SHF,72.0
2014-02-26,BU1409.SHF,68.0
2014-02-27,BU1409.SHF,76.0
2014-02-28,BU1409.SHF,76.0
2014-03-03,BU1409.SHF,76.0
2014-03-04,BU1409.SHF,76.0
2014-03-05,BU1409.SHF,76.0
2014-03-06,BU1409.SHF,84.0
2014-03-07,BU1409.SHF,84.0
2014-03-10,BU1409.SHF,92.0
2014-03-11,BU1409.SHF,72.0
2014-03-12,BU1409.SHF,78.0
2014-03-13,BU1409.SHF,78.0
2014-03-14,BU1409.SHF,80.0
2014-03-17,BU1409.SHF,324.0
2014-03-18,BU1409.SHF,390.0
2014-03-19,BU1409.SHF,396.0
2014-03-20,BU1409.SHF,392.0
2014-03-21,BU1409.SHF,384.0
2014-03-24,BU1409.SHF,384.0
2014-03-25,BU1409.SHF,386.0
2014-03-26,BU1409.SHF,386.0
2014-03-27,BU1409.SHF,386.0
2014-03-28,BU1409.SHF,412.0
2014-03-31,BU1409.SHF,410.0
2014-04-01,BU1409.SHF,654.0
2014-04-02,BU1409.SHF,1138.0
2014-04-03,BU1409.SHF,1328.0
2014-04-04,BU1409.SHF,1514.0
2014-04-08,BU1409.SHF,1984.0
2014-04-09,BU1409.SHF,2444.0
2014-04-10,BU1409.SHF,2446.0
2014-04-11,BU1409.SHF,2438.0
2014-04-14,BU1409.SHF,2436.0
2014-04-15,BU1409.SHF,2486.0
2014-04-16,BU1409.SHF,2516.0
2014-04-17,BU1409.SHF,2372.0
2014-04-18,BU1409.SHF,2294.0
2014-04-21,BU1409.SHF,3228.0
2014-04-22,BU1409.SHF,3394.0
2014-04-23,BU1409.SHF,3608.0
2014-04-24,BU1409.SHF,3576.0
2014-04-25,BU1409.SHF,3878.0
2014-04-28,BU1409.SHF,4384.0
2014-04-29,BU1409.SHF,4662.0
2014-04-30,BU1409.SHF,4718.0
2014-05-05,BU1409.SHF,5260.0
2014-05-06,BU1409.SHF,8000.0
2014-05-07,BU1409.SHF,8246.0
2014-05-08,BU1409.SHF,10102.0
2014-05-09,BU1409.SHF,10388.0
2014-05-12,BU1409.SHF,10214.0
2014-05-13,BU1409.SHF,10526.0
2014-05-14,BU1409.SHF,10802.0
2014-05-15,BU1409.SHF,11094.0
2014-05-16,BU1409.SHF,11924.0
2014-05-19,BU1409.SHF,12818.0
2014-05-20,BU1409.SHF,13350.0
2014-05-21,BU1409.SHF,14122.0
2014-05-22,BU1409.SHF,15116.0
2014-05-23,BU1409.SHF,15454.0
2014-05-26,BU1409.SHF,16156.0
2014-05-27,BU1409.SHF,18202.0
2014-05-28,BU1409.SHF,19352.0
2014-05-29,BU1409.SHF,21628.0
2014-05-30,BU1409.SHF,22522.0
2014-06-03,BU1409.SHF,24786.0
2014-06-04,BU1409.SHF,25722.0
2014-06-05,BU1409.SHF,26304.0
2014-06-06,BU1409.SHF,26410.0
2014-06-09,BU1409.SHF,27084.0
2014-06-10,BU1409.SHF,27494.0
2014-06-11,BU1409.SHF,27932.0
2014-06-12,BU1409.SHF,28012.0
2014-06-13,BU1409.SHF,27384.0
2014-06-16,BU1409.SHF,27212.0
2014-06-17,BU1409.SHF,27120.0
2014-06-18,BU1409.SHF,26884.0
2014-06-19,BU1409.SHF,26944.0
2014-06-20,BU1409.SHF,26736.0
2014-06-23,BU1409.SHF,26656.0
2014-06-24,BU1409.SHF,27330.0
2014-06-25,BU1409.SHF,27368.0
2014-06-26,BU1409.SHF,27192.0
2014-06-27,BU1409.SHF,27008.0
2014-06-30,BU1409.SHF,26976.0
2014-07-01,BU1409.SHF,26618.0
2014-07-02,BU1409.SHF,26540.0
2014-07-03,BU1409.SHF,26364.0
2014-07-04,BU1409.SHF,27962.0
2014-07-07,BU1409.SHF,27914.0
2014-07-08,BU1409.SHF,28800.0
2014-07-09,BU1409.SHF,29528.0
2014-07-10,BU1409.SHF,29808.0
2014-07-11,BU1409.SHF,29540.0
2014-07-14,BU1409.SHF,28928.0
2014-07-15,BU1409.SHF,28696.0
2014-07-16,BU1409.SHF,28378.0
2014-07-17,BU1409.SHF,27970.0
2014-07-18,BU1409.SHF,27680.0
2014-07-21,BU1409.SHF,28984.0
2014-07-22,BU1409.SHF,28806.0
2014-07-23,BU1409.SHF,29190.0
2014-07-24,BU1409.SHF,29522.0
2014-07-25,BU1409.SHF,27972.0
