trade_time,stock,position
2013-07-15,C1407.DCE,24.0
2013-07-16,C1407.DCE,22.0
2013-07-17,C1407.DCE,12.0
2013-07-18,C1407.DCE,12.0
2013-07-19,C1407.DCE,8.0
2013-07-22,C1407.DCE,8.0
2013-07-23,C1407.DCE,6.0
2013-07-24,C1407.DCE,6.0
2013-07-25,C1407.DCE,4.0
2013-07-26,C1407.DCE,4.0
2013-07-29,C1407.DCE,4.0
2013-07-30,C1407.DCE,8.0
2013-07-31,C1407.DCE,8.0
2013-08-01,C1407.DCE,14.0
2013-08-02,C1407.DCE,14.0
2013-08-05,C1407.DCE,28.0
2013-08-06,C1407.DCE,28.0
2013-08-07,C1407.DCE,26.0
2013-08-08,C1407.DCE,26.0
2013-08-09,C1407.DCE,26.0
2013-08-12,C1407.DCE,26.0
2013-08-13,C1407.DCE,26.0
2013-08-14,C1407.DCE,26.0
2013-08-15,C1407.DCE,26.0
2013-08-16,C1407.DCE,26.0
2013-08-19,C1407.DCE,26.0
2013-08-20,C1407.DCE,28.0
2013-08-21,C1407.DCE,28.0
2013-08-22,C1407.DCE,28.0
2013-08-23,C1407.DCE,28.0
2013-08-26,C1407.DCE,26.0
2013-08-27,C1407.DCE,26.0
2013-08-28,C1407.DCE,26.0
2013-08-29,C1407.DCE,22.0
2013-08-30,C1407.DCE,24.0
2013-09-02,C1407.DCE,24.0
2013-09-03,C1407.DCE,26.0
2013-09-04,C1407.DCE,26.0
2013-09-05,C1407.DCE,26.0
2013-09-06,C1407.DCE,26.0
2013-09-09,C1407.DCE,26.0
2013-09-10,C1407.DCE,26.0
2013-09-11,C1407.DCE,26.0
2013-09-12,C1407.DCE,26.0
2013-09-13,C1407.DCE,26.0
2013-09-16,C1409.DCE,4804.0
2013-09-17,C1409.DCE,7068.0
2013-09-18,C1409.DCE,7562.0
2013-09-23,C1409.DCE,7798.0
2013-09-24,C1409.DCE,8060.0
2013-09-25,C1409.DCE,8610.0
2013-09-26,C1409.DCE,8896.0
2013-09-27,C1409.DCE,9440.0
2013-09-30,C1409.DCE,10056.0
2013-10-08,C1409.DCE,11020.0
2013-10-09,C1409.DCE,12250.0
2013-10-10,C1409.DCE,12020.0
2013-10-11,C1409.DCE,15314.0
2013-10-14,C1409.DCE,13660.0
2013-10-15,C1409.DCE,15350.0
2013-10-16,C1409.DCE,17458.0
2013-10-17,C1409.DCE,23332.0
2013-10-18,C1409.DCE,24402.0
2013-10-21,C1409.DCE,25008.0
2013-10-22,C1409.DCE,27600.0
2013-10-23,C1409.DCE,31588.0
2013-10-24,C1409.DCE,32662.0
2013-10-25,C1409.DCE,32210.0
2013-10-28,C1409.DCE,32916.0
2013-10-29,C1409.DCE,36606.0
2013-10-30,C1409.DCE,43292.0
2013-10-31,C1409.DCE,49924.0
2013-11-01,C1409.DCE,51806.0
2013-11-04,C1409.DCE,55636.0
2013-11-05,C1409.DCE,56668.0
2013-11-06,C1409.DCE,58750.0
2013-11-07,C1409.DCE,61844.0
2013-11-08,C1409.DCE,68584.0
2013-11-11,C1409.DCE,75800.0
2013-11-12,C1409.DCE,76308.0
2013-11-13,C1409.DCE,77074.0
2013-11-14,C1409.DCE,77964.0
2013-11-15,C1409.DCE,77854.0
2013-11-18,C1409.DCE,81796.0
2013-11-19,C1409.DCE,86336.0
2013-11-20,C1409.DCE,85010.0
2013-11-21,C1409.DCE,85946.0
2013-11-22,C1409.DCE,87582.0
2013-11-25,C1409.DCE,93112.0
2013-11-26,C1409.DCE,92210.0
2013-11-27,C1409.DCE,92606.0
2013-11-28,C1409.DCE,92260.0
2013-11-29,C1409.DCE,89610.0
2013-12-02,C1409.DCE,86948.0
2013-12-03,C1409.DCE,85284.0
2013-12-04,C1409.DCE,85004.0
2013-12-05,C1409.DCE,84940.0
2013-12-06,C1409.DCE,84036.0
2013-12-09,C1409.DCE,87634.0
2013-12-10,C1409.DCE,84218.0
2013-12-11,C1409.DCE,84778.0
2013-12-12,C1409.DCE,86444.0
2013-12-13,C1409.DCE,91954.0
2013-12-16,C1409.DCE,94652.0
2013-12-17,C1409.DCE,96192.0
2013-12-18,C1409.DCE,104316.0
2013-12-19,C1409.DCE,107378.0
2013-12-20,C1409.DCE,110126.0
2013-12-23,C1409.DCE,111290.0
2013-12-24,C1409.DCE,116078.0
2013-12-25,C1409.DCE,125674.0
2013-12-26,C1409.DCE,130838.0
2013-12-27,C1409.DCE,136002.0
2013-12-30,C1409.DCE,141370.0
2013-12-31,C1409.DCE,140144.0
2014-01-02,C1409.DCE,138106.0
2014-01-03,C1409.DCE,137556.0
2014-01-06,C1409.DCE,137286.0
2014-01-07,C1409.DCE,152488.0
