trade_time,stock,position
2014-03-18,CF503.CZC,2.0
2014-03-19,CF503.CZC,4.0
2014-03-20,CF503.CZC,6.0
2014-03-21,CF503.CZC,6.0
2014-03-24,CF503.CZC,6.0
2014-03-25,CF503.CZC,6.0
2014-03-26,CF503.CZC,24.0
2014-03-27,CF503.CZC,134.0
2014-03-28,CF503.CZC,148.0
2014-03-31,CF503.CZC,156.0
2014-04-01,CF503.CZC,168.0
2014-04-02,CF503.CZC,168.0
2014-04-03,CF503.CZC,180.0
2014-04-04,CF503.CZC,172.0
2014-04-08,CF503.CZC,370.0
2014-04-09,CF503.CZC,436.0
2014-04-10,CF503.CZC,480.0
2014-04-11,CF503.CZC,480.0
2014-04-14,CF503.CZC,478.0
2014-04-15,CF503.CZC,486.0
2014-04-16,CF503.CZC,526.0
2014-04-17,CF503.CZC,544.0
2014-04-18,CF503.CZC,514.0
2014-04-21,CF503.CZC,514.0
2014-04-22,CF503.CZC,526.0
2014-04-23,CF503.CZC,540.0
2014-04-24,CF503.CZC,534.0
2014-04-25,CF503.CZC,530.0
2014-04-28,CF503.CZC,530.0
2014-04-29,CF503.CZC,530.0
2014-04-30,CF503.CZC,534.0
2014-05-05,CF503.CZC,540.0
2014-05-06,CF503.CZC,540.0
2014-05-07,CF503.CZC,540.0
2014-05-08,CF503.CZC,542.0
2014-05-09,CF503.CZC,540.0
2014-05-12,CF503.CZC,554.0
2014-05-13,CF503.CZC,556.0
2014-05-14,CF503.CZC,552.0
2014-05-15,CF503.CZC,590.0
2014-05-16,CF503.CZC,598.0
2014-05-19,CF505.CZC,2984.0
2014-05-20,CF505.CZC,4318.0
2014-05-21,CF505.CZC,7840.0
2014-05-22,CF505.CZC,9412.0
2014-05-23,CF505.CZC,10712.0
2014-05-26,CF505.CZC,15774.0
2014-05-27,CF505.CZC,15890.0
2014-05-28,CF505.CZC,16582.0
2014-05-29,CF505.CZC,17036.0
2014-05-30,CF505.CZC,17810.0
2014-06-03,CF505.CZC,19620.0
2014-06-04,CF505.CZC,21036.0
2014-06-05,CF505.CZC,21924.0
2014-06-06,CF505.CZC,22988.0
2014-06-09,CF505.CZC,24184.0
2014-06-10,CF505.CZC,25460.0
2014-06-11,CF505.CZC,25836.0
