trade_time,stock,position
2014-12-19,CS1505.DCE,4928.0
2014-12-22,CS1505.DCE,8132.0
2014-12-23,CS1505.DCE,8664.0
2014-12-24,CS1505.DCE,7722.0
2014-12-25,CS1505.DCE,8792.0
2014-12-26,CS1505.DCE,9116.0
2014-12-29,CS1505.DCE,8528.0
2014-12-30,CS1505.DCE,8196.0
2014-12-31,CS1505.DCE,7520.0
2015-01-05,CS1505.DCE,9790.0
2015-01-06,CS1505.DCE,14276.0
2015-01-07,CS1505.DCE,12144.0
2015-01-08,CS1505.DCE,12230.0
2015-01-09,CS1505.DCE,12758.0
2015-01-12,CS1505.DCE,12546.0
2015-01-13,CS1505.DCE,13294.0
2015-01-14,CS1505.DCE,12464.0
2015-01-15,CS1505.DCE,12536.0
2015-01-16,CS1505.DCE,12184.0
2015-01-19,CS1505.DCE,10964.0
2015-01-20,CS1505.DCE,11160.0
2015-01-21,CS1505.DCE,10840.0
2015-01-22,CS1505.DCE,11980.0
2015-01-23,CS1505.DCE,12616.0
2015-01-26,CS1505.DCE,12394.0
2015-01-27,CS1505.DCE,11850.0
2015-01-28,CS1505.DCE,12770.0
2015-01-29,CS1505.DCE,13520.0
2015-01-30,CS1505.DCE,13628.0
2015-02-02,CS1505.DCE,13480.0
2015-02-03,CS1505.DCE,13972.0
2015-02-04,CS1505.DCE,14220.0
2015-02-05,CS1505.DCE,17990.0
2015-02-06,CS1505.DCE,16914.0
2015-02-09,CS1505.DCE,22138.0
2015-02-10,CS1505.DCE,24250.0
2015-02-11,CS1505.DCE,23082.0
2015-02-12,CS1505.DCE,20088.0
2015-02-13,CS1505.DCE,19640.0
2015-02-16,CS1505.DCE,18306.0
2015-02-17,CS1505.DCE,16602.0
2015-02-25,CS1505.DCE,16506.0
2015-02-26,CS1505.DCE,17270.0
2015-02-27,CS1505.DCE,18682.0
2015-03-02,CS1505.DCE,18874.0
2015-03-03,CS1505.DCE,16686.0
2015-03-04,CS1505.DCE,20064.0
2015-03-05,CS1505.DCE,17514.0
2015-03-06,CS1505.DCE,15954.0
2015-03-09,CS1505.DCE,18218.0
2015-03-10,CS1505.DCE,40330.0
2015-03-11,CS1505.DCE,48316.0
2015-03-12,CS1505.DCE,46238.0
2015-03-13,CS1505.DCE,48800.0
2015-03-16,CS1505.DCE,52990.0
2015-03-17,CS1505.DCE,53352.0
2015-03-18,CS1505.DCE,43062.0
2015-03-19,CS1505.DCE,39252.0
2015-03-20,CS1505.DCE,39014.0
2015-03-23,CS1505.DCE,37638.0
2015-03-24,CS1505.DCE,41254.0
2015-03-25,CS1505.DCE,39576.0
2015-03-26,CS1505.DCE,41702.0
2015-03-27,CS1505.DCE,43870.0
2015-03-30,CS1505.DCE,45362.0
2015-03-31,CS1505.DCE,44528.0
2015-04-01,CS1505.DCE,30346.0
2015-04-02,CS1509.DCE,30214.0
2015-04-03,CS1509.DCE,30572.0
2015-04-07,CS1509.DCE,30830.0
2015-04-08,CS1509.DCE,37294.0
2015-04-09,CS1509.DCE,39404.0
2015-04-10,CS1509.DCE,34322.0
2015-04-13,CS1509.DCE,38024.0
2015-04-14,CS1509.DCE,35440.0
2015-04-15,CS1509.DCE,36824.0
2015-04-16,CS1509.DCE,35880.0
2015-04-17,CS1509.DCE,33326.0
2015-04-20,CS1509.DCE,33046.0
2015-04-21,CS1509.DCE,33506.0
2015-04-22,CS1509.DCE,32608.0
