trade_time,stock,position
2013-07-16,CU1407.SHF,8.0
2013-07-17,CU1407.SHF,8.0
2013-07-18,CU1407.SHF,6.0
2013-07-19,CU1407.SHF,6.0
2013-07-22,CU1407.SHF,6.0
2013-07-23,CU1407.SHF,10.0
2013-07-24,CU1407.SHF,16.0
2013-07-25,CU1407.SHF,30.0
2013-07-26,CU1407.SHF,46.0
2013-07-29,CU1407.SHF,116.0
2013-07-30,CU1407.SHF,132.0
2013-07-31,CU1407.SHF,144.0
2013-08-01,CU1407.SHF,150.0
2013-08-02,CU1407.SHF,154.0
2013-08-05,CU1407.SHF,170.0
2013-08-06,CU1407.SHF,194.0
2013-08-07,CU1407.SHF,204.0
2013-08-08,CU1407.SHF,228.0
2013-08-09,CU1407.SHF,262.0
2013-08-12,CU1407.SHF,302.0
2013-08-13,CU1407.SHF,366.0
2013-08-14,CU1407.SHF,400.0
2013-08-15,CU1407.SHF,448.0
2013-08-16,CU1407.SHF,504.0
2013-08-19,CU1407.SHF,588.0
2013-08-20,CU1407.SHF,610.0
2013-08-21,CU1407.SHF,606.0
2013-08-22,CU1407.SHF,610.0
2013-08-23,CU1407.SHF,602.0
2013-08-26,CU1407.SHF,642.0
2013-08-27,CU1407.SHF,654.0
2013-08-28,CU1407.SHF,658.0
2013-08-29,CU1407.SHF,644.0
2013-08-30,CU1407.SHF,616.0
2013-09-02,CU1407.SHF,606.0
2013-09-03,CU1407.SHF,614.0
2013-09-04,CU1407.SHF,634.0
2013-09-05,CU1407.SHF,636.0
2013-09-06,CU1408.SHF,650.0
2013-09-09,CU1408.SHF,714.0
2013-09-10,CU1408.SHF,932.0
2013-09-11,CU1408.SHF,938.0
2013-09-12,CU1408.SHF,938.0
2013-09-13,CU1408.SHF,962.0
2013-09-16,CU1408.SHF,962.0
2013-09-17,CU1408.SHF,1000.0
2013-09-18,CU1408.SHF,1104.0
2013-09-23,CU1408.SHF,1116.0
2013-09-24,CU1408.SHF,1130.0
2013-09-25,CU1408.SHF,1126.0
2013-09-26,CU1408.SHF,1122.0
2013-09-27,CU1408.SHF,1130.0
2013-09-30,CU1408.SHF,1164.0
2013-10-08,CU1408.SHF,1168.0
2013-10-09,CU1408.SHF,1140.0
2013-10-10,CU1408.SHF,1048.0
2013-10-11,CU1408.SHF,1050.0
2013-10-14,CU1408.SHF,1072.0
2013-10-15,CU1408.SHF,1068.0
2013-10-16,CU1408.SHF,1060.0
2013-10-17,CU1408.SHF,1178.0
2013-10-18,CU1408.SHF,1178.0
2013-10-21,CU1408.SHF,1054.0
2013-10-22,CU1408.SHF,1058.0
2013-10-23,CU1408.SHF,1118.0
2013-10-24,CU1408.SHF,1166.0
2013-10-25,CU1408.SHF,1250.0
2013-10-28,CU1408.SHF,1092.0
2013-10-29,CU1408.SHF,1094.0
2013-10-30,CU1408.SHF,1358.0
2013-10-31,CU1408.SHF,1280.0
2013-11-01,CU1408.SHF,1268.0
2013-11-04,CU1408.SHF,1238.0
2013-11-05,CU1408.SHF,1274.0
2013-11-06,CU1408.SHF,1298.0
2013-11-07,CU1408.SHF,1372.0
