trade_time,stock,position
2018-12-10,EG1906.DCE,69526.0
2018-12-11,EG1906.DCE,83122.0
2018-12-12,EG1906.DCE,88512.0
2018-12-13,EG1906.DCE,89988.0
2018-12-14,EG1906.DCE,93730.0
2018-12-17,EG1906.DCE,99192.0
2018-12-18,EG1906.DCE,95662.0
2018-12-19,EG1906.DCE,88840.0
2018-12-20,EG1906.DCE,90096.0
2018-12-21,EG1906.DCE,111700.0
2018-12-24,EG1906.DCE,122960.0
2018-12-25,EG1906.DCE,120146.0
2018-12-26,EG1906.DCE,121010.0
2018-12-27,EG1906.DCE,142086.0
2018-12-28,EG1906.DCE,125940.0
2019-01-02,EG1906.DCE,144434.0
2019-01-03,EG1906.DCE,146582.0
2019-01-04,EG1906.DCE,145528.0
2019-01-07,EG1906.DCE,167040.0
2019-01-08,EG1906.DCE,188176.0
2019-01-09,EG1906.DCE,192814.0
2019-01-10,EG1906.DCE,213914.0
2019-01-11,EG1906.DCE,225296.0
2019-01-14,EG1906.DCE,226756.0
2019-01-15,EG1906.DCE,238526.0
2019-01-16,EG1906.DCE,240460.0
2019-01-17,EG1906.DCE,253024.0
2019-01-18,EG1906.DCE,292188.0
2019-01-21,EG1906.DCE,309752.0
2019-01-22,EG1906.DCE,302068.0
2019-01-23,EG1906.DCE,306168.0
2019-01-24,EG1906.DCE,307090.0
2019-01-25,EG1906.DCE,301096.0
2019-01-28,EG1906.DCE,298810.0
2019-01-29,EG1906.DCE,289038.0
2019-01-30,EG1906.DCE,262456.0
2019-01-31,EG1906.DCE,247472.0
2019-02-01,EG1906.DCE,237182.0
2019-02-11,EG1906.DCE,259174.0
2019-02-12,EG1906.DCE,280820.0
2019-02-13,EG1906.DCE,307852.0
2019-02-14,EG1906.DCE,324364.0
2019-02-15,EG1906.DCE,321754.0
2019-02-18,EG1906.DCE,368074.0
2019-02-19,EG1906.DCE,362742.0
2019-02-20,EG1906.DCE,363642.0
2019-02-21,EG1906.DCE,346554.0
2019-02-22,EG1906.DCE,341144.0
2019-02-25,EG1906.DCE,340768.0
2019-02-26,EG1906.DCE,335696.0
2019-02-27,EG1906.DCE,334340.0
2019-02-28,EG1906.DCE,336878.0
2019-03-01,EG1906.DCE,325964.0
2019-03-04,EG1906.DCE,324282.0
2019-03-05,EG1906.DCE,319332.0
2019-03-06,EG1906.DCE,333086.0
2019-03-07,EG1906.DCE,318266.0
2019-03-08,EG1906.DCE,314612.0
2019-03-11,EG1906.DCE,316724.0
2019-03-12,EG1906.DCE,315174.0
2019-03-13,EG1906.DCE,317132.0
2019-03-14,EG1906.DCE,326008.0
2019-03-15,EG1906.DCE,318856.0
2019-03-18,EG1906.DCE,330386.0
2019-03-19,EG1906.DCE,336514.0
2019-03-20,EG1906.DCE,335304.0
2019-03-21,EG1906.DCE,335702.0
2019-03-22,EG1906.DCE,340480.0
2019-03-25,EG1906.DCE,332478.0
2019-03-26,EG1906.DCE,347856.0
2019-03-27,EG1906.DCE,395630.0
2019-03-28,EG1906.DCE,409380.0
2019-03-29,EG1906.DCE,386344.0
2019-04-01,EG1906.DCE,387590.0
2019-04-02,EG1906.DCE,400520.0
2019-04-03,EG1906.DCE,391806.0
2019-04-04,EG1906.DCE,384416.0
2019-04-08,EG1906.DCE,417646.0
