trade_time,stock,position
2014-01-16,FG501.CZC,380.0
2014-01-17,FG501.CZC,564.0
2014-01-20,FG501.CZC,542.0
2014-01-21,FG501.CZC,746.0
2014-01-22,FG501.CZC,798.0
2014-01-23,FG501.CZC,1142.0
2014-01-24,FG501.CZC,1206.0
2014-01-27,FG501.CZC,1248.0
2014-01-28,FG501.CZC,1306.0
2014-01-29,FG501.CZC,1752.0
2014-01-30,FG501.CZC,1446.0
2014-02-07,FG501.CZC,1432.0
2014-02-10,FG501.CZC,1512.0
2014-02-11,FG501.CZC,1606.0
2014-02-12,FG501.CZC,2034.0
2014-02-13,FG501.CZC,2074.0
2014-02-14,FG501.CZC,2070.0
2014-02-17,FG501.CZC,2132.0
2014-02-18,FG501.CZC,2094.0
2014-02-19,FG501.CZC,2198.0
2014-02-20,FG501.CZC,2198.0
2014-02-21,FG501.CZC,2264.0
2014-02-24,FG501.CZC,2058.0
2014-02-25,FG501.CZC,2030.0
2014-02-26,FG501.CZC,2032.0
2014-02-27,FG501.CZC,2036.0
2014-02-28,FG501.CZC,2020.0
2014-03-03,FG501.CZC,2110.0
2014-03-04,FG501.CZC,2178.0
2014-03-05,FG501.CZC,2140.0
2014-03-06,FG501.CZC,2308.0
2014-03-07,FG501.CZC,2422.0
2014-03-10,FG501.CZC,2594.0
2014-03-11,FG501.CZC,2448.0
2014-03-12,FG501.CZC,2762.0
2014-03-13,FG501.CZC,2798.0
2014-03-14,FG501.CZC,2920.0
2014-03-17,FG501.CZC,3332.0
2014-03-18,FG501.CZC,3474.0
2014-03-19,FG501.CZC,3660.0
2014-03-20,FG501.CZC,3616.0
2014-03-21,FG501.CZC,3552.0
2014-03-24,FG501.CZC,3578.0
2014-03-25,FG501.CZC,3328.0
2014-03-26,FG501.CZC,3570.0
2014-03-27,FG501.CZC,3500.0
2014-03-28,FG501.CZC,3378.0
2014-03-31,FG501.CZC,3416.0
2014-04-01,FG501.CZC,3538.0
2014-04-02,FG501.CZC,3576.0
2014-04-03,FG501.CZC,3962.0
2014-04-04,FG501.CZC,4082.0
2014-04-08,FG501.CZC,4184.0
2014-04-09,FG501.CZC,6116.0
2014-04-10,FG501.CZC,8080.0
2014-04-11,FG501.CZC,9084.0
2014-04-14,FG501.CZC,9464.0
2014-04-15,FG501.CZC,9780.0
2014-04-16,FG501.CZC,22206.0
2014-04-17,FG501.CZC,29888.0
2014-04-18,FG501.CZC,40442.0
2014-04-21,FG501.CZC,44190.0
2014-04-22,FG501.CZC,47884.0
2014-04-23,FG501.CZC,59170.0
2014-04-24,FG501.CZC,63530.0
2014-04-25,FG501.CZC,76690.0
2014-04-28,FG501.CZC,89674.0
2014-04-29,FG501.CZC,87758.0
2014-04-30,FG501.CZC,103986.0
2014-05-05,FG501.CZC,103064.0
2014-05-06,FG501.CZC,110082.0
2014-05-07,FG501.CZC,126112.0
2014-05-08,FG501.CZC,138370.0
2014-05-09,FG501.CZC,141552.0
2014-05-12,FG501.CZC,142744.0
2014-05-13,FG501.CZC,146028.0
2014-05-14,FG501.CZC,140510.0
2014-05-15,FG501.CZC,141704.0
2014-05-16,FG501.CZC,137192.0
2014-05-19,FG501.CZC,136988.0
2014-05-20,FG501.CZC,140366.0
2014-05-21,FG501.CZC,139900.0
2014-05-22,FG501.CZC,144088.0
2014-05-23,FG501.CZC,143304.0
2014-05-26,FG501.CZC,146822.0
2014-05-27,FG501.CZC,146356.0
2014-05-28,FG501.CZC,140880.0
2014-05-29,FG501.CZC,142238.0
2014-05-30,FG501.CZC,145340.0
2014-06-03,FG501.CZC,153302.0
2014-06-04,FG501.CZC,152998.0
2014-06-05,FG501.CZC,156644.0
2014-06-06,FG501.CZC,160016.0
2014-06-09,FG501.CZC,169352.0
2014-06-10,FG501.CZC,167844.0
2014-06-11,FG501.CZC,170186.0
2014-06-12,FG501.CZC,172264.0
2014-06-13,FG501.CZC,168470.0
2014-06-16,FG501.CZC,171788.0
2014-06-17,FG501.CZC,163154.0
2014-06-18,FG501.CZC,167888.0
2014-06-19,FG501.CZC,170874.0
2014-06-20,FG501.CZC,165680.0
2014-06-23,FG501.CZC,157372.0
2014-06-24,FG501.CZC,157438.0
2014-06-25,FG501.CZC,167896.0
2014-06-26,FG501.CZC,162938.0
2014-06-27,FG501.CZC,169588.0
