trade_time,stock,position
2018-07-16,FU1901.SHF,9258.0
2018-07-17,FU1901.SHF,27104.0
2018-07-18,FU1901.SHF,34310.0
2018-07-19,FU1901.SHF,31084.0
2018-07-20,FU1901.SHF,55230.0
2018-07-23,FU1901.SHF,57034.0
2018-07-24,FU1901.SHF,71968.0
2018-07-25,FU1901.SHF,131442.0
2018-07-26,FU1901.SHF,137678.0
2018-07-27,FU1901.SHF,121330.0
2018-07-30,FU1901.SHF,120550.0
2018-07-31,FU1901.SHF,116874.0
2018-08-01,FU1901.SHF,119684.0
2018-08-02,FU1901.SHF,125122.0
2018-08-03,FU1901.SHF,133908.0
2018-08-06,FU1901.SHF,133372.0
2018-08-07,FU1901.SHF,164134.0
2018-08-08,FU1901.SHF,157594.0
2018-08-09,FU1901.SHF,164266.0
2018-08-10,FU1901.SHF,163772.0
2018-08-13,FU1901.SHF,159824.0
2018-08-14,FU1901.SHF,160024.0
2018-08-15,FU1901.SHF,163996.0
2018-08-16,FU1901.SHF,132704.0
2018-08-17,FU1901.SHF,125208.0
2018-08-20,FU1901.SHF,120800.0
2018-08-21,FU1901.SHF,121624.0
2018-08-22,FU1901.SHF,120504.0
2018-08-23,FU1901.SHF,119480.0
2018-08-24,FU1901.SHF,120404.0
2018-08-27,FU1901.SHF,117514.0
2018-08-28,FU1901.SHF,115724.0
2018-08-29,FU1901.SHF,119996.0
2018-08-30,FU1901.SHF,119158.0
2018-08-31,FU1901.SHF,117670.0
2018-09-03,FU1901.SHF,108154.0
2018-09-04,FU1901.SHF,108694.0
2018-09-05,FU1901.SHF,118054.0
2018-09-06,FU1901.SHF,110712.0
2018-09-07,FU1901.SHF,108088.0
2018-09-10,FU1901.SHF,101398.0
2018-09-11,FU1901.SHF,97432.0
2018-09-12,FU1901.SHF,106514.0
2018-09-13,FU1901.SHF,104988.0
2018-09-14,FU1901.SHF,105942.0
2018-09-17,FU1901.SHF,97496.0
2018-09-18,FU1901.SHF,96504.0
2018-09-19,FU1901.SHF,92704.0
2018-09-20,FU1901.SHF,98818.0
2018-09-21,FU1901.SHF,91108.0
