trade_time,stock,position
2014-03-21,HC1410.SHF,52030.0
2014-03-24,HC1410.SHF,47616.0
2014-03-25,HC1410.SHF,61256.0
2014-03-26,HC1410.SHF,60560.0
2014-03-27,HC1410.SHF,61430.0
2014-03-28,HC1410.SHF,63080.0
2014-03-31,HC1410.SHF,65640.0
2014-04-01,HC1410.SHF,64136.0
2014-04-02,HC1410.SHF,68700.0
2014-04-03,HC1410.SHF,68410.0
2014-04-04,HC1410.SHF,70094.0
2014-04-08,HC1410.SHF,80872.0
2014-04-09,HC1410.SHF,81834.0
2014-04-10,HC1410.SHF,81232.0
2014-04-11,HC1410.SHF,76840.0
2014-04-14,HC1410.SHF,77020.0
2014-04-15,HC1410.SHF,75524.0
2014-04-16,HC1410.SHF,68152.0
2014-04-17,HC1410.SHF,67404.0
2014-04-18,HC1410.SHF,66498.0
2014-04-21,HC1410.SHF,64836.0
2014-04-22,HC1410.SHF,60950.0
2014-04-23,HC1410.SHF,58920.0
2014-04-24,HC1410.SHF,58086.0
2014-04-25,HC1410.SHF,58570.0
2014-04-28,HC1410.SHF,56630.0
2014-04-29,HC1410.SHF,55692.0
2014-04-30,HC1410.SHF,55210.0
2014-05-05,HC1410.SHF,53726.0
2014-05-06,HC1410.SHF,52980.0
2014-05-07,HC1410.SHF,52784.0
2014-05-08,HC1410.SHF,49644.0
2014-05-09,HC1410.SHF,49350.0
2014-05-12,HC1410.SHF,48264.0
2014-05-13,HC1410.SHF,47826.0
2014-05-14,HC1410.SHF,45016.0
2014-05-15,HC1410.SHF,44738.0
2014-05-16,HC1410.SHF,44178.0
2014-05-19,HC1410.SHF,43860.0
2014-05-20,HC1410.SHF,43792.0
2014-05-21,HC1410.SHF,44056.0
2014-05-22,HC1410.SHF,44030.0
2014-05-23,HC1410.SHF,43846.0
2014-05-26,HC1410.SHF,43958.0
2014-05-27,HC1410.SHF,47808.0
2014-05-28,HC1410.SHF,47400.0
2014-05-29,HC1410.SHF,47004.0
2014-05-30,HC1410.SHF,46412.0
2014-06-03,HC1410.SHF,45992.0
2014-06-04,HC1410.SHF,46136.0
2014-06-05,HC1410.SHF,44186.0
2014-06-06,HC1410.SHF,43436.0
2014-06-09,HC1410.SHF,39938.0
2014-06-10,HC1410.SHF,39432.0
2014-06-11,HC1410.SHF,39396.0
2014-06-12,HC1410.SHF,39652.0
2014-06-13,HC1410.SHF,40670.0
2014-06-16,HC1410.SHF,45438.0
2014-06-17,HC1410.SHF,44160.0
2014-06-18,HC1410.SHF,45192.0
2014-06-19,HC1410.SHF,47470.0
2014-06-20,HC1410.SHF,50848.0
2014-06-23,HC1410.SHF,49562.0
2014-06-24,HC1410.SHF,48822.0
2014-06-25,HC1410.SHF,49218.0
2014-06-26,HC1410.SHF,45718.0
2014-06-27,HC1410.SHF,46066.0
2014-06-30,HC1410.SHF,44760.0
2014-07-01,HC1410.SHF,44460.0
2014-07-02,HC1410.SHF,43246.0
2014-07-03,HC1410.SHF,43904.0
2014-07-04,HC1410.SHF,42924.0
2014-07-07,HC1410.SHF,41674.0
2014-07-08,HC1410.SHF,43144.0
2014-07-09,HC1410.SHF,43120.0
2014-07-10,HC1410.SHF,43068.0
2014-07-11,HC1410.SHF,44582.0
2014-07-14,HC1410.SHF,44654.0
2014-07-15,HC1410.SHF,45640.0
2014-07-16,HC1410.SHF,44050.0
2014-07-17,HC1410.SHF,41722.0
2014-07-18,HC1410.SHF,38676.0
2014-07-21,HC1410.SHF,38462.0
2014-07-22,HC1410.SHF,37634.0
2014-07-23,HC1410.SHF,37872.0
2014-07-24,HC1410.SHF,37924.0
2014-07-25,HC1410.SHF,36976.0
2014-07-28,HC1410.SHF,34716.0
2014-07-29,HC1410.SHF,32716.0
2014-07-30,HC1410.SHF,32114.0
2014-07-31,HC1410.SHF,30606.0
2014-08-01,HC1410.SHF,31934.0
2014-08-04,HC1410.SHF,30126.0
2014-08-05,HC1410.SHF,26860.0
2014-08-06,HC1410.SHF,24228.0
2014-08-07,HC1410.SHF,23270.0
2014-08-08,HC1410.SHF,19600.0
2014-08-11,HC1410.SHF,18236.0
2014-08-12,HC1410.SHF,17290.0
2014-08-13,HC1410.SHF,16558.0
2014-08-14,HC1410.SHF,16018.0
2014-08-15,HC1410.SHF,15592.0
2014-08-18,HC1410.SHF,14754.0
2014-08-19,HC1410.SHF,14326.0
2014-08-20,HC1410.SHF,12850.0
2014-08-21,HC1410.SHF,12000.0
2014-08-22,HC1410.SHF,12488.0
2014-08-25,HC1410.SHF,12282.0
2014-08-26,HC1410.SHF,12898.0
2014-08-27,HC1410.SHF,11232.0
2014-08-28,HC1410.SHF,10452.0
2014-08-29,HC1501.SHF,14018.0
2014-09-01,HC1501.SHF,15028.0
2014-09-02,HC1501.SHF,17106.0
2014-09-03,HC1501.SHF,24596.0
2014-09-04,HC1501.SHF,27404.0
2014-09-05,HC1501.SHF,27388.0
2014-09-09,HC1501.SHF,34286.0
2014-09-10,HC1501.SHF,33210.0
2014-09-11,HC1501.SHF,36286.0
2014-09-12,HC1501.SHF,36726.0
2014-09-15,HC1501.SHF,37474.0
2014-09-16,HC1501.SHF,38058.0
2014-09-17,HC1501.SHF,39296.0
2014-09-18,HC1501.SHF,38788.0
2014-09-19,HC1501.SHF,33740.0
2014-09-22,HC1501.SHF,30324.0
2014-09-23,HC1501.SHF,29330.0
2014-09-24,HC1501.SHF,31436.0
2014-09-25,HC1501.SHF,32918.0
2014-09-26,HC1501.SHF,32366.0
2014-09-29,HC1501.SHF,30648.0
2014-09-30,HC1501.SHF,30294.0
2014-10-08,HC1501.SHF,31788.0
2014-10-09,HC1501.SHF,34540.0
2014-10-10,HC1501.SHF,36230.0
2014-10-13,HC1501.SHF,36874.0
2014-10-14,HC1501.SHF,36746.0
2014-10-15,HC1501.SHF,36480.0
2014-10-16,HC1501.SHF,36982.0
