trade_time,stock,position
2013-10-18,I1409.DCE,5628.0
2013-10-21,I1409.DCE,7548.0
2013-10-22,I1409.DCE,8240.0
2013-10-23,I1409.DCE,9474.0
2013-10-24,I1409.DCE,11510.0
2013-10-25,I1409.DCE,12428.0
2013-10-28,I1409.DCE,12190.0
2013-10-29,I1409.DCE,12922.0
2013-10-30,I1409.DCE,11174.0
2013-10-31,I1409.DCE,10886.0
2013-11-01,I1409.DCE,8642.0
2013-11-04,I1409.DCE,8848.0
2013-11-05,I1409.DCE,9550.0
2013-11-06,I1409.DCE,10022.0
2013-11-07,I1409.DCE,11140.0
2013-11-08,I1409.DCE,15012.0
2013-11-11,I1409.DCE,16006.0
2013-11-12,I1409.DCE,16028.0
2013-11-13,I1409.DCE,15964.0
2013-11-14,I1409.DCE,15974.0
2013-11-15,I1409.DCE,17096.0
2013-11-18,I1409.DCE,18128.0
2013-11-19,I1409.DCE,16982.0
2013-11-20,I1409.DCE,16836.0
2013-11-21,I1409.DCE,17688.0
2013-11-22,I1409.DCE,18560.0
2013-11-25,I1409.DCE,18814.0
2013-11-26,I1409.DCE,18278.0
2013-11-27,I1409.DCE,18472.0
2013-11-28,I1409.DCE,18180.0
2013-11-29,I1409.DCE,18072.0
2013-12-02,I1409.DCE,18578.0
2013-12-03,I1409.DCE,18596.0
2013-12-04,I1409.DCE,18274.0
2013-12-05,I1409.DCE,18690.0
2013-12-06,I1409.DCE,17924.0
2013-12-09,I1409.DCE,17894.0
2013-12-10,I1409.DCE,17882.0
2013-12-11,I1409.DCE,18664.0
2013-12-12,I1409.DCE,18928.0
2013-12-13,I1409.DCE,22338.0
2013-12-16,I1409.DCE,22208.0
2013-12-17,I1409.DCE,23592.0
2013-12-18,I1409.DCE,25084.0
2013-12-19,I1409.DCE,26170.0
2013-12-20,I1409.DCE,26014.0
2013-12-23,I1409.DCE,32772.0
2013-12-24,I1409.DCE,33270.0
2013-12-25,I1409.DCE,33438.0
2013-12-26,I1409.DCE,34288.0
2013-12-27,I1409.DCE,32284.0
2013-12-30,I1409.DCE,30790.0
2013-12-31,I1409.DCE,30710.0
2014-01-02,I1409.DCE,30844.0
2014-01-03,I1409.DCE,32774.0
2014-01-06,I1409.DCE,37276.0
2014-01-07,I1409.DCE,39740.0
2014-01-08,I1409.DCE,44918.0
2014-01-09,I1409.DCE,48890.0
2014-01-10,I1409.DCE,61136.0
2014-01-13,I1409.DCE,64938.0
2014-01-14,I1409.DCE,71676.0
2014-01-15,I1409.DCE,73340.0
2014-01-16,I1409.DCE,79444.0
2014-01-17,I1409.DCE,81382.0
2014-01-20,I1409.DCE,85870.0
2014-01-21,I1409.DCE,95848.0
2014-01-22,I1409.DCE,97142.0
2014-01-23,I1409.DCE,94800.0
2014-01-24,I1409.DCE,94928.0
2014-01-27,I1409.DCE,97680.0
2014-01-28,I1409.DCE,97042.0
2014-01-29,I1409.DCE,95818.0
2014-01-30,I1409.DCE,96406.0
2014-02-07,I1409.DCE,93158.0
2014-02-10,I1409.DCE,97608.0
2014-02-11,I1409.DCE,102298.0
2014-02-12,I1409.DCE,103044.0
2014-02-13,I1409.DCE,105436.0
2014-02-14,I1409.DCE,105366.0
2014-02-17,I1409.DCE,103780.0
2014-02-18,I1409.DCE,102696.0
2014-02-19,I1409.DCE,108394.0
2014-02-20,I1409.DCE,115726.0
2014-02-21,I1409.DCE,126590.0
2014-02-24,I1409.DCE,152144.0
2014-02-25,I1409.DCE,167402.0
2014-02-26,I1409.DCE,180444.0
2014-02-27,I1409.DCE,186136.0
2014-02-28,I1409.DCE,191914.0
2014-03-03,I1409.DCE,201976.0
2014-03-04,I1409.DCE,216182.0
2014-03-05,I1409.DCE,235588.0
2014-03-06,I1409.DCE,266448.0
2014-03-07,I1409.DCE,301544.0
2014-03-10,I1409.DCE,296812.0
2014-03-11,I1409.DCE,305028.0
2014-03-12,I1409.DCE,401538.0
2014-03-13,I1409.DCE,498186.0
2014-03-14,I1409.DCE,527610.0
2014-03-17,I1409.DCE,516402.0
2014-03-18,I1409.DCE,557604.0
2014-03-19,I1409.DCE,558712.0
2014-03-20,I1409.DCE,546564.0
2014-03-21,I1409.DCE,545010.0
2014-03-24,I1409.DCE,592542.0
2014-03-25,I1409.DCE,551710.0
2014-03-26,I1409.DCE,498300.0
2014-03-27,I1409.DCE,494038.0
2014-03-28,I1409.DCE,481464.0
2014-03-31,I1409.DCE,476690.0
2014-04-01,I1409.DCE,503040.0
2014-04-02,I1409.DCE,524730.0
2014-04-03,I1409.DCE,538798.0
2014-04-04,I1409.DCE,509074.0
2014-04-08,I1409.DCE,531050.0
2014-04-09,I1409.DCE,543934.0
2014-04-10,I1409.DCE,552898.0
2014-04-11,I1409.DCE,541278.0
2014-04-14,I1409.DCE,551342.0
2014-04-15,I1409.DCE,536824.0
2014-04-16,I1409.DCE,511688.0
2014-04-17,I1409.DCE,473962.0
2014-04-18,I1409.DCE,460442.0
2014-04-21,I1409.DCE,472568.0
2014-04-22,I1409.DCE,473366.0
2014-04-23,I1409.DCE,464386.0
