trade_time,stock,position
2013-08-12,J1407.DCE,6.0
2013-08-13,J1407.DCE,6.0
2013-08-14,J1407.DCE,8.0
2013-08-15,J1407.DCE,8.0
2013-08-16,J1407.DCE,8.0
2013-08-19,J1407.DCE,8.0
2013-08-20,J1407.DCE,10.0
2013-08-21,J1407.DCE,10.0
2013-08-22,J1407.DCE,10.0
2013-08-23,J1407.DCE,12.0
2013-08-26,J1407.DCE,12.0
2013-08-27,J1407.DCE,12.0
2013-08-28,J1407.DCE,12.0
2013-08-29,J1407.DCE,12.0
2013-08-30,J1407.DCE,12.0
2013-09-02,J1407.DCE,12.0
2013-09-03,J1407.DCE,12.0
2013-09-04,J1407.DCE,12.0
2013-09-05,J1407.DCE,12.0
2013-09-06,J1407.DCE,12.0
2013-09-09,J1407.DCE,12.0
2013-09-10,J1407.DCE,12.0
2013-09-11,J1407.DCE,12.0
2013-09-12,J1407.DCE,12.0
2013-09-13,J1407.DCE,12.0
2013-09-16,J1409.DCE,52.0
2013-09-17,J1409.DCE,76.0
2013-09-18,J1409.DCE,112.0
2013-09-23,J1409.DCE,194.0
2013-09-24,J1409.DCE,166.0
2013-09-25,J1409.DCE,212.0
2013-09-26,J1409.DCE,214.0
2013-09-27,J1409.DCE,272.0
2013-09-30,J1409.DCE,272.0
2013-10-08,J1409.DCE,276.0
2013-10-09,J1409.DCE,514.0
2013-10-10,J1409.DCE,544.0
2013-10-11,J1409.DCE,618.0
2013-10-14,J1409.DCE,1208.0
2013-10-15,J1409.DCE,1426.0
2013-10-16,J1409.DCE,1356.0
2013-10-17,J1409.DCE,1382.0
2013-10-18,J1409.DCE,1360.0
2013-10-21,J1409.DCE,2062.0
2013-10-22,J1409.DCE,2304.0
2013-10-23,J1409.DCE,2182.0
2013-10-24,J1409.DCE,2186.0
2013-10-25,J1409.DCE,1860.0
2013-10-28,J1409.DCE,2968.0
2013-10-29,J1409.DCE,3252.0
2013-10-30,J1409.DCE,4204.0
2013-10-31,J1409.DCE,4396.0
2013-11-01,J1409.DCE,6638.0
2013-11-04,J1409.DCE,6436.0
2013-11-05,J1409.DCE,6776.0
2013-11-06,J1409.DCE,6774.0
2013-11-07,J1409.DCE,7562.0
2013-11-08,J1409.DCE,8006.0
2013-11-11,J1409.DCE,8620.0
2013-11-12,J1409.DCE,9244.0
2013-11-13,J1409.DCE,10250.0
2013-11-14,J1409.DCE,10180.0
2013-11-15,J1409.DCE,10432.0
2013-11-18,J1409.DCE,11360.0
2013-11-19,J1409.DCE,12226.0
2013-11-20,J1409.DCE,12258.0
2013-11-21,J1409.DCE,12666.0
2013-11-22,J1409.DCE,12618.0
2013-11-25,J1409.DCE,12588.0
2013-11-26,J1409.DCE,13392.0
2013-11-27,J1409.DCE,13622.0
2013-11-28,J1409.DCE,14276.0
2013-11-29,J1409.DCE,14340.0
2013-12-02,J1409.DCE,14556.0
2013-12-03,J1409.DCE,15742.0
2013-12-04,J1409.DCE,16888.0
2013-12-05,J1409.DCE,18372.0
2013-12-06,J1409.DCE,19710.0
2013-12-09,J1409.DCE,19524.0
2013-12-10,J1409.DCE,19564.0
2013-12-11,J1409.DCE,20696.0
2013-12-12,J1409.DCE,20488.0
2013-12-13,J1409.DCE,19606.0
2013-12-16,J1409.DCE,20400.0
2013-12-17,J1409.DCE,18914.0
2013-12-18,J1409.DCE,18008.0
2013-12-19,J1409.DCE,18092.0
2013-12-20,J1409.DCE,18030.0
2013-12-23,J1409.DCE,19584.0
2013-12-24,J1409.DCE,22418.0
2013-12-25,J1409.DCE,23198.0
2013-12-26,J1409.DCE,23068.0
2013-12-27,J1409.DCE,23462.0
2013-12-30,J1409.DCE,24272.0
2013-12-31,J1409.DCE,25296.0
2014-01-02,J1409.DCE,25936.0
2014-01-03,J1409.DCE,26760.0
2014-01-06,J1409.DCE,30654.0
2014-01-07,J1409.DCE,32046.0
2014-01-08,J1409.DCE,32124.0
2014-01-09,J1409.DCE,33096.0
2014-01-10,J1409.DCE,33836.0
2014-01-13,J1409.DCE,36204.0
2014-01-14,J1409.DCE,38430.0
2014-01-15,J1409.DCE,39128.0
2014-01-16,J1409.DCE,40016.0
2014-01-17,J1409.DCE,40438.0
2014-01-20,J1409.DCE,42056.0
2014-01-21,J1409.DCE,44066.0
2014-01-22,J1409.DCE,49630.0
2014-01-23,J1409.DCE,49668.0
2014-01-24,J1409.DCE,48872.0
2014-01-27,J1409.DCE,47030.0
2014-01-28,J1409.DCE,46514.0
2014-01-29,J1409.DCE,45312.0
2014-01-30,J1409.DCE,45086.0
2014-02-07,J1409.DCE,43996.0
2014-02-10,J1409.DCE,47800.0
2014-02-11,J1409.DCE,48312.0
2014-02-12,J1409.DCE,48280.0
2014-02-13,J1409.DCE,48982.0
2014-02-14,J1409.DCE,53432.0
2014-02-17,J1409.DCE,57492.0
2014-02-18,J1409.DCE,56850.0
2014-02-19,J1409.DCE,60926.0
2014-02-20,J1409.DCE,59566.0
2014-02-21,J1409.DCE,61382.0
2014-02-24,J1409.DCE,63642.0
2014-02-25,J1409.DCE,61514.0
2014-02-26,J1409.DCE,66048.0
2014-02-27,J1409.DCE,71810.0
2014-02-28,J1409.DCE,76102.0
2014-03-03,J1409.DCE,98960.0
2014-03-04,J1409.DCE,111684.0
2014-03-05,J1409.DCE,144302.0
2014-03-06,J1409.DCE,153880.0
2014-03-07,J1409.DCE,165566.0
2014-03-10,J1409.DCE,178304.0
2014-03-11,J1409.DCE,167942.0
2014-03-12,J1409.DCE,218930.0
2014-03-13,J1409.DCE,221644.0
2014-03-14,J1409.DCE,232988.0
2014-03-17,J1409.DCE,247914.0
2014-03-18,J1409.DCE,265264.0
2014-03-19,J1409.DCE,258240.0
2014-03-20,J1409.DCE,260408.0
2014-03-21,J1409.DCE,282216.0
2014-03-24,J1409.DCE,277984.0
2014-03-25,J1409.DCE,258548.0
2014-03-26,J1409.DCE,249246.0
2014-03-27,J1409.DCE,281974.0
2014-03-28,J1409.DCE,270784.0
2014-03-31,J1409.DCE,255570.0
2014-04-01,J1409.DCE,256978.0
2014-04-02,J1409.DCE,274108.0
2014-04-03,J1409.DCE,268752.0
2014-04-04,J1409.DCE,301916.0
2014-04-08,J1409.DCE,315778.0
2014-04-09,J1409.DCE,320304.0
2014-04-10,J1409.DCE,303300.0
2014-04-11,J1409.DCE,296742.0
2014-04-14,J1409.DCE,313496.0
2014-04-15,J1409.DCE,294022.0
2014-04-16,J1409.DCE,305164.0
2014-04-17,J1409.DCE,323326.0
2014-04-18,J1409.DCE,309254.0
2014-04-21,J1409.DCE,310856.0
2014-04-22,J1409.DCE,306982.0
2014-04-23,J1409.DCE,311114.0
2014-04-24,J1409.DCE,320358.0
2014-04-25,J1409.DCE,310184.0
2014-04-28,J1409.DCE,288876.0
2014-04-29,J1409.DCE,298158.0
2014-04-30,J1409.DCE,307732.0
2014-05-05,J1409.DCE,290002.0
2014-05-06,J1409.DCE,300592.0
2014-05-07,J1409.DCE,302620.0
2014-05-08,J1409.DCE,303886.0
2014-05-09,J1409.DCE,297290.0
2014-05-12,J1409.DCE,334074.0
2014-05-13,J1409.DCE,301832.0
2014-05-14,J1409.DCE,311066.0
2014-05-15,J1409.DCE,294940.0
2014-05-16,J1409.DCE,313330.0
2014-05-19,J1409.DCE,302330.0
2014-05-20,J1409.DCE,301814.0
2014-05-21,J1409.DCE,302576.0
2014-05-22,J1409.DCE,288816.0
2014-05-23,J1409.DCE,283404.0
2014-05-26,J1409.DCE,281754.0
2014-05-27,J1409.DCE,288650.0
2014-05-28,J1409.DCE,275572.0
2014-05-29,J1409.DCE,267784.0
2014-05-30,J1409.DCE,272612.0
2014-06-03,J1409.DCE,260880.0
2014-06-04,J1409.DCE,246748.0
2014-06-05,J1409.DCE,279268.0
2014-06-06,J1409.DCE,271058.0
2014-06-09,J1409.DCE,248738.0
2014-06-10,J1409.DCE,256346.0
2014-06-11,J1409.DCE,261746.0
2014-06-12,J1409.DCE,280264.0
2014-06-13,J1409.DCE,253276.0
2014-06-16,J1409.DCE,265300.0
2014-06-17,J1409.DCE,254552.0
2014-06-18,J1409.DCE,247696.0
2014-06-19,J1409.DCE,251268.0
2014-06-20,J1409.DCE,237284.0
2014-06-23,J1409.DCE,269074.0
2014-06-24,J1409.DCE,255534.0
2014-06-25,J1409.DCE,252968.0
2014-06-26,J1409.DCE,268056.0
2014-06-27,J1409.DCE,261862.0
2014-06-30,J1409.DCE,258662.0
2014-07-01,J1409.DCE,271964.0
2014-07-02,J1409.DCE,271488.0
2014-07-03,J1409.DCE,287802.0
2014-07-04,J1409.DCE,300234.0
2014-07-07,J1409.DCE,259626.0
2014-07-08,J1409.DCE,259536.0
2014-07-09,J1409.DCE,242186.0
2014-07-10,J1409.DCE,236848.0
2014-07-11,J1409.DCE,243454.0
2014-07-14,J1409.DCE,243166.0
2014-07-15,J1409.DCE,225724.0
2014-07-16,J1409.DCE,219246.0
2014-07-17,J1409.DCE,204296.0
2014-07-18,J1409.DCE,178432.0
2014-07-21,J1501.DCE,173880.0
2014-07-22,J1501.DCE,168614.0
2014-07-23,J1501.DCE,200398.0
2014-07-24,J1501.DCE,204034.0
2014-07-25,J1501.DCE,205366.0
2014-07-28,J1501.DCE,216506.0
2014-07-29,J1501.DCE,208830.0
2014-07-30,J1501.DCE,206022.0
2014-07-31,J1501.DCE,213568.0
2014-08-01,J1501.DCE,241202.0
2014-08-04,J1501.DCE,243824.0
2014-08-05,J1501.DCE,231786.0
2014-08-06,J1501.DCE,245550.0
2014-08-07,J1501.DCE,246572.0
2014-08-08,J1501.DCE,239652.0
2014-08-11,J1501.DCE,251140.0
2014-08-12,J1501.DCE,245602.0
2014-08-13,J1501.DCE,262922.0
2014-08-14,J1501.DCE,271104.0
2014-08-15,J1501.DCE,282944.0
2014-08-18,J1501.DCE,282580.0
2014-08-19,J1501.DCE,287692.0
2014-08-20,J1501.DCE,284770.0
2014-08-21,J1501.DCE,282240.0
2014-08-22,J1501.DCE,287086.0
2014-08-25,J1501.DCE,289636.0
2014-08-26,J1501.DCE,278704.0
2014-08-27,J1501.DCE,269612.0
2014-08-28,J1501.DCE,259154.0
2014-08-29,J1501.DCE,253802.0
2014-09-01,J1501.DCE,242758.0
2014-09-02,J1501.DCE,267392.0
2014-09-03,J1501.DCE,268642.0
2014-09-04,J1501.DCE,259490.0
2014-09-05,J1501.DCE,264772.0
2014-09-09,J1501.DCE,288108.0
2014-09-10,J1501.DCE,288564.0
2014-09-11,J1501.DCE,281624.0
2014-09-12,J1501.DCE,287086.0
2014-09-15,J1501.DCE,278082.0
2014-09-16,J1501.DCE,279988.0
2014-09-17,J1501.DCE,275280.0
