trade_time,stock,position
2013-11-08,JD1409.DCE,21342.0
2013-11-11,JD1409.DCE,21956.0
2013-11-12,JD1409.DCE,24874.0
2013-11-13,JD1409.DCE,25882.0
2013-11-14,JD1409.DCE,24572.0
2013-11-15,JD1409.DCE,25758.0
2013-11-18,JD1409.DCE,25646.0
2013-11-19,JD1409.DCE,24656.0
2013-11-20,JD1409.DCE,24464.0
2013-11-21,JD1409.DCE,23114.0
2013-11-22,JD1409.DCE,22672.0
2013-11-25,JD1409.DCE,25842.0
2013-11-26,JD1409.DCE,26214.0
2013-11-27,JD1409.DCE,26722.0
2013-11-28,JD1409.DCE,27786.0
2013-11-29,JD1409.DCE,27634.0
2013-12-02,JD1409.DCE,27786.0
2013-12-03,JD1409.DCE,28602.0
2013-12-04,JD1409.DCE,28140.0
2013-12-05,JD1409.DCE,28374.0
2013-12-06,JD1409.DCE,28390.0
2013-12-09,JD1409.DCE,27716.0
2013-12-10,JD1409.DCE,27540.0
2013-12-11,JD1409.DCE,27362.0
2013-12-12,JD1409.DCE,27278.0
2013-12-13,JD1409.DCE,26486.0
2013-12-16,JD1409.DCE,26712.0
2013-12-17,JD1409.DCE,26126.0
2013-12-18,JD1409.DCE,25778.0
2013-12-19,JD1409.DCE,24232.0
2013-12-20,JD1409.DCE,24204.0
2013-12-23,JD1409.DCE,23610.0
2013-12-24,JD1409.DCE,23660.0
2013-12-25,JD1409.DCE,23984.0
2013-12-26,JD1409.DCE,23564.0
2013-12-27,JD1409.DCE,23842.0
2013-12-30,JD1409.DCE,24102.0
2013-12-31,JD1409.DCE,24386.0
2014-01-02,JD1409.DCE,24586.0
2014-01-03,JD1409.DCE,24168.0
2014-01-06,JD1409.DCE,22980.0
2014-01-07,JD1409.DCE,23174.0
2014-01-08,JD1409.DCE,22552.0
2014-01-09,JD1409.DCE,23124.0
2014-01-10,JD1409.DCE,23334.0
2014-01-13,JD1409.DCE,23000.0
2014-01-14,JD1409.DCE,23632.0
2014-01-15,JD1409.DCE,24190.0
2014-01-16,JD1409.DCE,25366.0
2014-01-17,JD1409.DCE,26518.0
2014-01-20,JD1409.DCE,27512.0
2014-01-21,JD1409.DCE,28922.0
2014-01-22,JD1409.DCE,30880.0
2014-01-23,JD1409.DCE,31174.0
2014-01-24,JD1409.DCE,31142.0
2014-01-27,JD1409.DCE,31260.0
2014-01-28,JD1409.DCE,34230.0
2014-01-29,JD1409.DCE,36166.0
2014-01-30,JD1409.DCE,37396.0
2014-02-07,JD1409.DCE,37404.0
2014-02-10,JD1409.DCE,41162.0
2014-02-11,JD1409.DCE,41488.0
2014-02-12,JD1409.DCE,42950.0
2014-02-13,JD1409.DCE,43244.0
2014-02-14,JD1409.DCE,49148.0
2014-02-17,JD1409.DCE,51612.0
2014-02-18,JD1409.DCE,52392.0
2014-02-19,JD1409.DCE,53394.0
2014-02-20,JD1409.DCE,55844.0
2014-02-21,JD1409.DCE,57580.0
2014-02-24,JD1409.DCE,58072.0
2014-02-25,JD1409.DCE,59202.0
2014-02-26,JD1409.DCE,59644.0
2014-02-27,JD1409.DCE,61204.0
2014-02-28,JD1409.DCE,60814.0
2014-03-03,JD1409.DCE,56860.0
2014-03-04,JD1409.DCE,57624.0
2014-03-05,JD1409.DCE,56810.0
2014-03-06,JD1409.DCE,58108.0
2014-03-07,JD1409.DCE,59730.0
2014-03-10,JD1409.DCE,58404.0
2014-03-11,JD1409.DCE,59324.0
2014-03-12,JD1409.DCE,58568.0
2014-03-13,JD1409.DCE,62758.0
2014-03-14,JD1409.DCE,63030.0
2014-03-17,JD1409.DCE,63478.0
2014-03-18,JD1409.DCE,76662.0
2014-03-19,JD1409.DCE,79588.0
2014-03-20,JD1409.DCE,79686.0
2014-03-21,JD1409.DCE,87390.0
2014-03-24,JD1409.DCE,94740.0
2014-03-25,JD1409.DCE,96514.0
2014-03-26,JD1409.DCE,113682.0
2014-03-27,JD1409.DCE,115294.0
2014-03-28,JD1409.DCE,111370.0
2014-03-31,JD1409.DCE,107472.0
2014-04-01,JD1409.DCE,106222.0
2014-04-02,JD1409.DCE,103214.0
2014-04-03,JD1409.DCE,115040.0
2014-04-04,JD1409.DCE,114910.0
2014-04-08,JD1409.DCE,126896.0
2014-04-09,JD1409.DCE,121490.0
2014-04-10,JD1409.DCE,140400.0
2014-04-11,JD1409.DCE,138286.0
2014-04-14,JD1409.DCE,130966.0
2014-04-15,JD1409.DCE,135620.0
2014-04-16,JD1409.DCE,139228.0
2014-04-17,JD1409.DCE,163758.0
2014-04-18,JD1409.DCE,168300.0
2014-04-21,JD1409.DCE,198442.0
2014-04-22,JD1409.DCE,198212.0
2014-04-23,JD1409.DCE,205888.0
2014-04-24,JD1409.DCE,196084.0
2014-04-25,JD1409.DCE,191734.0
2014-04-28,JD1409.DCE,208876.0
