trade_time,stock,position
2013-08-12,JM1407.DCE,14.0
2013-08-13,JM1407.DCE,30.0
2013-08-14,JM1407.DCE,22.0
2013-08-15,JM1407.DCE,20.0
2013-08-16,JM1407.DCE,22.0
2013-08-19,JM1407.DCE,24.0
2013-08-20,JM1407.DCE,24.0
2013-08-21,JM1407.DCE,24.0
2013-08-22,JM1407.DCE,24.0
2013-08-23,JM1407.DCE,26.0
2013-08-26,JM1407.DCE,36.0
2013-08-27,JM1407.DCE,32.0
2013-08-28,JM1407.DCE,28.0
2013-08-29,JM1407.DCE,24.0
2013-08-30,JM1407.DCE,24.0
2013-09-02,JM1407.DCE,28.0
2013-09-03,JM1407.DCE,24.0
2013-09-04,JM1407.DCE,28.0
2013-09-05,JM1407.DCE,28.0
2013-09-06,JM1407.DCE,28.0
2013-09-09,JM1407.DCE,28.0
2013-09-10,JM1407.DCE,28.0
2013-09-11,JM1407.DCE,28.0
2013-09-12,JM1407.DCE,28.0
2013-09-13,JM1407.DCE,28.0
2013-09-16,JM1409.DCE,124.0
2013-09-17,JM1409.DCE,334.0
2013-09-18,JM1409.DCE,450.0
2013-09-23,JM1409.DCE,758.0
2013-09-24,JM1409.DCE,820.0
2013-09-25,JM1409.DCE,1050.0
2013-09-26,JM1409.DCE,1090.0
2013-09-27,JM1409.DCE,1068.0
2013-09-30,JM1409.DCE,1162.0
2013-10-08,JM1409.DCE,1462.0
2013-10-09,JM1409.DCE,1916.0
2013-10-10,JM1409.DCE,3188.0
2013-10-11,JM1409.DCE,3956.0
2013-10-14,JM1409.DCE,4140.0
2013-10-15,JM1409.DCE,4754.0
2013-10-16,JM1409.DCE,4638.0
2013-10-17,JM1409.DCE,4654.0
2013-10-18,JM1409.DCE,5134.0
2013-10-21,JM1409.DCE,5774.0
2013-10-22,JM1409.DCE,5706.0
2013-10-23,JM1409.DCE,6586.0
2013-10-24,JM1409.DCE,6400.0
2013-10-25,JM1409.DCE,6782.0
2013-10-28,JM1409.DCE,7388.0
2013-10-29,JM1409.DCE,7656.0
2013-10-30,JM1409.DCE,7516.0
2013-10-31,JM1409.DCE,7578.0
2013-11-01,JM1409.DCE,7786.0
2013-11-04,JM1409.DCE,8354.0
2013-11-05,JM1409.DCE,8558.0
2013-11-06,JM1409.DCE,8800.0
2013-11-07,JM1409.DCE,8826.0
2013-11-08,JM1409.DCE,9642.0
2013-11-11,JM1409.DCE,9734.0
2013-11-12,JM1409.DCE,9924.0
2013-11-13,JM1409.DCE,9752.0
2013-11-14,JM1409.DCE,10970.0
2013-11-15,JM1409.DCE,11574.0
2013-11-18,JM1409.DCE,16766.0
2013-11-19,JM1409.DCE,17430.0
2013-11-20,JM1409.DCE,22902.0
2013-11-21,JM1409.DCE,23874.0
2013-11-22,JM1409.DCE,23700.0
2013-11-25,JM1409.DCE,23954.0
2013-11-26,JM1409.DCE,26468.0
2013-11-27,JM1409.DCE,28352.0
2013-11-28,JM1409.DCE,31034.0
2013-11-29,JM1409.DCE,33180.0
