trade_time,stock,position
2013-08-23,L1408.DCE,2.0
2013-08-26,L1408.DCE,2.0
2013-08-27,L1408.DCE,2.0
2013-08-28,L1408.DCE,2.0
2013-08-29,L1408.DCE,2.0
2013-08-30,L1408.DCE,2.0
2013-09-02,L1408.DCE,2.0
2013-09-03,L1408.DCE,2.0
2013-09-04,L1408.DCE,2.0
2013-09-05,L1408.DCE,2.0
2013-09-06,L1408.DCE,2.0
2013-09-09,L1408.DCE,2.0
2013-09-10,L1408.DCE,2.0
2013-09-11,L1408.DCE,2.0
2013-09-12,L1408.DCE,2.0
2013-09-13,L1408.DCE,2.0
2013-09-16,L1408.DCE,4.0
2013-09-17,L1408.DCE,90.0
2013-09-18,L1408.DCE,140.0
2013-09-23,L1408.DCE,172.0
2013-09-24,L1408.DCE,258.0
2013-09-25,L1408.DCE,296.0
2013-09-26,L1408.DCE,332.0
2013-09-27,L1408.DCE,318.0
2013-09-30,L1408.DCE,322.0
2013-10-08,L1408.DCE,292.0
2013-10-09,L1408.DCE,308.0
2013-10-10,L1408.DCE,310.0
2013-10-11,L1408.DCE,324.0
2013-10-14,L1408.DCE,392.0
2013-10-15,L1408.DCE,456.0
2013-10-16,L1408.DCE,468.0
2013-10-17,L1408.DCE,566.0
2013-10-18,L1408.DCE,502.0
2013-10-21,L1408.DCE,618.0
2013-10-22,L1408.DCE,828.0
2013-10-23,L1409.DCE,870.0
2013-10-24,L1409.DCE,836.0
2013-10-25,L1409.DCE,1380.0
2013-10-28,L1409.DCE,1404.0
2013-10-29,L1409.DCE,1282.0
2013-10-30,L1409.DCE,1336.0
2013-10-31,L1409.DCE,1790.0
2013-11-01,L1409.DCE,1880.0
2013-11-04,L1409.DCE,2256.0
2013-11-05,L1409.DCE,2098.0
2013-11-06,L1409.DCE,2526.0
2013-11-07,L1409.DCE,2496.0
2013-11-08,L1409.DCE,2550.0
2013-11-11,L1409.DCE,2596.0
2013-11-12,L1409.DCE,2354.0
2013-11-13,L1409.DCE,2156.0
2013-11-14,L1409.DCE,2234.0
