trade_time,stock,position
2013-07-15,M1407.DCE,42.0
2013-07-16,M1407.DCE,198.0
2013-07-17,M1407.DCE,260.0
2013-07-18,M1407.DCE,314.0
2013-07-19,M1407.DCE,504.0
2013-07-22,M1407.DCE,1048.0
2013-07-23,M1407.DCE,990.0
2013-07-24,M1407.DCE,1076.0
2013-07-25,M1407.DCE,1126.0
2013-07-26,M1407.DCE,1468.0
2013-07-29,M1407.DCE,1556.0
2013-07-30,M1407.DCE,1550.0
2013-07-31,M1407.DCE,1582.0
2013-08-01,M1407.DCE,1590.0
2013-08-02,M1407.DCE,1608.0
2013-08-05,M1407.DCE,1616.0
2013-08-06,M1407.DCE,1636.0
2013-08-07,M1407.DCE,1664.0
2013-08-08,M1407.DCE,1660.0
2013-08-09,M1407.DCE,1646.0
2013-08-12,M1407.DCE,1650.0
2013-08-13,M1407.DCE,1598.0
2013-08-14,M1407.DCE,1670.0
2013-08-15,M1407.DCE,1530.0
2013-08-16,M1407.DCE,1378.0
2013-08-19,M1407.DCE,1344.0
2013-08-20,M1407.DCE,1468.0
2013-08-21,M1407.DCE,1456.0
2013-08-22,M1407.DCE,1448.0
2013-08-23,M1407.DCE,1422.0
2013-08-26,M1407.DCE,1382.0
2013-08-27,M1407.DCE,1242.0
2013-08-28,M1407.DCE,1154.0
2013-08-29,M1407.DCE,1154.0
2013-08-30,M1407.DCE,1154.0
2013-09-02,M1407.DCE,1170.0
2013-09-03,M1407.DCE,1162.0
2013-09-04,M1407.DCE,1176.0
2013-09-05,M1407.DCE,1212.0
2013-09-06,M1407.DCE,1230.0
2013-09-09,M1407.DCE,1962.0
2013-09-10,M1407.DCE,3114.0
2013-09-11,M1407.DCE,3146.0
2013-09-12,M1407.DCE,3010.0
2013-09-13,M1407.DCE,2772.0
2013-09-16,M1409.DCE,66364.0
2013-09-17,M1409.DCE,127954.0
2013-09-18,M1409.DCE,151926.0
2013-09-23,M1409.DCE,192592.0
2013-09-24,M1409.DCE,233960.0
2013-09-25,M1409.DCE,258096.0
2013-09-26,M1409.DCE,289372.0
2013-09-27,M1409.DCE,302374.0
2013-09-30,M1409.DCE,310948.0
2013-10-08,M1409.DCE,339386.0
2013-10-09,M1409.DCE,426274.0
2013-10-10,M1409.DCE,565052.0
2013-10-11,M1409.DCE,624670.0
2013-10-14,M1409.DCE,676624.0
2013-10-15,M1409.DCE,671952.0
2013-10-16,M1409.DCE,726946.0
2013-10-17,M1409.DCE,719516.0
2013-10-18,M1409.DCE,713096.0
2013-10-21,M1409.DCE,746986.0
2013-10-22,M1409.DCE,736080.0
2013-10-23,M1409.DCE,773684.0
2013-10-24,M1409.DCE,779946.0
2013-10-25,M1409.DCE,795772.0
2013-10-28,M1409.DCE,842784.0
2013-10-29,M1409.DCE,882714.0
2013-10-30,M1409.DCE,918700.0
2013-10-31,M1409.DCE,922188.0
2013-11-01,M1409.DCE,972874.0
2013-11-04,M1409.DCE,1030330.0
2013-11-05,M1409.DCE,1075004.0
2013-11-06,M1409.DCE,1094060.0
2013-11-07,M1409.DCE,1113688.0
2013-11-08,M1409.DCE,1143590.0
2013-11-11,M1409.DCE,1101816.0
2013-11-12,M1409.DCE,1127164.0
2013-11-13,M1409.DCE,1083342.0
2013-11-14,M1409.DCE,1077960.0
2013-11-15,M1409.DCE,1089860.0
2013-11-18,M1409.DCE,1134534.0
