trade_time,stock,position
2014-06-17,MA506.CZC,1202.0
2014-06-18,MA506.CZC,2176.0
2014-06-19,MA506.CZC,2956.0
2014-06-20,MA506.CZC,2978.0
2014-06-23,MA506.CZC,2896.0
2014-06-24,MA506.CZC,2962.0
2014-06-25,MA506.CZC,4192.0
2014-06-26,MA506.CZC,3986.0
2014-06-27,MA506.CZC,3986.0
2014-06-30,MA506.CZC,4008.0
2014-07-01,MA506.CZC,4204.0
2014-07-02,MA506.CZC,4358.0
2014-07-03,MA506.CZC,4800.0
2014-07-04,MA506.CZC,4750.0
2014-07-07,MA506.CZC,5804.0
2014-07-08,MA506.CZC,6912.0
2014-07-09,MA506.CZC,6010.0
2014-07-10,MA506.CZC,5446.0
2014-07-11,MA506.CZC,5516.0
2014-07-14,MA506.CZC,5302.0
2014-07-15,MA506.CZC,5498.0
2014-07-16,MA506.CZC,5310.0
2014-07-17,MA506.CZC,5454.0
2014-07-18,MA506.CZC,5132.0
2014-07-21,MA506.CZC,5094.0
2014-07-22,MA506.CZC,4956.0
2014-07-23,MA506.CZC,4870.0
2014-07-24,MA506.CZC,4888.0
2014-07-25,MA506.CZC,5000.0
2014-07-28,MA506.CZC,5090.0
2014-07-29,MA506.CZC,4928.0
2014-07-30,MA506.CZC,4874.0
2014-07-31,MA506.CZC,4826.0
2014-08-01,MA506.CZC,4156.0
2014-08-04,MA506.CZC,4124.0
2014-08-05,MA506.CZC,4102.0
2014-08-06,MA506.CZC,4012.0
2014-08-07,MA506.CZC,3748.0
2014-08-08,MA506.CZC,3946.0
2014-08-11,MA506.CZC,3670.0
2014-08-12,MA506.CZC,3484.0
2014-08-13,MA506.CZC,4054.0
2014-08-14,MA506.CZC,4266.0
2014-08-15,MA506.CZC,4120.0
2014-08-18,MA506.CZC,4214.0
2014-08-19,MA506.CZC,5124.0
2014-08-20,MA506.CZC,4768.0
2014-08-21,MA506.CZC,4554.0
2014-08-22,MA506.CZC,4180.0
2014-08-25,MA506.CZC,4772.0
2014-08-26,MA506.CZC,7042.0
2014-08-27,MA506.CZC,8152.0
2014-08-28,MA506.CZC,8916.0
2014-08-29,MA506.CZC,10786.0
2014-09-01,MA506.CZC,10794.0
2014-09-02,MA506.CZC,10144.0
2014-09-03,MA506.CZC,10314.0
2014-09-04,MA506.CZC,10748.0
2014-09-05,MA506.CZC,10872.0
2014-09-09,MA506.CZC,10698.0
2014-09-10,MA506.CZC,10726.0
2014-09-11,MA506.CZC,10738.0
2014-09-12,MA506.CZC,14262.0
2014-09-15,MA506.CZC,15580.0
2014-09-16,MA506.CZC,16604.0
2014-09-17,MA506.CZC,17764.0
2014-09-18,MA506.CZC,18042.0
2014-09-19,MA506.CZC,18266.0
2014-09-22,MA506.CZC,17722.0
2014-09-23,MA506.CZC,16142.0
2014-09-24,MA506.CZC,16178.0
2014-09-25,MA506.CZC,15848.0
2014-09-26,MA506.CZC,15550.0
2014-09-29,MA506.CZC,16068.0
2014-09-30,MA506.CZC,14814.0
2014-10-08,MA506.CZC,15250.0
2014-10-09,MA506.CZC,15260.0
2014-10-10,MA506.CZC,17516.0
2014-10-13,MA506.CZC,17610.0
2014-10-14,MA506.CZC,17860.0
2014-10-15,MA506.CZC,17308.0
2014-10-16,MA506.CZC,15236.0
2014-10-17,MA506.CZC,13834.0
2014-10-20,MA506.CZC,22498.0
2014-10-21,MA506.CZC,22994.0
2014-10-22,MA506.CZC,21338.0
2014-10-23,MA506.CZC,22538.0
2014-10-24,MA506.CZC,21180.0
2014-10-27,MA506.CZC,17616.0
2014-10-28,MA506.CZC,17878.0
2014-10-29,MA506.CZC,17372.0
2014-10-30,MA506.CZC,16928.0
2014-10-31,MA506.CZC,17390.0
2014-11-03,MA506.CZC,21546.0
2014-11-04,MA506.CZC,23038.0
2014-11-05,MA506.CZC,25936.0
2014-11-06,MA506.CZC,27404.0
2014-11-07,MA506.CZC,31182.0
2014-11-10,MA506.CZC,31724.0
2014-11-11,MA506.CZC,32746.0
2014-11-12,MA506.CZC,33578.0
2014-11-13,MA506.CZC,34394.0
2014-11-14,MA506.CZC,35438.0
2014-11-17,MA506.CZC,36214.0
2014-11-18,MA506.CZC,36092.0
2014-11-19,MA506.CZC,46262.0
2014-11-20,MA506.CZC,62728.0
2014-11-21,MA506.CZC,62732.0
2014-11-24,MA506.CZC,64258.0
2014-11-25,MA506.CZC,62092.0
2014-11-26,MA506.CZC,60602.0
2014-11-27,MA506.CZC,58192.0
2014-11-28,MA506.CZC,59840.0
2014-12-01,MA506.CZC,67008.0
2014-12-02,MA506.CZC,69146.0
2014-12-03,MA506.CZC,65666.0
2014-12-04,MA506.CZC,77180.0
2014-12-05,MA506.CZC,87824.0
2014-12-08,MA506.CZC,96096.0
2014-12-09,MA506.CZC,94518.0
2014-12-10,MA506.CZC,96264.0
2014-12-11,MA506.CZC,102932.0
2014-12-12,MA506.CZC,123752.0
2014-12-15,MA506.CZC,148826.0
2014-12-16,MA506.CZC,241124.0
2014-12-17,MA506.CZC,380188.0
2014-12-18,MA506.CZC,429300.0
2014-12-19,MA506.CZC,339620.0
2014-12-22,MA506.CZC,458848.0
2014-12-23,MA506.CZC,481602.0
2014-12-24,MA506.CZC,456266.0
2014-12-25,MA506.CZC,390908.0
2014-12-26,MA506.CZC,408548.0
2014-12-29,MA506.CZC,392466.0
2014-12-30,MA506.CZC,390976.0
2014-12-31,MA506.CZC,305514.0
2015-01-05,MA506.CZC,323164.0
2015-01-06,MA506.CZC,355152.0
2015-01-07,MA506.CZC,365132.0
2015-01-08,MA506.CZC,358318.0
2015-01-09,MA506.CZC,353614.0
2015-01-12,MA506.CZC,496114.0
2015-01-13,MA506.CZC,527402.0
2015-01-14,MA506.CZC,487640.0
2015-01-15,MA506.CZC,460190.0
2015-01-16,MA506.CZC,452762.0
2015-01-19,MA506.CZC,436364.0
2015-01-20,MA506.CZC,449366.0
2015-01-21,MA506.CZC,416774.0
2015-01-22,MA506.CZC,389602.0
2015-01-23,MA506.CZC,387988.0
