trade_time,stock,position
2015-03-27,NI1507.SHF,14364.0
2015-03-30,NI1507.SHF,34186.0
2015-03-31,NI1507.SHF,54888.0
2015-04-01,NI1507.SHF,70960.0
2015-04-02,NI1507.SHF,80724.0
2015-04-03,NI1507.SHF,80998.0
2015-04-07,NI1507.SHF,83542.0
2015-04-08,NI1507.SHF,95102.0
2015-04-09,NI1507.SHF,99084.0
2015-04-10,NI1507.SHF,105628.0
2015-04-13,NI1507.SHF,112858.0
2015-04-14,NI1507.SHF,127690.0
2015-04-15,NI1507.SHF,132258.0
2015-04-16,NI1507.SHF,131624.0
2015-04-17,NI1507.SHF,127284.0
2015-04-20,NI1507.SHF,116410.0
2015-04-21,NI1507.SHF,110552.0
2015-04-22,NI1507.SHF,110516.0
2015-04-23,NI1507.SHF,110646.0
2015-04-24,NI1507.SHF,113816.0
2015-04-27,NI1507.SHF,116290.0
2015-04-28,NI1507.SHF,111958.0
2015-04-29,NI1507.SHF,111334.0
2015-04-30,NI1507.SHF,125970.0
2015-05-04,NI1507.SHF,128702.0
2015-05-05,NI1507.SHF,133626.0
2015-05-06,NI1507.SHF,134182.0
2015-05-07,NI1507.SHF,123678.0
2015-05-08,NI1507.SHF,118556.0
2015-05-11,NI1507.SHF,128054.0
2015-05-12,NI1507.SHF,126536.0
2015-05-13,NI1507.SHF,123868.0
2015-05-14,NI1507.SHF,121384.0
2015-05-15,NI1507.SHF,130696.0
2015-05-18,NI1507.SHF,121292.0
2015-05-19,NI1507.SHF,116362.0
2015-05-20,NI1507.SHF,107676.0
2015-05-21,NI1507.SHF,106184.0
2015-05-22,NI1507.SHF,109808.0
2015-05-25,NI1507.SHF,114898.0
2015-05-26,NI1507.SHF,115194.0
2015-05-27,NI1509.SHF,121918.0
2015-05-28,NI1509.SHF,144198.0
2015-05-29,NI1509.SHF,144488.0
2015-06-01,NI1509.SHF,156872.0
2015-06-02,NI1509.SHF,179364.0
2015-06-03,NI1509.SHF,191776.0
2015-06-04,NI1509.SHF,193186.0
2015-06-05,NI1509.SHF,203496.0
2015-06-08,NI1509.SHF,217446.0
2015-06-09,NI1509.SHF,214594.0
2015-06-10,NI1509.SHF,210380.0
2015-06-11,NI1509.SHF,201518.0
2015-06-12,NI1509.SHF,199864.0
2015-06-15,NI1509.SHF,206642.0
2015-06-16,NI1509.SHF,213938.0
2015-06-17,NI1509.SHF,212964.0
2015-06-18,NI1509.SHF,203154.0
2015-06-19,NI1509.SHF,215276.0
2015-06-23,NI1509.SHF,218968.0
2015-06-24,NI1509.SHF,215434.0
2015-06-25,NI1509.SHF,220876.0
2015-06-26,NI1509.SHF,222276.0
2015-06-29,NI1509.SHF,231122.0
2015-06-30,NI1509.SHF,235210.0
2015-07-01,NI1509.SHF,216384.0
2015-07-02,NI1509.SHF,206510.0
2015-07-03,NI1509.SHF,192048.0
2015-07-06,NI1509.SHF,193608.0
2015-07-07,NI1509.SHF,194898.0
2015-07-08,NI1509.SHF,190228.0
2015-07-09,NI1509.SHF,168800.0
2015-07-10,NI1509.SHF,180276.0
2015-07-13,NI1509.SHF,189886.0
2015-07-14,NI1509.SHF,186378.0
2015-07-15,NI1509.SHF,187520.0
2015-07-16,NI1509.SHF,182376.0
2015-07-17,NI1509.SHF,182418.0
2015-07-20,NI1509.SHF,188630.0
2015-07-21,NI1509.SHF,195552.0
2015-07-22,NI1509.SHF,183214.0
2015-07-23,NI1509.SHF,185200.0
2015-07-24,NI1509.SHF,186720.0
2015-07-27,NI1509.SHF,188830.0
2015-07-28,NI1509.SHF,177788.0
2015-07-29,NI1509.SHF,162950.0
2015-07-30,NI1509.SHF,170372.0
2015-07-31,NI1509.SHF,177058.0
2015-08-03,NI1509.SHF,175340.0
2015-08-04,NI1509.SHF,160924.0
2015-08-05,NI1509.SHF,152420.0
2015-08-06,NI1509.SHF,147734.0
2015-08-07,NI1509.SHF,148768.0
2015-08-10,NI1509.SHF,139708.0
2015-08-11,NI1509.SHF,123886.0
2015-08-12,NI1509.SHF,116000.0
2015-08-13,NI1601.SHF,113984.0
2015-08-14,NI1601.SHF,124732.0
2015-08-17,NI1601.SHF,126786.0
2015-08-18,NI1601.SHF,142650.0
2015-08-19,NI1601.SHF,154028.0
2015-08-20,NI1601.SHF,176056.0
2015-08-21,NI1601.SHF,186596.0
2015-08-24,NI1601.SHF,217706.0
2015-08-25,NI1601.SHF,232104.0
2015-08-26,NI1601.SHF,242488.0
2015-08-27,NI1601.SHF,227150.0
2015-08-28,NI1601.SHF,204962.0
2015-08-31,NI1601.SHF,207056.0
2015-09-01,NI1601.SHF,217478.0
2015-09-02,NI1601.SHF,209048.0
2015-09-07,NI1601.SHF,209890.0
2015-09-08,NI1601.SHF,248922.0
2015-09-09,NI1601.SHF,237720.0
2015-09-10,NI1601.SHF,251158.0
2015-09-11,NI1601.SHF,245130.0
2015-09-14,NI1601.SHF,240600.0
2015-09-15,NI1601.SHF,249360.0
2015-09-16,NI1601.SHF,247710.0
2015-09-17,NI1601.SHF,251738.0
2015-09-18,NI1601.SHF,268762.0
2015-09-21,NI1601.SHF,293284.0
2015-09-22,NI1601.SHF,293870.0
2015-09-23,NI1601.SHF,302684.0
2015-09-24,NI1601.SHF,304598.0
2015-09-25,NI1601.SHF,280362.0
2015-09-28,NI1601.SHF,280330.0
2015-09-29,NI1601.SHF,280048.0
2015-09-30,NI1601.SHF,248998.0
2015-10-08,NI1601.SHF,253152.0
2015-10-09,NI1601.SHF,260084.0
2015-10-12,NI1601.SHF,244502.0
2015-10-13,NI1601.SHF,240428.0
2015-10-14,NI1601.SHF,241670.0
2015-10-15,NI1601.SHF,286750.0
2015-10-16,NI1601.SHF,285266.0
2015-10-19,NI1601.SHF,270082.0
2015-10-20,NI1601.SHF,252482.0
2015-10-21,NI1601.SHF,255076.0
2015-10-22,NI1601.SHF,234838.0
2015-10-23,NI1601.SHF,248752.0
2015-10-26,NI1601.SHF,247344.0
2015-10-27,NI1601.SHF,242420.0
2015-10-28,NI1601.SHF,236902.0
2015-10-29,NI1601.SHF,236182.0
2015-10-30,NI1601.SHF,306602.0
2015-11-02,NI1601.SHF,335360.0
2015-11-03,NI1601.SHF,346974.0
2015-11-04,NI1601.SHF,362628.0
2015-11-05,NI1601.SHF,406972.0
2015-11-06,NI1601.SHF,393540.0
2015-11-09,NI1601.SHF,432832.0
2015-11-10,NI1601.SHF,431638.0
2015-11-11,NI1601.SHF,456998.0
2015-11-12,NI1601.SHF,448788.0
2015-11-13,NI1601.SHF,466212.0
2015-11-16,NI1601.SHF,447322.0
2015-11-17,NI1601.SHF,446728.0
2015-11-18,NI1601.SHF,445772.0
2015-11-19,NI1601.SHF,435448.0
2015-11-20,NI1601.SHF,445614.0
2015-11-23,NI1601.SHF,446362.0
2015-11-24,NI1601.SHF,413958.0
2015-11-25,NI1601.SHF,378610.0
2015-11-26,NI1601.SHF,367254.0
2015-11-27,NI1601.SHF,340084.0
2015-11-30,NI1601.SHF,322532.0
2015-12-01,NI1601.SHF,313308.0
2015-12-02,NI1601.SHF,310608.0
2015-12-03,NI1601.SHF,296010.0
2015-12-04,NI1601.SHF,278502.0
2015-12-07,NI1601.SHF,268360.0
2015-12-08,NI1601.SHF,279530.0
2015-12-09,NI1601.SHF,278940.0
2015-12-10,NI1601.SHF,270722.0
2015-12-11,NI1601.SHF,257790.0
2015-12-14,NI1605.SHF,261404.0
2015-12-15,NI1605.SHF,269806.0
2015-12-16,NI1605.SHF,274928.0
2015-12-17,NI1605.SHF,294056.0
2015-12-18,NI1605.SHF,315212.0
2015-12-21,NI1605.SHF,345250.0
2015-12-22,NI1605.SHF,368860.0
2015-12-23,NI1605.SHF,392536.0
2015-12-24,NI1605.SHF,421326.0
2015-12-25,NI1605.SHF,447046.0
2015-12-28,NI1605.SHF,477550.0
2015-12-29,NI1605.SHF,463074.0
2015-12-30,NI1605.SHF,443934.0
2015-12-31,NI1605.SHF,429168.0
2016-01-04,NI1605.SHF,428358.0
2016-01-05,NI1605.SHF,424542.0
2016-01-06,NI1605.SHF,437426.0
2016-01-07,NI1605.SHF,484406.0
2016-01-08,NI1605.SHF,459614.0
2016-01-11,NI1605.SHF,475302.0
2016-01-12,NI1605.SHF,497478.0
2016-01-13,NI1605.SHF,504624.0
2016-01-14,NI1605.SHF,473274.0
2016-01-15,NI1605.SHF,441794.0
2016-01-18,NI1605.SHF,449514.0
2016-01-19,NI1605.SHF,440862.0
2016-01-20,NI1605.SHF,437800.0
