trade_time,stock,position
2013-08-08,P1407.DCE,8.0
2013-08-09,P1407.DCE,4.0
2013-08-12,P1407.DCE,2.0
2013-08-13,P1407.DCE,2.0
2013-08-14,P1407.DCE,4.0
2013-08-15,P1407.DCE,4.0
2013-08-16,P1407.DCE,4.0
2013-08-19,P1407.DCE,4.0
2013-08-20,P1407.DCE,4.0
2013-08-21,P1407.DCE,4.0
2013-08-22,P1407.DCE,4.0
2013-08-23,P1407.DCE,4.0
2013-08-26,P1407.DCE,4.0
2013-08-27,P1407.DCE,4.0
2013-08-28,P1407.DCE,4.0
2013-08-29,P1407.DCE,6.0
2013-08-30,P1407.DCE,8.0
2013-09-02,P1407.DCE,8.0
2013-09-03,P1407.DCE,6.0
2013-09-04,P1407.DCE,6.0
2013-09-05,P1407.DCE,6.0
2013-09-06,P1407.DCE,4.0
2013-09-09,P1407.DCE,4.0
2013-09-10,P1407.DCE,6.0
2013-09-11,P1407.DCE,6.0
2013-09-12,P1407.DCE,8.0
2013-09-13,P1407.DCE,8.0
2013-09-16,P1409.DCE,662.0
2013-09-17,P1409.DCE,1054.0
2013-09-18,P1409.DCE,954.0
2013-09-23,P1409.DCE,1454.0
2013-09-24,P1409.DCE,2144.0
2013-09-25,P1409.DCE,2362.0
2013-09-26,P1409.DCE,2652.0
2013-09-27,P1409.DCE,2262.0
2013-09-30,P1409.DCE,2172.0
2013-10-08,P1409.DCE,2466.0
2013-10-09,P1409.DCE,3296.0
2013-10-10,P1409.DCE,3590.0
2013-10-11,P1409.DCE,4734.0
2013-10-14,P1409.DCE,9352.0
2013-10-15,P1409.DCE,9444.0
2013-10-16,P1409.DCE,9828.0
2013-10-17,P1409.DCE,11764.0
2013-10-18,P1409.DCE,14408.0
2013-10-21,P1409.DCE,16548.0
2013-10-22,P1409.DCE,15596.0
2013-10-23,P1409.DCE,18174.0
2013-10-24,P1409.DCE,19468.0
2013-10-25,P1409.DCE,20936.0
2013-10-28,P1409.DCE,24942.0
2013-10-29,P1409.DCE,28150.0
2013-10-30,P1409.DCE,39372.0
2013-10-31,P1409.DCE,37940.0
2013-11-01,P1409.DCE,41330.0
2013-11-04,P1409.DCE,41746.0
2013-11-05,P1409.DCE,44834.0
2013-11-06,P1409.DCE,44606.0
2013-11-07,P1409.DCE,51838.0
2013-11-08,P1409.DCE,55560.0
2013-11-11,P1409.DCE,50396.0
2013-11-12,P1409.DCE,48924.0
2013-11-13,P1409.DCE,53254.0
2013-11-14,P1409.DCE,53388.0
2013-11-15,P1409.DCE,51096.0
2013-11-18,P1409.DCE,53496.0
2013-11-19,P1409.DCE,52360.0
2013-11-20,P1409.DCE,54822.0
2013-11-21,P1409.DCE,65162.0
2013-11-22,P1409.DCE,74192.0
2013-11-25,P1409.DCE,76218.0
2013-11-26,P1409.DCE,66700.0
2013-11-27,P1409.DCE,65756.0
2013-11-28,P1409.DCE,62364.0
2013-11-29,P1409.DCE,65136.0
2013-12-02,P1409.DCE,64734.0
2013-12-03,P1409.DCE,70172.0
2013-12-04,P1409.DCE,73722.0
2013-12-05,P1409.DCE,67732.0
2013-12-06,P1409.DCE,74076.0
2013-12-09,P1409.DCE,76420.0
2013-12-10,P1409.DCE,79698.0
2013-12-11,P1409.DCE,77334.0
2013-12-12,P1409.DCE,77046.0
2013-12-13,P1409.DCE,81732.0
2013-12-16,P1409.DCE,78508.0
2013-12-17,P1409.DCE,79192.0
2013-12-18,P1409.DCE,77964.0
2013-12-19,P1409.DCE,82514.0
2013-12-20,P1409.DCE,113718.0
2013-12-23,P1409.DCE,104720.0
2013-12-24,P1409.DCE,97598.0
2013-12-25,P1409.DCE,89022.0
2013-12-26,P1409.DCE,88744.0
2013-12-27,P1409.DCE,94634.0
2013-12-30,P1409.DCE,104572.0
2013-12-31,P1409.DCE,113298.0
2014-01-02,P1409.DCE,128376.0
2014-01-03,P1409.DCE,120472.0
2014-01-06,P1409.DCE,105540.0
2014-01-07,P1409.DCE,109164.0
2014-01-08,P1409.DCE,94416.0
2014-01-09,P1409.DCE,97520.0
2014-01-10,P1409.DCE,102726.0
2014-01-13,P1409.DCE,103678.0
2014-01-14,P1409.DCE,110490.0
2014-01-15,P1409.DCE,117958.0
2014-01-16,P1409.DCE,124906.0
2014-01-17,P1409.DCE,130412.0
2014-01-20,P1409.DCE,172794.0
2014-01-21,P1409.DCE,175564.0
2014-01-22,P1409.DCE,177312.0
2014-01-23,P1409.DCE,183150.0
