trade_time,stock,position
2013-09-05,PB1408.SHF,2.0
2013-09-06,PB1408.SHF,2.0
2013-09-09,PB1408.SHF,2.0
2013-09-10,PB1408.SHF,2.0
2013-09-11,PB1408.SHF,2.0
2013-09-12,PB1408.SHF,2.0
2013-09-13,PB1408.SHF,2.0
2013-09-16,PB1408.SHF,2.0
2013-09-17,PB1408.SHF,2.0
2013-09-18,PB1408.SHF,2.0
2013-09-23,PB1408.SHF,2.0
2013-09-24,PB1408.SHF,2.0
2013-09-25,PB1408.SHF,2.0
2013-09-26,PB1408.SHF,2.0
2013-09-27,PB1408.SHF,2.0
2013-09-30,PB1408.SHF,2.0
2013-10-08,PB1408.SHF,2.0
2013-10-09,PB1408.SHF,2.0
2013-10-10,PB1408.SHF,2.0
2013-10-11,PB1408.SHF,2.0
2013-10-14,PB1408.SHF,2.0
2013-10-15,PB1408.SHF,2.0
2013-10-16,PB1408.SHF,2.0
2013-10-17,PB1408.SHF,2.0
2013-10-18,PB1408.SHF,2.0
2013-10-21,PB1408.SHF,2.0
2013-10-22,PB1408.SHF,2.0
2013-10-23,PB1408.SHF,2.0
2013-10-24,PB1408.SHF,2.0
2013-10-25,PB1408.SHF,2.0
2013-10-28,PB1408.SHF,2.0
2013-10-29,PB1408.SHF,2.0
2013-10-30,PB1408.SHF,2.0
2013-10-31,PB1408.SHF,2.0
2013-11-01,PB1408.SHF,2.0
2013-11-04,PB1408.SHF,2.0
2013-11-05,PB1408.SHF,2.0
2013-11-06,PB1408.SHF,2.0
2013-11-07,PB1408.SHF,2.0
2013-11-08,PB1408.SHF,2.0
2013-11-11,PB1408.SHF,2.0
2013-11-12,PB1408.SHF,2.0
2013-11-13,PB1408.SHF,2.0
2013-11-14,PB1408.SHF,2.0
2013-11-15,PB1408.SHF,2.0
2013-11-18,PB1408.SHF,2.0
2013-11-19,PB1408.SHF,2.0
2013-11-20,PB1408.SHF,2.0
2013-11-21,PB1408.SHF,2.0
2013-11-22,PB1408.SHF,2.0
2013-11-25,PB1408.SHF,2.0
2013-11-26,PB1408.SHF,2.0
2013-11-27,PB1408.SHF,2.0
2013-11-28,PB1408.SHF,2.0
2013-11-29,PB1408.SHF,2.0
2013-12-02,PB1408.SHF,2.0
2013-12-03,PB1408.SHF,2.0
2013-12-04,PB1408.SHF,2.0
2013-12-05,PB1408.SHF,2.0
2013-12-06,PB1408.SHF,2.0
2013-12-09,PB1408.SHF,2.0
2013-12-10,PB1408.SHF,2.0
2013-12-11,PB1408.SHF,2.0
2013-12-12,PB1408.SHF,2.0
2013-12-13,PB1408.SHF,2.0
2013-12-16,PB1408.SHF,2.0
2013-12-17,PB1407.SHF,2.0
2013-12-18,PB1407.SHF,2.0
2013-12-19,PB1407.SHF,2.0
2013-12-20,PB1407.SHF,2.0
2013-12-23,PB1407.SHF,2.0
2013-12-24,PB1407.SHF,4.0
2013-12-25,PB1407.SHF,4.0
2013-12-26,PB1407.SHF,4.0
2013-12-27,PB1407.SHF,4.0
2013-12-30,PB1407.SHF,4.0
2013-12-31,PB1407.SHF,4.0
2014-01-02,PB1407.SHF,4.0
2014-01-03,PB1407.SHF,4.0
2014-01-06,PB1407.SHF,4.0
2014-01-07,PB1407.SHF,4.0
2014-01-08,PB1407.SHF,4.0
2014-01-09,PB1407.SHF,4.0
2014-01-10,PB1407.SHF,4.0
2014-01-13,PB1407.SHF,4.0
2014-01-14,PB1407.SHF,4.0
2014-01-15,PB1412.SHF,10.0
2014-01-16,PB1412.SHF,18.0
2014-01-17,PB1412.SHF,20.0
2014-01-20,PB1412.SHF,20.0
2014-01-21,PB1412.SHF,22.0
2014-01-22,PB1412.SHF,22.0
2014-01-23,PB1412.SHF,22.0
2014-01-24,PB1412.SHF,22.0
2014-01-27,PB1412.SHF,22.0
2014-01-28,PB1412.SHF,22.0
2014-01-29,PB1412.SHF,22.0
2014-01-30,PB1412.SHF,22.0
2014-02-07,PB1412.SHF,22.0
2014-02-10,PB1412.SHF,22.0
2014-02-11,PB1412.SHF,22.0
2014-02-12,PB1412.SHF,22.0
2014-02-13,PB1412.SHF,22.0
2014-02-14,PB1412.SHF,22.0
2014-02-17,PB1412.SHF,22.0
2014-02-18,PB1412.SHF,22.0
2014-02-19,PB1412.SHF,26.0
2014-02-20,PB1412.SHF,26.0
2014-02-21,PB1412.SHF,26.0
2014-02-24,PB1407.SHF,414.0
2014-02-25,PB1407.SHF,688.0
2014-02-26,PB1407.SHF,732.0
2014-02-27,PB1407.SHF,850.0
2014-02-28,PB1407.SHF,966.0
2014-03-03,PB1407.SHF,1106.0
2014-03-04,PB1407.SHF,1288.0
2014-03-05,PB1407.SHF,1380.0
2014-03-06,PB1407.SHF,1414.0
2014-03-07,PB1407.SHF,1438.0
2014-03-10,PB1407.SHF,1424.0
2014-03-11,PB1407.SHF,1434.0
2014-03-12,PB1407.SHF,1434.0
2014-03-13,PB1407.SHF,1434.0
2014-03-14,PB1407.SHF,1924.0
2014-03-17,PB1407.SHF,1968.0
2014-03-18,PB1407.SHF,1970.0
2014-03-19,PB1407.SHF,1966.0
2014-03-20,PB1407.SHF,1994.0
2014-03-21,PB1407.SHF,2000.0
2014-03-24,PB1407.SHF,2068.0
2014-03-25,PB1407.SHF,2076.0
2014-03-26,PB1407.SHF,2206.0
2014-03-27,PB1407.SHF,2314.0
2014-03-28,PB1407.SHF,2316.0
2014-03-31,PB1407.SHF,2330.0
2014-04-01,PB1407.SHF,2402.0
2014-04-02,PB1407.SHF,2466.0
2014-04-03,PB1407.SHF,2692.0
2014-04-04,PB1407.SHF,2882.0
2014-04-08,PB1407.SHF,3010.0
2014-04-09,PB1407.SHF,3068.0
2014-04-10,PB1407.SHF,3064.0
2014-04-11,PB1407.SHF,3094.0
2014-04-14,PB1407.SHF,3056.0
2014-04-15,PB1407.SHF,3106.0
2014-04-16,PB1407.SHF,3106.0
2014-04-17,PB1407.SHF,3150.0
2014-04-18,PB1407.SHF,3354.0
2014-04-21,PB1407.SHF,3464.0
2014-04-22,PB1407.SHF,3608.0
2014-04-23,PB1407.SHF,4050.0
