trade_time,stock,position
2014-02-28,PP1409.DCE,16452.0
2014-03-03,PP1409.DCE,20662.0
2014-03-04,PP1409.DCE,25034.0
2014-03-05,PP1409.DCE,23234.0
2014-03-06,PP1409.DCE,32288.0
2014-03-07,PP1409.DCE,37846.0
2014-03-10,PP1409.DCE,46536.0
2014-03-11,PP1409.DCE,39284.0
2014-03-12,PP1409.DCE,49316.0
2014-03-13,PP1409.DCE,49944.0
2014-03-14,PP1409.DCE,52024.0
2014-03-17,PP1409.DCE,52644.0
2014-03-18,PP1409.DCE,51812.0
2014-03-19,PP1409.DCE,48670.0
2014-03-20,PP1409.DCE,43802.0
2014-03-21,PP1409.DCE,44088.0
2014-03-24,PP1409.DCE,47484.0
2014-03-25,PP1409.DCE,45170.0
2014-03-26,PP1409.DCE,52690.0
2014-03-27,PP1409.DCE,51682.0
2014-03-28,PP1409.DCE,58422.0
2014-03-31,PP1409.DCE,58034.0
2014-04-01,PP1409.DCE,71734.0
2014-04-02,PP1409.DCE,76276.0
2014-04-03,PP1409.DCE,80506.0
2014-04-04,PP1409.DCE,87828.0
2014-04-08,PP1409.DCE,90666.0
2014-04-09,PP1409.DCE,92590.0
2014-04-10,PP1409.DCE,94496.0
2014-04-11,PP1409.DCE,95732.0
2014-04-14,PP1409.DCE,102244.0
2014-04-15,PP1409.DCE,108252.0
2014-04-16,PP1409.DCE,108992.0
2014-04-17,PP1409.DCE,113784.0
2014-04-18,PP1409.DCE,108110.0
2014-04-21,PP1409.DCE,109696.0
2014-04-22,PP1409.DCE,123188.0
2014-04-23,PP1409.DCE,123264.0
2014-04-24,PP1409.DCE,121124.0
2014-04-25,PP1409.DCE,122218.0
2014-04-28,PP1409.DCE,117050.0
2014-04-29,PP1409.DCE,118032.0
2014-04-30,PP1409.DCE,125832.0
2014-05-05,PP1409.DCE,125364.0
2014-05-06,PP1409.DCE,124310.0
2014-05-07,PP1409.DCE,112828.0
2014-05-08,PP1409.DCE,106412.0
2014-05-09,PP1409.DCE,108646.0
2014-05-12,PP1409.DCE,104282.0
2014-05-13,PP1409.DCE,100942.0
2014-05-14,PP1409.DCE,103418.0
2014-05-15,PP1409.DCE,109596.0
2014-05-16,PP1409.DCE,119902.0
2014-05-19,PP1409.DCE,127830.0
2014-05-20,PP1409.DCE,133746.0
2014-05-21,PP1409.DCE,136476.0
2014-05-22,PP1409.DCE,145146.0
2014-05-23,PP1409.DCE,136714.0
2014-05-26,PP1409.DCE,140360.0
2014-05-27,PP1409.DCE,119182.0
2014-05-28,PP1409.DCE,111856.0
2014-05-29,PP1409.DCE,111856.0
2014-05-30,PP1409.DCE,112712.0
2014-06-03,PP1409.DCE,120034.0
2014-06-04,PP1409.DCE,120866.0
