trade_time,stock,position
2013-07-19,RB1407.SHF,8.0
2013-07-22,RB1407.SHF,2.0
2013-07-23,RB1407.SHF,4.0
2013-07-24,RB1407.SHF,8.0
2013-07-25,RB1407.SHF,8.0
2013-07-26,RB1407.SHF,12.0
2013-07-29,RB1407.SHF,10.0
2013-07-30,RB1407.SHF,8.0
2013-07-31,RB1407.SHF,8.0
2013-08-01,RB1407.SHF,8.0
2013-08-02,RB1407.SHF,12.0
2013-08-05,RB1407.SHF,10.0
2013-08-06,RB1407.SHF,10.0
2013-08-07,RB1407.SHF,12.0
2013-08-08,RB1407.SHF,114.0
2013-08-09,RB1407.SHF,116.0
2013-08-12,RB1407.SHF,134.0
2013-08-13,RB1407.SHF,258.0
2013-08-14,RB1407.SHF,264.0
2013-08-15,RB1407.SHF,264.0
2013-08-16,RB1407.SHF,264.0
2013-08-19,RB1407.SHF,266.0
2013-08-20,RB1407.SHF,276.0
2013-08-21,RB1407.SHF,282.0
2013-08-22,RB1407.SHF,292.0
2013-08-23,RB1407.SHF,290.0
2013-08-26,RB1407.SHF,294.0
2013-08-27,RB1407.SHF,294.0
2013-08-28,RB1407.SHF,294.0
2013-08-29,RB1407.SHF,294.0
2013-08-30,RB1407.SHF,294.0
2013-09-02,RB1407.SHF,298.0
2013-09-03,RB1407.SHF,304.0
2013-09-04,RB1407.SHF,304.0
2013-09-05,RB1407.SHF,304.0
2013-09-06,RB1407.SHF,306.0
2013-09-09,RB1407.SHF,306.0
2013-09-10,RB1407.SHF,306.0
2013-09-11,RB1407.SHF,306.0
2013-09-12,RB1407.SHF,306.0
2013-09-13,RB1407.SHF,296.0
2013-09-16,RB1407.SHF,290.0
2013-09-17,RB1407.SHF,290.0
2013-09-18,RB1407.SHF,282.0
2013-09-23,RB1407.SHF,280.0
2013-09-24,RB1407.SHF,280.0
2013-09-25,RB1407.SHF,276.0
2013-09-26,RB1407.SHF,278.0
2013-09-27,RB1407.SHF,268.0
2013-09-30,RB1407.SHF,268.0
2013-10-08,RB1407.SHF,266.0
2013-10-09,RB1407.SHF,266.0
2013-10-10,RB1407.SHF,270.0
2013-10-11,RB1407.SHF,270.0
2013-10-14,RB1409.SHF,280.0
2013-10-15,RB1409.SHF,324.0
2013-10-16,RB1409.SHF,408.0
2013-10-17,RB1409.SHF,410.0
2013-10-18,RB1410.SHF,12950.0
2013-10-21,RB1410.SHF,19322.0
2013-10-22,RB1410.SHF,20964.0
2013-10-23,RB1410.SHF,22722.0
2013-10-24,RB1410.SHF,22750.0
2013-10-25,RB1410.SHF,23450.0
2013-10-28,RB1410.SHF,22554.0
2013-10-29,RB1410.SHF,23358.0
2013-10-30,RB1410.SHF,24552.0
2013-10-31,RB1410.SHF,26504.0
2013-11-01,RB1410.SHF,30204.0
2013-11-04,RB1410.SHF,31626.0
2013-11-05,RB1410.SHF,33220.0
2013-11-06,RB1410.SHF,39686.0
2013-11-07,RB1410.SHF,63300.0
2013-11-08,RB1410.SHF,88070.0
