trade_time,stock,position
2014-01-16,RM501.CZC,24430.0
2014-01-17,RM501.CZC,78240.0
2014-01-20,RM501.CZC,100842.0
2014-01-21,RM501.CZC,113780.0
2014-01-22,RM501.CZC,119882.0
2014-01-23,RM501.CZC,121774.0
2014-01-24,RM501.CZC,127094.0
2014-01-27,RM501.CZC,129740.0
2014-01-28,RM501.CZC,133154.0
2014-01-29,RM501.CZC,128896.0
2014-01-30,RM501.CZC,124306.0
2014-02-07,RM501.CZC,123490.0
2014-02-10,RM501.CZC,151786.0
2014-02-11,RM501.CZC,170866.0
2014-02-12,RM501.CZC,189208.0
2014-02-13,RM501.CZC,201566.0
2014-02-14,RM501.CZC,210436.0
2014-02-17,RM501.CZC,204688.0
2014-02-18,RM501.CZC,196966.0
2014-02-19,RM501.CZC,199712.0
2014-02-20,RM501.CZC,205752.0
2014-02-21,RM501.CZC,217366.0
2014-02-24,RM501.CZC,218080.0
2014-02-25,RM501.CZC,215844.0
2014-02-26,RM501.CZC,204154.0
2014-02-27,RM501.CZC,226754.0
2014-02-28,RM501.CZC,231990.0
2014-03-03,RM501.CZC,228354.0
2014-03-04,RM501.CZC,229478.0
2014-03-05,RM501.CZC,235526.0
2014-03-06,RM501.CZC,237412.0
2014-03-07,RM501.CZC,230434.0
2014-03-10,RM501.CZC,235146.0
2014-03-11,RM501.CZC,250736.0
2014-03-12,RM501.CZC,259460.0
2014-03-13,RM501.CZC,268700.0
2014-03-14,RM501.CZC,268944.0
2014-03-17,RM501.CZC,276418.0
2014-03-18,RM501.CZC,290990.0
2014-03-19,RM501.CZC,272518.0
2014-03-20,RM501.CZC,280958.0
2014-03-21,RM501.CZC,309672.0
2014-03-24,RM501.CZC,316818.0
2014-03-25,RM501.CZC,312464.0
2014-03-26,RM501.CZC,307300.0
2014-03-27,RM501.CZC,299634.0
2014-03-28,RM501.CZC,301354.0
2014-03-31,RM501.CZC,304014.0
2014-04-01,RM501.CZC,302066.0
2014-04-02,RM501.CZC,308514.0
2014-04-03,RM501.CZC,306766.0
2014-04-04,RM501.CZC,306158.0
2014-04-08,RM501.CZC,321116.0
2014-04-09,RM501.CZC,332444.0
2014-04-10,RM501.CZC,343904.0
2014-04-11,RM501.CZC,373748.0
2014-04-14,RM501.CZC,384010.0
2014-04-15,RM501.CZC,414992.0
2014-04-16,RM501.CZC,421624.0
2014-04-17,RM501.CZC,417384.0
2014-04-18,RM501.CZC,421330.0
2014-04-21,RM501.CZC,427484.0
2014-04-22,RM501.CZC,446324.0
2014-04-23,RM501.CZC,474382.0
2014-04-24,RM501.CZC,465296.0
2014-04-25,RM501.CZC,466844.0
2014-04-28,RM501.CZC,430912.0
2014-04-29,RM501.CZC,402876.0
2014-04-30,RM501.CZC,400996.0
2014-05-05,RM501.CZC,426950.0
2014-05-06,RM501.CZC,436380.0
2014-05-07,RM501.CZC,448284.0
2014-05-08,RM501.CZC,445930.0
2014-05-09,RM501.CZC,448366.0
2014-05-12,RM501.CZC,456504.0
2014-05-13,RM501.CZC,493548.0
2014-05-14,RM501.CZC,509410.0
2014-05-15,RM501.CZC,537950.0
2014-05-16,RM501.CZC,580978.0
2014-05-19,RM501.CZC,596448.0
2014-05-20,RM501.CZC,555348.0
2014-05-21,RM501.CZC,566752.0
2014-05-22,RM501.CZC,645180.0
2014-05-23,RM501.CZC,639046.0
2014-05-26,RM501.CZC,648432.0
2014-05-27,RM501.CZC,558950.0
2014-05-28,RM501.CZC,555312.0
2014-05-29,RM501.CZC,545780.0
2014-05-30,RM501.CZC,544582.0
2014-06-03,RM501.CZC,571224.0
2014-06-04,RM501.CZC,551688.0
2014-06-05,RM501.CZC,541712.0
2014-06-06,RM501.CZC,530974.0
2014-06-09,RM501.CZC,514708.0
2014-06-10,RM501.CZC,501602.0
2014-06-11,RM501.CZC,556706.0
2014-06-12,RM501.CZC,545722.0
2014-06-13,RM501.CZC,596104.0
2014-06-16,RM501.CZC,656638.0
2014-06-17,RM501.CZC,693766.0
2014-06-18,RM501.CZC,679382.0
2014-06-19,RM501.CZC,712934.0
2014-06-20,RM501.CZC,657086.0
2014-06-23,RM501.CZC,648662.0
2014-06-24,RM501.CZC,648158.0
2014-06-25,RM501.CZC,635782.0
2014-06-26,RM501.CZC,657026.0
2014-06-27,RM501.CZC,673512.0
2014-06-30,RM501.CZC,634290.0
2014-07-01,RM501.CZC,603814.0
2014-07-02,RM501.CZC,577272.0
2014-07-03,RM501.CZC,620406.0
2014-07-04,RM501.CZC,660654.0
2014-07-07,RM501.CZC,761008.0
2014-07-08,RM501.CZC,693872.0
2014-07-09,RM501.CZC,701740.0
2014-07-10,RM501.CZC,688462.0
2014-07-11,RM501.CZC,649274.0
2014-07-14,RM501.CZC,635898.0
2014-07-15,RM501.CZC,679104.0
2014-07-16,RM501.CZC,663004.0
2014-07-17,RM501.CZC,673936.0
2014-07-18,RM501.CZC,637284.0
2014-07-21,RM501.CZC,665062.0
2014-07-22,RM501.CZC,678522.0
2014-07-23,RM501.CZC,696008.0
2014-07-24,RM501.CZC,672376.0
2014-07-25,RM501.CZC,676386.0
2014-07-28,RM501.CZC,660968.0
2014-07-29,RM501.CZC,630782.0
2014-07-30,RM501.CZC,658254.0
2014-07-31,RM501.CZC,694898.0
2014-08-01,RM501.CZC,721076.0
2014-08-04,RM501.CZC,747762.0
2014-08-05,RM501.CZC,725454.0
2014-08-06,RM501.CZC,764946.0
2014-08-07,RM501.CZC,726370.0
2014-08-08,RM501.CZC,794068.0
2014-08-11,RM501.CZC,770186.0
2014-08-12,RM501.CZC,825416.0
2014-08-13,RM501.CZC,869008.0
2014-08-14,RM501.CZC,795524.0
2014-08-15,RM501.CZC,756556.0
2014-08-18,RM501.CZC,750372.0
2014-08-19,RM501.CZC,807894.0
2014-08-20,RM501.CZC,758900.0
2014-08-21,RM501.CZC,722340.0
2014-08-22,RM501.CZC,693200.0
2014-08-25,RM501.CZC,706214.0
