trade_time,stock,position
2013-07-17,RU1407.SHF,2.0
2013-07-18,RU1407.SHF,6.0
2013-07-19,RU1407.SHF,8.0
2013-07-22,RU1407.SHF,10.0
2013-07-23,RU1407.SHF,10.0
2013-07-24,RU1407.SHF,8.0
2013-07-25,RU1407.SHF,8.0
2013-07-26,RU1407.SHF,8.0
2013-07-29,RU1407.SHF,22.0
2013-07-30,RU1407.SHF,24.0
2013-07-31,RU1407.SHF,34.0
2013-08-01,RU1407.SHF,32.0
2013-08-02,RU1407.SHF,32.0
2013-08-05,RU1407.SHF,34.0
2013-08-06,RU1407.SHF,38.0
2013-08-07,RU1407.SHF,50.0
2013-08-08,RU1407.SHF,48.0
2013-08-09,RU1407.SHF,46.0
2013-08-12,RU1407.SHF,38.0
2013-08-13,RU1407.SHF,40.0
2013-08-14,RU1407.SHF,44.0
2013-08-15,RU1407.SHF,64.0
2013-08-16,RU1407.SHF,48.0
2013-08-19,RU1407.SHF,50.0
2013-08-20,RU1407.SHF,72.0
2013-08-21,RU1407.SHF,78.0
2013-08-22,RU1408.SHF,86.0
2013-08-23,RU1408.SHF,88.0
2013-08-26,RU1408.SHF,88.0
2013-08-27,RU1408.SHF,88.0
2013-08-28,RU1408.SHF,90.0
2013-08-29,RU1408.SHF,94.0
2013-08-30,RU1408.SHF,100.0
2013-09-02,RU1408.SHF,108.0
2013-09-03,RU1408.SHF,114.0
2013-09-04,RU1408.SHF,122.0
2013-09-05,RU1408.SHF,134.0
2013-09-06,RU1408.SHF,132.0
2013-09-09,RU1408.SHF,130.0
2013-09-10,RU1408.SHF,140.0
2013-09-11,RU1408.SHF,148.0
2013-09-12,RU1408.SHF,148.0
2013-09-13,RU1408.SHF,148.0
2013-09-16,RU1408.SHF,146.0
2013-09-17,RU1408.SHF,140.0
2013-09-18,RU1409.SHF,292.0
2013-09-23,RU1409.SHF,386.0
2013-09-24,RU1409.SHF,410.0
2013-09-25,RU1409.SHF,406.0
2013-09-26,RU1409.SHF,432.0
2013-09-27,RU1409.SHF,476.0
2013-09-30,RU1409.SHF,468.0
2013-10-08,RU1409.SHF,568.0
2013-10-09,RU1409.SHF,660.0
2013-10-10,RU1409.SHF,726.0
2013-10-11,RU1409.SHF,732.0
2013-10-14,RU1409.SHF,754.0
2013-10-15,RU1409.SHF,856.0
2013-10-16,RU1409.SHF,858.0
2013-10-17,RU1409.SHF,882.0
2013-10-18,RU1409.SHF,900.0
2013-10-21,RU1409.SHF,864.0
2013-10-22,RU1409.SHF,960.0
2013-10-23,RU1409.SHF,1020.0
2013-10-24,RU1409.SHF,1078.0
2013-10-25,RU1409.SHF,1280.0
2013-10-28,RU1409.SHF,1360.0
2013-10-29,RU1409.SHF,1428.0
2013-10-30,RU1409.SHF,1542.0
2013-10-31,RU1409.SHF,1730.0
2013-11-01,RU1409.SHF,1896.0
2013-11-04,RU1409.SHF,2324.0
2013-11-05,RU1409.SHF,2788.0
2013-11-06,RU1409.SHF,3046.0
2013-11-07,RU1409.SHF,3706.0
2013-11-08,RU1409.SHF,3754.0
2013-11-11,RU1409.SHF,3736.0
2013-11-12,RU1409.SHF,4374.0
2013-11-13,RU1409.SHF,4634.0
2013-11-14,RU1409.SHF,4926.0
2013-11-15,RU1409.SHF,5398.0
2013-11-18,RU1409.SHF,6502.0
2013-11-19,RU1409.SHF,10684.0
2013-11-20,RU1409.SHF,11900.0
2013-11-21,RU1409.SHF,13446.0
2013-11-22,RU1409.SHF,14476.0
2013-11-25,RU1409.SHF,20138.0
2013-11-26,RU1409.SHF,21832.0
2013-11-27,RU1409.SHF,22518.0
2013-11-28,RU1409.SHF,23664.0
2013-11-29,RU1409.SHF,26062.0
2013-12-02,RU1409.SHF,28694.0
2013-12-03,RU1409.SHF,32294.0
2013-12-04,RU1409.SHF,36314.0
2013-12-05,RU1409.SHF,44744.0
2013-12-06,RU1409.SHF,46648.0
2013-12-09,RU1409.SHF,47942.0
2013-12-10,RU1409.SHF,47550.0
2013-12-11,RU1409.SHF,46368.0
2013-12-12,RU1409.SHF,44444.0
2013-12-13,RU1409.SHF,45988.0
2013-12-16,RU1409.SHF,48752.0
2013-12-17,RU1409.SHF,49906.0
2013-12-18,RU1409.SHF,51700.0
2013-12-19,RU1409.SHF,52560.0
2013-12-20,RU1409.SHF,51904.0
2013-12-23,RU1409.SHF,57360.0
2013-12-24,RU1409.SHF,62506.0
2013-12-25,RU1409.SHF,65254.0
2013-12-26,RU1409.SHF,66278.0
2013-12-27,RU1409.SHF,66624.0
2013-12-30,RU1409.SHF,66590.0
2013-12-31,RU1409.SHF,62734.0
2014-01-02,RU1409.SHF,63076.0
2014-01-03,RU1409.SHF,61618.0
2014-01-06,RU1409.SHF,63492.0
2014-01-07,RU1409.SHF,65358.0
2014-01-08,RU1409.SHF,69334.0
2014-01-09,RU1409.SHF,72746.0
2014-01-10,RU1409.SHF,74198.0
2014-01-13,RU1409.SHF,80148.0
2014-01-14,RU1409.SHF,77408.0
2014-01-15,RU1409.SHF,74872.0
2014-01-16,RU1409.SHF,76588.0
2014-01-17,RU1409.SHF,77310.0
2014-01-20,RU1409.SHF,78460.0
2014-01-21,RU1409.SHF,80178.0
2014-01-22,RU1409.SHF,78028.0
2014-01-23,RU1409.SHF,80456.0
2014-01-24,RU1409.SHF,80756.0
2014-01-27,RU1409.SHF,85694.0
2014-01-28,RU1409.SHF,89534.0
2014-01-29,RU1409.SHF,87820.0
2014-01-30,RU1409.SHF,82324.0
2014-02-07,RU1409.SHF,89492.0
2014-02-10,RU1409.SHF,96892.0
2014-02-11,RU1409.SHF,98320.0
2014-02-12,RU1409.SHF,107294.0
2014-02-13,RU1409.SHF,111196.0
2014-02-14,RU1409.SHF,112754.0
2014-02-17,RU1409.SHF,128688.0
2014-02-18,RU1409.SHF,138466.0
2014-02-19,RU1409.SHF,147840.0
2014-02-20,RU1409.SHF,152096.0
2014-02-21,RU1409.SHF,154020.0
2014-02-24,RU1409.SHF,150596.0
2014-02-25,RU1409.SHF,172672.0
2014-02-26,RU1409.SHF,180090.0
2014-02-27,RU1409.SHF,183976.0
2014-02-28,RU1409.SHF,189736.0
2014-03-03,RU1409.SHF,209956.0
2014-03-04,RU1409.SHF,218304.0
2014-03-05,RU1409.SHF,216652.0
2014-03-06,RU1409.SHF,222218.0
2014-03-07,RU1409.SHF,231318.0
2014-03-10,RU1409.SHF,212230.0
2014-03-11,RU1409.SHF,214328.0
2014-03-12,RU1409.SHF,218372.0
2014-03-13,RU1409.SHF,221866.0
2014-03-14,RU1409.SHF,223916.0
2014-03-17,RU1409.SHF,228872.0
2014-03-18,RU1409.SHF,224518.0
2014-03-19,RU1409.SHF,228102.0
2014-03-20,RU1409.SHF,222506.0
2014-03-21,RU1409.SHF,221618.0
2014-03-24,RU1409.SHF,237322.0
2014-03-25,RU1409.SHF,231912.0
2014-03-26,RU1409.SHF,241670.0
2014-03-27,RU1409.SHF,236062.0
2014-03-28,RU1409.SHF,236092.0
2014-03-31,RU1409.SHF,235132.0
2014-04-01,RU1409.SHF,248858.0
2014-04-02,RU1409.SHF,258198.0
2014-04-03,RU1409.SHF,254970.0
2014-04-04,RU1409.SHF,253928.0
2014-04-08,RU1409.SHF,268560.0
2014-04-09,RU1409.SHF,299118.0
2014-04-10,RU1409.SHF,305462.0
2014-04-11,RU1409.SHF,310530.0
2014-04-14,RU1409.SHF,322896.0
2014-04-15,RU1409.SHF,315684.0
2014-04-16,RU1409.SHF,315054.0
2014-04-17,RU1409.SHF,340924.0
2014-04-18,RU1409.SHF,361482.0
2014-04-21,RU1409.SHF,376286.0
2014-04-22,RU1409.SHF,376746.0
2014-04-23,RU1409.SHF,380956.0
2014-04-24,RU1409.SHF,367258.0
2014-04-25,RU1409.SHF,362322.0
2014-04-28,RU1409.SHF,355826.0
2014-04-29,RU1409.SHF,335556.0
2014-04-30,RU1409.SHF,325894.0
2014-05-05,RU1409.SHF,331502.0
2014-05-06,RU1409.SHF,344966.0
2014-05-07,RU1409.SHF,344730.0
2014-05-08,RU1409.SHF,341344.0
2014-05-09,RU1409.SHF,350382.0
2014-05-12,RU1409.SHF,337478.0
2014-05-13,RU1409.SHF,338288.0
2014-05-14,RU1409.SHF,331162.0
2014-05-15,RU1409.SHF,334546.0
2014-05-16,RU1409.SHF,339960.0
2014-05-19,RU1409.SHF,282390.0
2014-05-20,RU1409.SHF,295158.0
2014-05-21,RU1409.SHF,300222.0
2014-05-22,RU1409.SHF,299666.0
2014-05-23,RU1409.SHF,303278.0
2014-05-26,RU1409.SHF,313074.0
2014-05-27,RU1409.SHF,312482.0
2014-05-28,RU1409.SHF,309410.0
2014-05-29,RU1409.SHF,320630.0
2014-05-30,RU1409.SHF,303232.0
2014-06-03,RU1409.SHF,305008.0
2014-06-04,RU1409.SHF,307142.0
2014-06-05,RU1409.SHF,307958.0
2014-06-06,RU1409.SHF,301054.0
2014-06-09,RU1409.SHF,296664.0
2014-06-10,RU1409.SHF,291892.0
2014-06-11,RU1409.SHF,282438.0
2014-06-12,RU1409.SHF,289978.0
2014-06-13,RU1409.SHF,279336.0
2014-06-16,RU1409.SHF,276014.0
2014-06-17,RU1409.SHF,274512.0
2014-06-18,RU1409.SHF,268096.0
2014-06-19,RU1409.SHF,266550.0
2014-06-20,RU1409.SHF,300488.0
2014-06-23,RU1409.SHF,308424.0
2014-06-24,RU1409.SHF,308342.0
2014-06-25,RU1409.SHF,292210.0
2014-06-26,RU1409.SHF,289802.0
2014-06-27,RU1409.SHF,275200.0
2014-06-30,RU1409.SHF,269018.0
2014-07-01,RU1409.SHF,266800.0
2014-07-02,RU1409.SHF,252910.0
2014-07-03,RU1409.SHF,250106.0
2014-07-04,RU1409.SHF,243448.0
2014-07-07,RU1409.SHF,252178.0
2014-07-08,RU1409.SHF,246758.0
2014-07-09,RU1409.SHF,243192.0
2014-07-10,RU1409.SHF,246054.0
2014-07-11,RU1409.SHF,245684.0
2014-07-14,RU1409.SHF,233564.0
2014-07-15,RU1409.SHF,231562.0
2014-07-16,RU1409.SHF,225550.0
2014-07-17,RU1409.SHF,204574.0
2014-07-18,RU1409.SHF,200530.0
2014-07-21,RU1409.SHF,197050.0
2014-07-22,RU1501.SHF,186052.0
2014-07-23,RU1501.SHF,191666.0
2014-07-24,RU1501.SHF,212694.0
2014-07-25,RU1501.SHF,222736.0
2014-07-28,RU1501.SHF,224970.0
2014-07-29,RU1501.SHF,251216.0
2014-07-30,RU1501.SHF,246364.0
2014-07-31,RU1501.SHF,239798.0
2014-08-01,RU1501.SHF,230422.0
2014-08-04,RU1501.SHF,237098.0
2014-08-05,RU1501.SHF,242534.0
2014-08-06,RU1501.SHF,242068.0
2014-08-07,RU1501.SHF,242020.0
2014-08-08,RU1501.SHF,236636.0
2014-08-11,RU1501.SHF,248272.0
2014-08-12,RU1501.SHF,260104.0
2014-08-13,RU1501.SHF,257150.0
2014-08-14,RU1501.SHF,257342.0
2014-08-15,RU1501.SHF,258964.0
2014-08-18,RU1501.SHF,255786.0
2014-08-19,RU1501.SHF,253406.0
2014-08-20,RU1501.SHF,251520.0
2014-08-21,RU1501.SHF,255316.0
2014-08-22,RU1501.SHF,249284.0
2014-08-25,RU1501.SHF,247784.0
2014-08-26,RU1501.SHF,266248.0
2014-08-27,RU1501.SHF,252676.0
2014-08-28,RU1501.SHF,265456.0
2014-08-29,RU1501.SHF,269586.0
2014-09-01,RU1501.SHF,284262.0
2014-09-02,RU1501.SHF,267634.0
2014-09-03,RU1501.SHF,268142.0
2014-09-04,RU1501.SHF,258880.0
2014-09-05,RU1501.SHF,266536.0
2014-09-09,RU1501.SHF,269268.0
2014-09-10,RU1501.SHF,264724.0
2014-09-11,RU1501.SHF,271486.0
2014-09-12,RU1501.SHF,276098.0
2014-09-15,RU1501.SHF,274950.0
2014-09-16,RU1501.SHF,271418.0
2014-09-17,RU1501.SHF,271004.0
2014-09-18,RU1501.SHF,285620.0
2014-09-19,RU1501.SHF,277072.0
2014-09-22,RU1501.SHF,265700.0
2014-09-23,RU1501.SHF,268574.0
2014-09-24,RU1501.SHF,250440.0
2014-09-25,RU1501.SHF,244484.0
2014-09-26,RU1501.SHF,224102.0
2014-09-29,RU1501.SHF,215950.0
2014-09-30,RU1501.SHF,198674.0
2014-10-08,RU1501.SHF,209940.0
2014-10-09,RU1501.SHF,213976.0
2014-10-10,RU1501.SHF,214118.0
2014-10-13,RU1501.SHF,190770.0
2014-10-14,RU1501.SHF,192812.0
2014-10-15,RU1501.SHF,200120.0
2014-10-16,RU1501.SHF,198990.0
2014-10-17,RU1501.SHF,185610.0
2014-10-20,RU1501.SHF,188700.0
2014-10-21,RU1501.SHF,186458.0
2014-10-22,RU1501.SHF,190232.0
2014-10-23,RU1501.SHF,207772.0
2014-10-24,RU1501.SHF,199190.0
2014-10-27,RU1501.SHF,187460.0
2014-10-28,RU1501.SHF,199710.0
2014-10-29,RU1501.SHF,228122.0
2014-10-30,RU1501.SHF,221492.0
2014-10-31,RU1501.SHF,205634.0
2014-11-03,RU1501.SHF,211710.0
2014-11-04,RU1501.SHF,205360.0
2014-11-05,RU1501.SHF,196048.0
2014-11-06,RU1501.SHF,184546.0
2014-11-07,RU1501.SHF,175464.0
2014-11-10,RU1501.SHF,173826.0
2014-11-11,RU1501.SHF,171926.0
2014-11-12,RU1501.SHF,181428.0
2014-11-13,RU1501.SHF,181026.0
2014-11-14,RU1501.SHF,173962.0
2014-11-17,RU1501.SHF,176658.0
2014-11-18,RU1501.SHF,164510.0
2014-11-19,RU1501.SHF,162130.0
2014-11-20,RU1505.SHF,167084.0
2014-11-21,RU1505.SHF,184094.0
2014-11-24,RU1505.SHF,167374.0
2014-11-25,RU1505.SHF,176146.0
2014-11-26,RU1505.SHF,185878.0
2014-11-27,RU1505.SHF,181658.0
2014-11-28,RU1505.SHF,172624.0
2014-12-01,RU1505.SHF,179918.0
2014-12-02,RU1505.SHF,159460.0
2014-12-03,RU1505.SHF,174046.0
2014-12-04,RU1505.SHF,172994.0
2014-12-05,RU1505.SHF,190634.0
2014-12-08,RU1505.SHF,228160.0
2014-12-09,RU1505.SHF,206708.0
2014-12-10,RU1505.SHF,209926.0
2014-12-11,RU1505.SHF,208478.0
2014-12-12,RU1505.SHF,190488.0
2014-12-15,RU1505.SHF,180942.0
2014-12-16,RU1505.SHF,175790.0
2014-12-17,RU1505.SHF,169788.0
2014-12-18,RU1505.SHF,168234.0
2014-12-19,RU1505.SHF,164682.0
2014-12-22,RU1505.SHF,169784.0
2014-12-23,RU1505.SHF,172066.0
2014-12-24,RU1505.SHF,168632.0
2014-12-25,RU1505.SHF,174386.0
2014-12-26,RU1505.SHF,171144.0
2014-12-29,RU1505.SHF,167796.0
2014-12-30,RU1505.SHF,201016.0
2014-12-31,RU1505.SHF,189650.0
2015-01-05,RU1505.SHF,183484.0
2015-01-06,RU1505.SHF,188338.0
2015-01-07,RU1505.SHF,181178.0
2015-01-08,RU1505.SHF,185218.0
2015-01-09,RU1505.SHF,181638.0
2015-01-12,RU1505.SHF,182754.0
2015-01-13,RU1505.SHF,183636.0
2015-01-14,RU1505.SHF,191250.0
2015-01-15,RU1505.SHF,193388.0
2015-01-16,RU1505.SHF,187658.0
2015-01-19,RU1505.SHF,183454.0
2015-01-20,RU1505.SHF,187296.0
2015-01-21,RU1505.SHF,194262.0
2015-01-22,RU1505.SHF,190046.0
2015-01-23,RU1505.SHF,188226.0
2015-01-26,RU1505.SHF,180394.0
2015-01-27,RU1505.SHF,191416.0
2015-01-28,RU1505.SHF,189116.0
2015-01-29,RU1505.SHF,176252.0
2015-01-30,RU1505.SHF,174456.0
2015-02-02,RU1505.SHF,189078.0
2015-02-03,RU1505.SHF,193652.0
2015-02-04,RU1505.SHF,186778.0
2015-02-05,RU1505.SHF,174930.0
2015-02-06,RU1505.SHF,185254.0
2015-02-09,RU1505.SHF,181632.0
2015-02-10,RU1505.SHF,171986.0
2015-02-11,RU1505.SHF,178424.0
2015-02-12,RU1505.SHF,167544.0
2015-02-13,RU1505.SHF,170324.0
2015-02-16,RU1505.SHF,155830.0
2015-02-17,RU1509.SHF,136252.0
2015-02-25,RU1509.SHF,140484.0
2015-02-26,RU1509.SHF,161980.0
2015-02-27,RU1509.SHF,164456.0
2015-03-02,RU1509.SHF,171696.0
2015-03-03,RU1509.SHF,182574.0
2015-03-04,RU1509.SHF,194532.0
2015-03-05,RU1509.SHF,189844.0
2015-03-06,RU1509.SHF,197236.0
2015-03-09,RU1509.SHF,195742.0
2015-03-10,RU1509.SHF,208668.0
2015-03-11,RU1509.SHF,196484.0
2015-03-12,RU1509.SHF,197518.0
2015-03-13,RU1509.SHF,205068.0
2015-03-16,RU1509.SHF,212408.0
2015-03-17,RU1509.SHF,223090.0
2015-03-18,RU1509.SHF,222378.0
2015-03-19,RU1509.SHF,228938.0
2015-03-20,RU1509.SHF,224660.0
2015-03-23,RU1509.SHF,218798.0
2015-03-24,RU1509.SHF,225788.0
2015-03-25,RU1509.SHF,225884.0
2015-03-26,RU1509.SHF,237340.0
2015-03-27,RU1509.SHF,227124.0
2015-03-30,RU1509.SHF,233920.0
2015-03-31,RU1509.SHF,234768.0
2015-04-01,RU1509.SHF,228208.0
2015-04-02,RU1509.SHF,225222.0
2015-04-03,RU1509.SHF,220616.0
2015-04-07,RU1509.SHF,225542.0
2015-04-08,RU1509.SHF,243950.0
2015-04-09,RU1509.SHF,264350.0
2015-04-10,RU1509.SHF,252222.0
2015-04-13,RU1509.SHF,230882.0
2015-04-14,RU1509.SHF,230160.0
2015-04-15,RU1509.SHF,228768.0
2015-04-16,RU1509.SHF,231006.0
2015-04-17,RU1509.SHF,223514.0
2015-04-20,RU1509.SHF,223424.0
2015-04-21,RU1509.SHF,249908.0
2015-04-22,RU1509.SHF,255596.0
2015-04-23,RU1509.SHF,259878.0
2015-04-24,RU1509.SHF,260612.0
2015-04-27,RU1509.SHF,282960.0
2015-04-28,RU1509.SHF,278014.0
2015-04-29,RU1509.SHF,276042.0
2015-04-30,RU1509.SHF,286622.0
2015-05-04,RU1509.SHF,286288.0
2015-05-05,RU1509.SHF,282024.0
2015-05-06,RU1509.SHF,281686.0
2015-05-07,RU1509.SHF,273282.0
2015-05-08,RU1509.SHF,266520.0
2015-05-11,RU1509.SHF,268844.0
2015-05-12,RU1509.SHF,265060.0
2015-05-13,RU1509.SHF,253226.0
2015-05-14,RU1509.SHF,249864.0
2015-05-15,RU1509.SHF,247720.0
2015-05-18,RU1509.SHF,252364.0
2015-05-19,RU1509.SHF,243788.0
2015-05-20,RU1509.SHF,220124.0
2015-05-21,RU1509.SHF,217600.0
