trade_time,stock,position
2018-03-26,SC1809.INE,3114.0
2018-03-27,SC1809.INE,3936.0
2018-03-28,SC1809.INE,6074.0
2018-03-29,SC1809.INE,7732.0
2018-03-30,SC1809.INE,7058.0
2018-04-02,SC1809.INE,6536.0
2018-04-03,SC1809.INE,8546.0
2018-04-04,SC1809.INE,9164.0
2018-04-09,SC1809.INE,9504.0
2018-04-10,SC1809.INE,8992.0
2018-04-11,SC1809.INE,12462.0
2018-04-12,SC1809.INE,14474.0
2018-04-13,SC1809.INE,13480.0
2018-04-16,SC1809.INE,13494.0
2018-04-17,SC1809.INE,13002.0
2018-04-18,SC1809.INE,14628.0
2018-04-19,SC1809.INE,15928.0
2018-04-20,SC1809.INE,15616.0
2018-04-23,SC1809.INE,15986.0
2018-04-24,SC1809.INE,18324.0
2018-04-25,SC1809.INE,16184.0
2018-04-26,SC1809.INE,16286.0
2018-04-27,SC1809.INE,16256.0
2018-05-02,SC1809.INE,17254.0
2018-05-03,SC1809.INE,21392.0
2018-05-04,SC1809.INE,20456.0
2018-05-07,SC1809.INE,22786.0
2018-05-08,SC1809.INE,23344.0
2018-05-09,SC1809.INE,25760.0
2018-05-10,SC1809.INE,30620.0
2018-05-11,SC1809.INE,28136.0
2018-05-14,SC1809.INE,24488.0
2018-05-15,SC1809.INE,27872.0
2018-05-16,SC1809.INE,25888.0
2018-05-17,SC1809.INE,31014.0
2018-05-18,SC1809.INE,29920.0
2018-05-21,SC1809.INE,26892.0
2018-05-22,SC1809.INE,29060.0
2018-05-23,SC1809.INE,30956.0
2018-05-24,SC1809.INE,30414.0
2018-05-25,SC1809.INE,30964.0
2018-05-28,SC1809.INE,30338.0
2018-05-29,SC1809.INE,30166.0
2018-05-30,SC1809.INE,30760.0
2018-05-31,SC1809.INE,33824.0
2018-06-01,SC1809.INE,33986.0
2018-06-04,SC1809.INE,31182.0
2018-06-05,SC1809.INE,30258.0
2018-06-06,SC1809.INE,33080.0
2018-06-07,SC1809.INE,33264.0
2018-06-08,SC1809.INE,34290.0
