trade_time,stock,position
2018-01-02,SF805.CZC,211072.0
2018-01-03,SF805.CZC,207286.0
2018-01-04,SF805.CZC,216670.0
2018-01-05,SF805.CZC,226432.0
2018-01-08,SF805.CZC,212702.0
2018-01-09,SF805.CZC,221524.0
2018-01-10,SF805.CZC,211936.0
2018-01-11,SF805.CZC,231598.0
2018-01-12,SF805.CZC,222168.0
2018-01-15,SF805.CZC,219320.0
2018-01-16,SF805.CZC,237822.0
2018-01-17,SF805.CZC,213296.0
2018-01-18,SF805.CZC,241342.0
2018-01-19,SF805.CZC,220164.0
2018-01-22,SF805.CZC,226768.0
2018-01-23,SF805.CZC,220848.0
2018-01-24,SF805.CZC,194332.0
2018-01-25,SF805.CZC,206948.0
2018-01-26,SF805.CZC,187750.0
2018-01-29,SF805.CZC,183420.0
2018-01-30,SF805.CZC,173060.0
2018-01-31,SF805.CZC,156256.0
2018-02-01,SF805.CZC,164014.0
2018-02-02,SF805.CZC,152444.0
2018-02-05,SF805.CZC,195622.0
2018-02-06,SF805.CZC,163316.0
2018-02-07,SF805.CZC,182992.0
2018-02-08,SF805.CZC,161180.0
2018-02-09,SF805.CZC,153274.0
2018-02-12,SF805.CZC,145910.0
2018-02-13,SF805.CZC,136156.0
2018-02-14,SF805.CZC,134122.0
2018-02-22,SF805.CZC,134124.0
2018-02-23,SF805.CZC,177690.0
2018-02-26,SF805.CZC,198276.0
2018-02-27,SF805.CZC,191944.0
2018-02-28,SF805.CZC,201792.0
2018-03-01,SF805.CZC,210266.0
2018-03-02,SF805.CZC,185336.0
2018-03-05,SF805.CZC,193582.0
2018-03-06,SF805.CZC,174282.0
2018-03-07,SF805.CZC,182646.0
2018-03-08,SF805.CZC,173042.0
2018-03-09,SF805.CZC,202182.0
2018-03-12,SF805.CZC,170920.0
2018-03-13,SF805.CZC,175742.0
2018-03-14,SF805.CZC,183610.0
2018-03-15,SF805.CZC,182608.0
2018-03-16,SF805.CZC,174938.0
2018-03-19,SF805.CZC,179294.0
2018-03-20,SF805.CZC,196960.0
2018-03-21,SF805.CZC,178870.0
2018-03-22,SF805.CZC,176424.0
2018-03-23,SF805.CZC,146148.0
2018-03-26,SF805.CZC,147104.0
2018-03-27,SF805.CZC,181412.0
2018-03-28,SF805.CZC,156970.0
2018-03-29,SF805.CZC,161776.0
2018-03-30,SF805.CZC,161668.0
2018-04-02,SF805.CZC,197728.0
2018-04-03,SF805.CZC,182950.0
2018-04-04,SF805.CZC,177888.0
2018-04-09,SF805.CZC,171632.0
2018-04-10,SF805.CZC,180838.0
2018-04-11,SF805.CZC,170822.0
2018-04-12,SF805.CZC,158732.0
2018-04-13,SF805.CZC,173524.0
2018-04-16,SF805.CZC,141608.0
2018-04-17,SF805.CZC,139728.0
2018-04-18,SF805.CZC,105314.0
2018-04-19,SF809.CZC,96576.0
2018-04-20,SF809.CZC,107916.0
2018-04-23,SF809.CZC,132010.0
2018-04-24,SF809.CZC,192530.0
2018-04-25,SF809.CZC,190440.0
2018-04-26,SF809.CZC,182592.0
2018-04-27,SF809.CZC,163506.0
2018-05-02,SF809.CZC,181280.0
2018-05-03,SF809.CZC,186770.0
2018-05-04,SF809.CZC,171670.0
2018-05-07,SF809.CZC,220232.0
2018-05-08,SF809.CZC,199680.0
2018-05-09,SF809.CZC,203646.0
2018-05-10,SF809.CZC,180856.0
2018-05-11,SF809.CZC,182238.0
2018-05-14,SF809.CZC,215338.0
2018-05-15,SF809.CZC,216760.0
2018-05-16,SF809.CZC,248390.0
2018-05-17,SF809.CZC,196170.0
2018-05-18,SF809.CZC,203274.0
2018-05-21,SF809.CZC,176656.0
2018-05-22,SF809.CZC,171990.0
2018-05-23,SF809.CZC,194314.0
2018-05-24,SF809.CZC,187124.0
2018-05-25,SF809.CZC,181922.0
2018-05-28,SF809.CZC,180296.0
2018-05-29,SF809.CZC,197152.0
2018-05-30,SF809.CZC,172082.0
2018-05-31,SF809.CZC,186400.0
2018-06-01,SF809.CZC,180482.0
2018-06-04,SF809.CZC,179680.0
2018-06-05,SF809.CZC,175116.0
2018-06-06,SF809.CZC,168092.0
2018-06-07,SF809.CZC,165952.0
2018-06-08,SF809.CZC,186258.0
2018-06-11,SF809.CZC,174018.0
2018-06-12,SF809.CZC,180968.0
2018-06-13,SF809.CZC,160856.0
2018-06-14,SF809.CZC,148842.0
2018-06-15,SF809.CZC,157010.0
2018-06-19,SF809.CZC,156546.0
2018-06-20,SF809.CZC,141856.0
2018-06-21,SF809.CZC,141576.0
2018-06-22,SF809.CZC,152298.0
2018-06-25,SF809.CZC,159096.0
2018-06-26,SF809.CZC,215748.0
