trade_time,stock,position
2014-08-08,SM501.CZC,24550.0
2014-08-11,SM501.CZC,25638.0
2014-08-12,SM501.CZC,31852.0
2014-08-13,SM501.CZC,28278.0
2014-08-14,SM501.CZC,28028.0
2014-08-15,SM501.CZC,22570.0
2014-08-18,SM501.CZC,19164.0
2014-08-19,SM501.CZC,18616.0
2014-08-20,SM501.CZC,18918.0
2014-08-21,SM501.CZC,17696.0
2014-08-22,SM501.CZC,11538.0
2014-08-25,SM501.CZC,11352.0
2014-08-26,SM501.CZC,10202.0
2014-08-27,SM501.CZC,7906.0
2014-08-28,SM501.CZC,8070.0
2014-08-29,SM501.CZC,6908.0
2014-09-01,SM501.CZC,8340.0
2014-09-02,SM501.CZC,9830.0
2014-09-03,SM501.CZC,11636.0
2014-09-04,SM501.CZC,11500.0
2014-09-05,SM501.CZC,12372.0
2014-09-09,SM501.CZC,14830.0
2014-09-10,SM501.CZC,14596.0
2014-09-11,SM501.CZC,14664.0
2014-09-12,SM501.CZC,14826.0
2014-09-15,SM501.CZC,14088.0
2014-09-16,SM501.CZC,14146.0
2014-09-17,SM501.CZC,14216.0
2014-09-18,SM501.CZC,14524.0
2014-09-19,SM501.CZC,14922.0
2014-09-22,SM501.CZC,15022.0
2014-09-23,SM501.CZC,14986.0
2014-09-24,SM501.CZC,14922.0
2014-09-25,SM501.CZC,16086.0
2014-09-26,SM501.CZC,15694.0
2014-09-29,SM501.CZC,15406.0
2014-09-30,SM501.CZC,15192.0
2014-10-08,SM501.CZC,15118.0
2014-10-09,SM501.CZC,15012.0
2014-10-10,SM501.CZC,14844.0
2014-10-13,SM501.CZC,14680.0
2014-10-14,SM501.CZC,14296.0
2014-10-15,SM501.CZC,14316.0
2014-10-16,SM501.CZC,14222.0
2014-10-17,SM501.CZC,14130.0
2014-10-20,SM501.CZC,13996.0
2014-10-21,SM501.CZC,13974.0
2014-10-22,SM501.CZC,13944.0
2014-10-23,SM501.CZC,13888.0
2014-10-24,SM501.CZC,13642.0
2014-10-27,SM501.CZC,13538.0
2014-10-28,SM501.CZC,13422.0
2014-10-29,SM501.CZC,13192.0
2014-10-30,SM501.CZC,13106.0
2014-10-31,SM501.CZC,13140.0
2014-11-03,SM501.CZC,13280.0
2014-11-04,SM501.CZC,13258.0
2014-11-05,SM501.CZC,13216.0
2014-11-06,SM501.CZC,13236.0
2014-11-07,SM501.CZC,13156.0
2014-11-10,SM501.CZC,13072.0
2014-11-11,SM501.CZC,13040.0
2014-11-12,SM501.CZC,12930.0
2014-11-13,SM501.CZC,12888.0
2014-11-14,SM501.CZC,12860.0
2014-11-17,SM501.CZC,12856.0
2014-11-18,SM501.CZC,12714.0
2014-11-19,SM501.CZC,12118.0
2014-11-20,SM501.CZC,9492.0
2014-11-21,SM501.CZC,7356.0
2014-11-24,SM501.CZC,5702.0
2014-11-25,SM501.CZC,5674.0
2014-11-26,SM501.CZC,5622.0
2014-11-27,SM501.CZC,5656.0
2014-11-28,SM501.CZC,5594.0
2014-12-01,SM501.CZC,5750.0
2014-12-02,SM501.CZC,5728.0
2014-12-03,SM501.CZC,6858.0
2014-12-04,SM501.CZC,7452.0
2014-12-05,SM501.CZC,7634.0
2014-12-08,SM501.CZC,7634.0
2014-12-09,SM501.CZC,7596.0
2014-12-10,SM501.CZC,7580.0
2014-12-11,SM501.CZC,7550.0
2014-12-12,SM501.CZC,7542.0
2014-12-15,SM501.CZC,7538.0
2014-12-16,SM501.CZC,7540.0
2014-12-17,SM501.CZC,7628.0
2014-12-18,SM501.CZC,7620.0
2014-12-19,SM501.CZC,7600.0
2014-12-22,SM501.CZC,7560.0
2014-12-23,SM501.CZC,7536.0
2014-12-24,SM501.CZC,7496.0
2014-12-25,SM501.CZC,7466.0
2014-12-26,SM501.CZC,7466.0
2014-12-29,SM501.CZC,7384.0
2014-12-30,SM501.CZC,7374.0
2014-12-31,SM501.CZC,7370.0
2015-01-05,SM501.CZC,7366.0
2015-01-06,SM501.CZC,7366.0
2015-01-07,SM501.CZC,7366.0
2015-01-08,SM501.CZC,7366.0
2015-01-09,SM501.CZC,7366.0
2015-01-12,SM501.CZC,7366.0
2015-01-13,SM501.CZC,7366.0
2015-01-14,SM501.CZC,7366.0
2015-01-15,SM501.CZC,7366.0
2015-01-16,SM505.CZC,252.0
2015-01-19,SM505.CZC,260.0
2015-01-20,SM505.CZC,260.0
2015-01-21,SM505.CZC,260.0
2015-01-22,SM505.CZC,260.0
2015-01-23,SM505.CZC,258.0
2015-01-26,SM505.CZC,258.0
2015-01-27,SM505.CZC,258.0
2015-01-28,SM505.CZC,4256.0
2015-01-29,SM505.CZC,4278.0
2015-01-30,SM505.CZC,4278.0
2015-02-02,SM505.CZC,5308.0
2015-02-03,SM505.CZC,5298.0
2015-02-04,SM505.CZC,5292.0
2015-02-05,SM505.CZC,5290.0
2015-02-06,SM505.CZC,5290.0
2015-02-09,SM505.CZC,5184.0
2015-02-10,SM505.CZC,4768.0
2015-02-11,SM505.CZC,4766.0
2015-02-12,SM505.CZC,4756.0
2015-02-13,SM505.CZC,4756.0
2015-02-16,SM505.CZC,4756.0
2015-02-17,SM505.CZC,4750.0
2015-02-25,SM505.CZC,4750.0
2015-02-26,SM505.CZC,4750.0
2015-02-27,SM505.CZC,4750.0
2015-03-02,SM505.CZC,4556.0
2015-03-03,SM505.CZC,4556.0
2015-03-04,SM505.CZC,4556.0
2015-03-05,SM505.CZC,4552.0
2015-03-06,SM505.CZC,4554.0
2015-03-09,SM505.CZC,4932.0
2015-03-10,SM505.CZC,6632.0
2015-03-11,SM505.CZC,4332.0
2015-03-12,SM505.CZC,4328.0
2015-03-13,SM505.CZC,4324.0
2015-03-16,SM505.CZC,4324.0
2015-03-17,SM505.CZC,4336.0
2015-03-18,SM505.CZC,4334.0
2015-03-19,SM505.CZC,4312.0
2015-03-20,SM505.CZC,4310.0
2015-03-23,SM505.CZC,4298.0
2015-03-24,SM505.CZC,4296.0
2015-03-25,SM505.CZC,4294.0
2015-03-26,SM505.CZC,4218.0
2015-03-27,SM505.CZC,4224.0
2015-03-30,SM505.CZC,4216.0
2015-03-31,SM505.CZC,3614.0
2015-04-01,SM505.CZC,3614.0
2015-04-02,SM505.CZC,3616.0
2015-04-03,SM505.CZC,3616.0
2015-04-07,SM505.CZC,3612.0
2015-04-08,SM505.CZC,1602.0
2015-04-09,SM505.CZC,1522.0
2015-04-10,SM505.CZC,1518.0
2015-04-13,SM505.CZC,1516.0
2015-04-14,SM505.CZC,1512.0
2015-04-15,SM505.CZC,1512.0
2015-04-16,SM505.CZC,1506.0
2015-04-17,SM505.CZC,1502.0
2015-04-20,SM505.CZC,1494.0
2015-04-21,SM505.CZC,1478.0
2015-04-22,SM505.CZC,1474.0
2015-04-23,SM505.CZC,1462.0
2015-04-24,SM505.CZC,1058.0
2015-04-27,SM505.CZC,1072.0
2015-04-28,SM505.CZC,1014.0
2015-04-29,SM505.CZC,20.0
2015-04-30,SM505.CZC,0.0
2015-05-04,SM601.CZC,6.0
2015-05-05,SM601.CZC,6.0
2015-05-06,SM601.CZC,4.0
2015-05-07,SM601.CZC,4.0
2015-05-08,SM601.CZC,4.0
2015-05-11,SM601.CZC,4.0
2015-05-12,SM601.CZC,4.0
